Blatt;A;B;C;D;E;F
2-8;Spalte A;Spalte B;;;;;
2-9;Spalte A;Spalte B;;;;;
2-10;Spalte A;Spalte B;;;;;
2-11;Spalte A;Spalte B;;;;;
2-12;Spalte A;Spalte B;;;;;
2-13;Spalte A;Spalte B;;;;;
2-14;Spalte A;Spalte B;;;;;
2-15;Spalte A;Spalte B;;;;;
2-16;Spalte A;Spalte B;;;;;
2-17;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-18;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-19;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-20;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-21;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-22;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-23;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-24;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-25;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-26;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-27;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-28;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-29;Spalte A;Spalte B;Spalte C;;;;
2-30;Spalte A;Spalte B;Spalte C;;;;
2-31;Spalte A;Spalte B;Spalte C;;;;
2-32;Spalte A;Spalte B;Spalte C;;;;
2-33;Spalte A;Spalte B;Spalte C;;;;
2-34;Spalte A;Spalte B;Spalte C;;;;
2-35;Spalte A;Spalte B;Spalte C;;;;
2-36;Spalte A;Spalte B;Spalte C;;;;
2-37;Spalte A;Spalte B;Spalte C;;;;
2-38;Spalte A;Spalte B;Spalte C;;;;
2-39;Spalte A;Spalte B;Spalte C;;;;
2-40;Spalte A;Spalte B;Spalte C;;;;
2-41;Spalte A;Spalte B;Spalte C;;;;
2-42;Spalte A;Spalte B;Spalte C;;;;
2-43;Spalte A;Spalte B;Spalte C;;;;
2-44;Spalte A;Spalte B;Spalte C;;;;
2-45;Spalte A;Spalte B;Spalte C;;;;
2-46;Spalte A;Spalte B;Spalte C;;;;
2-47;Spalte A;Spalte B;Spalte C;;;;
2-48;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-49;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-50;Spalte A;Spalte B;Spalte C;Spalte D;;;
2-51;Spalte B;;;;;;
2-52;Spalte B;;;;;;
2-53;Spalte B;;;;;;
2-54;Spalte A;Spalte B;Spalte C;;;;
2-55;Spalte A;Spalte B;Spalte C;;;;
2-56;Spalte A;Spalte B;Spalte C;;;;
2-57;Spalte A;Spalte B;Spalte C;;;;
2-58;Spalte A;Spalte B;Spalte C;;;;
