"ID ";"Rubrik ";"Titel-DE ";"Title-EN ";"Text-DE ";"Text-EN ";"Bild ";"Zeichnung ";"Kategorie-DE ";"Kategorie-EN "
"3716 ";" 10.10 ";"WAS - Winkel-Verschraubungen - Standard ";"WAS - Couplings - Standard ";"Winkel-Anschweißverschraubungen ";"Elbow Welding Couplings ";"WAS.png ";"WAS.png ";"WAS - Anschweiß - Verschraubungen ";"WAS - Weld - Stub - Elbow - Couplings "
"3702 ";" 10.11 ";"WAS - Winkel-Verschraubungen - SC ";"WAS - Couplings - SC ";"Winkel-Anschweißverschraubungen ";"Elbow Welding Couplings ";"WAS.png ";"WAS-SC.png ";"WAS - Anschweiß - Verschraubungen ";"WAS - Weld - Stub - Elbow - Couplings "
"3703 ";" 10.12 ";"WAS - Winkel-Verschraubungsstutzen - OMD ";"WAS - Coupling Bodies - OMD ";"Winkel-Anschweißverschraubungsstutzen ";"Elbow Welding Coupling Bodies ";"WAS-OMD.png ";"was-omd.png ";"WAS - Anschweiß - Verschraubungen ";"WAS - Weld - Stub - Elbow - Couplings "
"3704 ";" 10.13 ";"Gerade Schweißkegel-Verschraubungen - Standard ";"Welding Nipple Couplings - Standard ";"<div>Schweißkegel-Verschraubungen Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM</div> ";"<div>Welding Nipple Couplings With O-ring Sealing - NBR On request: FPM</div> ";"ASV-K.png ";"asvk-omd1.png ";"ASV-K - Schweißkegel - Verschraubungen ";"ASV-K - Welding - Nipple - Couplings "
"3705 ";" 10.14 ";"Gerade Schweißkegel-Verschraubungen - SC ";"Welding Nipple Couplings - SC ";"<div>Schweißkegel-Verschraubungen Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM</div> ";"<div>Welding Nipple Couplings With O-ring Sealing - NBR On request: FPM</div> ";"ASV-K-SC.png ";"ASV-K-SC.png ";"ASV-K - Schweißkegel - Verschraubungen ";"ASV-K - Welding - Nipple - Couplings "
"3706 ";" 10.15 ";"Gerade Schweißkegel-Verschraubungsstutzen - OMD ";"Welding Nipple Coupling Bodies - OMD ";"<div>Schweißkegel-Verschraubungsstutzen Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM</div> ";"<div>Welding Coupling Bodies With O-ring Sealing - NBR On request: FPM</div> ";"ASV-K-OMD.png ";"asvk.png ";"ASV-K - Schweißkegel - Verschraubungen ";"ASV-K - Welding - Nipple - Couplings "
"3707 ";" 10.16 ";"Schweißnippel ";"Welding Nipples ";"<div>Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM Passend in 24°-Innenkonus Bohrungsform W DIN 3861</div> ";"<div>With O-ring Sealing - NBR On request: FPM Matching Type 24°-Inside Tapers Bore Type W DIN 3861</div> ";"SKV.png ";"SKV.png ";"SKV - Schweißnippel ";"SKV - Welding - Nipples "
"3708 ";" 10.18 ";"Schweißnippel-Reduzierungen ";"Welding Nipple Reducings ";"<div>Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM Passend in 24°-Innenkonus Bohrungsform W DIN 3861</div> ";"<div>With O-ring Sealing - NBR On request: FPM Matching Type 24°-Inside Tapers Bore Type W DIN 3861</div> ";"SKV-R.png ";"SKV-R.png ";"SKV-R - Schweißnippel - Reduzierungen ";"SKV-R - Welding - Nipple - Reducings "
"3709 ";" 10.19 ";"Schweißnippel-Rohrbögen - 90° ";"Welding Nipple Elbows - 90° ";"<div>Mit O-Ring Abdichtung - NBR Auf Anfrage: FPM Passend in 24°-Innenkonus Bohrungsform W DIN 3861</div> ";"<div>With O-ring Sealing - NBR On request: FPM Matching Type 24°-Inside Tapers Bore Type W DIN 3861</div> ";"SKV-RB.png ";"SKV-RB.png ";"SKV-RB - Schweißnippel - Rohrbögen - 90° ";"SKV-RB - Welding - Nipple - Elbows - 90° "
"3710 ";" 10.4 ";"ESV - Schott-Verschraubungen - Standard ";"ESV - Bulkhead Couplings - Standard ";"Einschweiß-Schottverschraubungen ";"Welding Bulkhead Connections ";"ESV.png ";"ESV.png ";"ESV - Einschweiß - Schott - Verschraubungen ";"ESV - Bulkhead - Couplings "
