"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"27,0 ";"12,0 ";"19,0 ";"12 ";"14 ";"WAS-L-06-SC ";"16,82 ";"L ";"9614 "
"500 ";"8 ";"12 ";"29,0 ";"14,0 ";"23,0 ";"12 ";"17 ";"WAS-L-08-SC ";"21,19 ";"L ";"9615 "
"500 ";"10 ";"14 ";"30,0 ";"15,0 ";"24,0 ";"14 ";"19 ";"WAS-L-10-SC ";"23,14 ";"L ";"9616 "
"400 ";"12 ";"16 ";"32,0 ";"17,0 ";"25,0 ";"17 ";"22 ";"WAS-L-12-SC ";"25,96 ";"L ";"9617 "
"400 ";"15 ";"19 ";"36,0 ";"21,0 ";"30,0 ";"19 ";"27 ";"WAS-L-15-SC ";"35,63 ";"L ";"9618 "
"400 ";"18 ";"22 ";"40,0 ";"23,5 ";"33,0 ";"24 ";"32 ";"WAS-L-18-SC ";"50,09 ";"L ";"9619 "
"250 ";"22 ";"27 ";"44,0 ";"27,5 ";"37,0 ";"27 ";"36 ";"WAS-L-22-SC ";"67,16 ";"L ";"9620 "
"250 ";"28 ";"32 ";"47,0 ";"30,5 ";"42,0 ";"36 ";"41 ";"WAS-L-28-SC ";"136,25 ";"L ";"9621 "
"250 ";"35 ";"40 ";"56,0 ";"34,5 ";"49,0 ";"41 ";"50 ";"WAS-L-35-SC ";"226,17 ";"L ";"9622 "
"250 ";"42 ";"46 ";"63,0 ";"40,0 ";"57,0 ";"50 ";"60 ";"WAS-L-42-SC ";"299,62 ";"L ";"9623 "
"800 ";"6 ";"11 ";"31,0 ";"16,0 ";"23,0 ";"12 ";"17 ";"WAS-S-06-SC ";"";"S ";"9624 "
"800 ";"8 ";"13 ";"32,0 ";"17,0 ";"24,0 ";"14 ";"19 ";"WAS-S-08-SC ";"";"S ";"9625 "
"800 ";"10 ";"15 ";"34,0 ";"17,5 ";"25,0 ";"17 ";"22 ";"WAS-S-10-SC ";"29,46 ";"S ";"9626 "
"630 ";"12 ";"17 ";"38,0 ";"21,5 ";"29,0 ";"17 ";"24 ";"WAS-S-12-SC ";"35,59 ";"S ";"9627 "
"630 ";"14 ";"19 ";"40,0 ";"22,0 ";"30,0 ";"19 ";"27 ";"WAS-S-14-SC ";"";"S ";"9628 "
"630 ";"16 ";"21 ";"43,0 ";"24,5 ";"33,0 ";"24 ";"30 ";"WAS-S-16-SC ";"62,66 ";"S ";"9629 "
"420 ";"20 ";"26 ";"48,0 ";"26,5 ";"37,0 ";"27 ";"36 ";"WAS-S-20-SC ";"70,43 ";"S ";"9630 "
"420 ";"25 ";"31 ";"54,0 ";"30,0 ";"42,0 ";"36 ";"46 ";"WAS-S-25-SC ";"152,55 ";"S ";"9631 "
"420 ";"30 ";"36 ";"62,0 ";"35,5 ";"49,0 ";"41 ";"50 ";"WAS-S-30-SC ";"226,61 ";"S ";"9632 "
"420 ";"38 ";"44 ";"72,0 ";"41,0 ";"57,0 ";"50 ";"60 ";"WAS-S-38-SC ";"312,44 ";"S ";"9633 "
