"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"12,0 ";"19,0 ";"19,0 ";"12,0 ";"WAS-L-06-OMD ";"14,19 ";"L ";"9634 "
"500 ";"8 ";"12 ";"14,0 ";"23,0 ";"21,0 ";"12,0 ";"WAS-L-08-OMD ";"17,95 ";"L ";"9635 "
"500 ";"10 ";"14 ";"15,0 ";"24,0 ";"22,0 ";"14,0 ";"WAS-L-10-OMD ";"19,34 ";"L ";"9636 "
"400 ";"12 ";"16 ";"17,0 ";"25,0 ";"24,0 ";"17,0 ";"WAS-L-12-OMD ";"21,51 ";"L ";"9637 "
"400 ";"15 ";"19 ";"21,0 ";"30,0 ";"28,0 ";"19,0 ";"WAS-L-15-OMD ";"29,41 ";"L ";"9638 "
"400 ";"18 ";"22 ";"23,5 ";"33,0 ";"31,0 ";"24,0 ";"WAS-L-18-OMD ";"39,83 ";"L ";"9639 "
"250 ";"22 ";"27 ";"27,5 ";"37,0 ";"35,0 ";"27,0 ";"WAS-L-22-OMD ";"55,09 ";"L ";"9640 "
"250 ";"28 ";"32 ";"30,5 ";"42,0 ";"38,0 ";"36,0 ";"WAS-L-28-OMD ";"119,4 ";"L ";"9641 "
"250 ";"35 ";"40 ";"34,5 ";"49,0 ";"45,0 ";"41,0 ";"WAS-L-35-OMD ";"201,34 ";"L ";"9642 "
"250 ";"42 ";"46 ";"40,0 ";"57,0 ";"51,0 ";"50,0 ";"WAS-L-42-OMD ";"267,87 ";"L ";"9643 "
"800 ";"6 ";"11 ";"16,0 ";"23,0 ";"";"12,0 ";"WAS-S-06-OMD ";"";"S ";"9644 "
"800 ";"8 ";"13 ";"17,0 ";"24,0 ";"24,0 ";"14,0 ";"WAS-S-08-OMD ";"24,8 ";"S ";"9645 "
"800 ";"10 ";"15 ";"17,5 ";"25,0 ";"25,0 ";"17,0 ";"WAS-S-10-OMD ";"24,96 ";"S ";"9646 "
"630 ";"12 ";"17 ";"21,5 ";"29,0 ";"29,0 ";"17,0 ";"WAS-S-12-OMD ";"30,3 ";"S ";"9647 "
"630 ";"14 ";"19 ";"22,0 ";"30,0 ";"";"19,0 ";"WAS-S-14-OMD ";"";"S ";"9648 "
"630 ";"16 ";"21 ";"24,5 ";"33,0 ";"33,0 ";"24,0 ";"WAS-S-16-OMD ";"52,89 ";"S ";"9649 "
"420 ";"20 ";"26 ";"26,5 ";"37,0 ";"37,0 ";"27,0 ";"WAS-S-20-OMD ";"57,97 ";"S ";"9650 "
"420 ";"25 ";"31 ";"30,0 ";"42,0 ";"42,0 ";"36,0 ";"WAS-S-25-OMD ";"130,93 ";"S ";"9651 "
"420 ";"30 ";"36 ";"35,5 ";"49,0 ";"49,0 ";"41,0 ";"WAS-S-30-OMD ";"199,01 ";"S ";"9652 "
"420 ";"38 ";"44 ";"41,0 ";"57,0 ";"57,0 ";"50,0 ";"WAS-S-38-OMD ";"274,99 ";"S ";"9653 "
