"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  di";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"323 ";"15 x 2 ";"62,5 ";"15,0 ";"26,0 ";"15 ";"11 ";"22 ";"27 ";"12,0 x 2,0 ";"ASV-K-15x2 ";"31,72 ";"L ";"9686 "
"315 ";"18 x 2 ";"65,5 ";"16,0 ";"27,5 ";"18 ";"14 ";"27 ";"32 ";"15,0 x 2,0 ";"ASV-K-18x2 ";"34,22 ";"L ";"9687 "
"280 ";"22 x 2,5 ";"74,5 ";"19,0 ";"34,5 ";"22 ";"17 ";"32 ";"36 ";"19,0 x 2,0 ";"ASV-K-22x2,5 ";"47,99 ";"L ";"9688 "
"265 ";"28 x 3 ";"78,5 ";"19,0 ";"35,5 ";"28 ";"22 ";"41 ";"41 ";"25,0 x 2,0 ";"ASV-K-28x3 ";"73,14 ";"L ";"9689 "
"231 ";"35 x 3 ";"87,5 ";"22,0 ";"37,5 ";"35 ";"29 ";"46 ";"50 ";"32,0 x 2,5 ";"ASV-K-35x3 ";"90,49 ";"L ";"9690 "
"182 ";"42 x 3 ";"86,5 ";"22,0 ";"37,0 ";"42 ";"36 ";"55 ";"60 ";"38,0 x 2,5 ";"ASV-K-42x3 ";"102,26 ";"L ";"9691 "
"528 ";"6 x 1,5 ";"52,0 ";"10,0 ";"20,0 ";"6 ";"3 ";"14 ";"17 ";"4,0 x 1,5 ";"ASV-K-6x1,5 ";"16,31 ";"S ";"9654 "
"414 ";"8 x 1,5 ";"52,0 ";"10,0 ";"20,0 ";"8 ";"5 ";"17 ";"19 ";"6,0 x 1,5 ";"ASV-K-8x1,5 ";"18,25 ";"S ";"9655 "
"528 ";"8 x 2 ";"52,0 ";"10,0 ";"20,0 ";"8 ";"4 ";"17 ";"19 ";"6,0 x 1,5 ";"ASV-K-8x2 ";"18,25 ";"S ";"9656 "
"249 ";"10 x 1 ";"56,5 ";"9,0 ";"23,5 ";"10 ";"8 ";"19 ";"22 ";"8,0 x 1,5 ";"ASV-K-10x1 ";"19,61 ";"S ";"9657 "
"358 ";"10 x 1,5 ";"56,5 ";"9,0 ";"23,5 ";"10 ";"7 ";"19 ";"22 ";"8,0 x 1,5 ";"ASV-K-10x1,5 ";"19,61 ";"S ";"9658 "
"460 ";"10 x 2 ";"56,5 ";"9,0 ";"23,5 ";"10 ";"6 ";"19 ";"22 ";"8,0 x 1,5 ";"ASV-K-10x2 ";"19,61 ";"S ";"9659 "
"305 ";"12 x 1,5 ";"63,0 ";"14,0 ";"28,5 ";"12 ";"9 ";"22 ";"24 ";"10,0 x 1,5 ";"ASV-K-12x1,5 ";"20,22 ";"S ";"9660 "
"393 ";"12 x 2 ";"63,0 ";"14,0 ";"28,5 ";"12 ";"8 ";"22 ";"24 ";"10,0 x 1,5 ";"ASV-K-12x2 ";"20,22 ";"S ";"9661 "
"476 ";"12 x 2,5 ";"63,0 ";"14,0 ";"28,5 ";"12 ";"7 ";"22 ";"24 ";"10,0 x 1,5 ";"ASV-K-12x2,5 ";"20,22 ";"S ";"9662 "
"343 ";"14 x 2 ";"73,5 ";"15,0 ";"31,5 ";"14 ";"10 ";"24 ";"27 ";"10,0 x 2,0 ";"ASV-K-14x2 ";"27,61 ";"S ";"9663 "
"487 ";"14 x 3 ";"73,5 ";"15,0 ";"31,5 ";"14 ";"8 ";"24 ";"27 ";"10,0 x 2,0 ";"ASV-K-14x3 ";"27,61 ";"S ";"9664 "
"305 ";"16 x 2 ";"73,5 ";"15,0 ";"31,5 ";"16 ";"12 ";"27 ";"30 ";"13,0 x 2,0 ";"ASV-K-16x2 ";"32,72 ";"S ";"9665 "
"372 ";"16 x 2,5 ";"73,5 ";"15,0 ";"31,5 ";"16 ";"11 ";"27 ";"30 ";"13,0 x 2,0 ";"ASV-K-16x2,5 ";"32,72 ";"S ";"9666 "
