"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  di";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"323 ";"15 x 2 ";"54,5 ";"15,0 ";"15 ";"11 ";"22 ";"27 ";"12,0 x 2,0 ";"ASV-K-15x2-SC ";"33,28 ";"L ";"9724 "
"315 ";"18 x 2 ";"57,5 ";"16,0 ";"18 ";"14 ";"27 ";"32 ";"15,0 x 2,0 ";"ASV-K-18x2-SC ";"35,78 ";"L ";"9725 "
"280 ";"22 x 2,5 ";"74,0 ";"19,0 ";"22 ";"17 ";"32 ";"36 ";"19,0 x 2,0 ";"ASV-K-22x2,5-SC ";"49,87 ";"L ";"9726 "
"265 ";"28 x 3 ";"78,0 ";"19,0 ";"28 ";"22 ";"41 ";"41 ";"25,0 x 2,0 ";"ASV-K-28x3-SC ";"76,14 ";"L ";"9727 "
"231 ";"35 x 3 ";"87,5 ";"22,0 ";"35 ";"29 ";"46 ";"50 ";"32,0 x 2,5 ";"ASV-K-35x3-SC ";"94,65 ";"L ";"9728 "
"182 ";"42 x 3 ";"87,0 ";"22,0 ";"42 ";"36 ";"55 ";"60 ";"38,0 x 2,5 ";"ASV-K-42x3-SC ";"107,9 ";"L ";"9729 "
"528 ";"6 x 1,5 ";"";"";"6 ";"3 ";"14 ";"17 ";"4,0 x 1,5 ";"ASV-K-6x1,5-SC ";"16,75 ";"S ";"9692 "
"414 ";"8 x 1,5 ";"";"";"8 ";"5 ";"17 ";"19 ";"6,0 x 1,5 ";"ASV-K-8x1,5-SC ";"18,69 ";"S ";"9693 "
"528 ";"8 x 2 ";"";"";"8 ";"4 ";"17 ";"19 ";"6,0 x 1,5 ";"ASV-K-8x2-SC ";"18,69 ";"S ";"9694 "
"249 ";"10 x 1 ";"58,0 ";"10,0 ";"10 ";"8 ";"19 ";"22 ";"8,0 x 1,5 ";"ASV-K-10x1-SC ";"20,17 ";"S ";"9695 "
