"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  ";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  di";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"323 ";"15 x 2 ";"15 ";"22 x 1,5 ";"15,0 ";"26,0 ";"33,0 ";"11 ";"22 ";"ASV-K-15x2-OMD ";"13,9 ";"L ";"9762 "
"315 ";"18 x 2 ";"18 ";"26 x 1,5 ";"16,0 ";"27,5 ";"35,0 ";"14 ";"27 ";"ASV-K-18x2-OMD ";"16,4 ";"L ";"9763 "
"280 ";"22 x 2,5 ";"22 ";"30 x 2 ";"19,0 ";"34,5 ";"42,0 ";"17 ";"32 ";"ASV-K-22x2,5-OMD ";"25,16 ";"L ";"9764 "
"265 ";"28 x 3 ";"28 ";"36 x 2 ";"19,0 ";"35,5 ";"43,0 ";"22 ";"41 ";"ASV-K-28x3-OMD ";"36,73 ";"L ";"9765 "
"231 ";"35 x 3 ";"35 ";"45 x 2 ";"22,0 ";"37,5 ";"48,0 ";"29 ";"46 ";"ASV-K-35x3-OMD ";"45,01 ";"L ";"9766 "
"182 ";"42 x 3 ";"42 ";"52 x 2 ";"22,0 ";"37,5 ";"48,0 ";"36 ";"55 ";"ASV-K-42x3-OMD ";"39,37 ";"L ";"9767 "
"528 ";"6 x 1,5 ";"6 ";"14 x 1,5 ";"10,0 ";"20,0 ";"27,0 ";"3 ";"14 ";"ASV-K-6x1,5-OMD ";"8,74 ";"S ";"9730 "
"414 ";"8 x 1,5 ";"8 ";"16 x 1,5 ";"10,0 ";"20,0 ";"27,0 ";"5 ";"17 ";"ASV-K-8x1,5-OMD ";"9,02 ";"S ";"9731 "
"528 ";"8 x 2 ";"8 ";"16 x 1,5 ";"10,0 ";"20,0 ";"27,0 ";"4 ";"17 ";"ASV-K-8x2-OMD ";"9,02 ";"S ";"9732 "
"249 ";"10 x 1 ";"10 ";"18 x 1,5 ";"9,0 ";"23,5 ";"30,0 ";"8 ";"19 ";"ASV-K-10x1-OMD ";"9,43 ";"S ";"9733 "
