"Druck  Pressure  PN";"D x W  D x W  ";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  di";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"270 ";"15 x 1,5 ";"36,0 ";"12 ";"12,0 x 2,0 ";"SKV-15x1,5 ";"10,33 ";"L ";"9781 "
"323 ";"15 x 2 ";"36,0 ";"11 ";"12,0 x 2,0 ";"SKV-15x2 ";"10,33 ";"L ";"9782 "
"393 ";"15 x 2,5 ";"36,0 ";"10 ";"12,0 x 2,0 ";"SKV-15x2,5 ";"10,33 ";"L ";"9783 "
"225 ";"18 x 1,5 ";"37,0 ";"15 ";"16,0 x 1,5 ";"SKV-18x1,5 ";"12,71 ";"L ";"9787 "
"300 ";"18 x 2 ";"37,0 ";"14 ";"15,0 x 2,0 ";"SKV-18x2 ";"12,71 ";"L ";"9788 "
"335 ";"18 x 2,5 ";"37,0 ";"13 ";"15,0 x 2,0 ";"SKV-18x2,5 ";"12,71 ";"L ";"9789 "
"245 ";"22 x 2 ";"38,5 ";"18 ";"19,0 x 2,0 ";"SKV-22x2 ";"15,47 ";"L ";"9794 "
"280 ";"22 x 2,5 ";"38,5 ";"17 ";"19,0 x 2,0 ";"SKV-22x2,5 ";"15,47 ";"L ";"9795 "
"328 ";"22 x 3 ";"38,5 ";"16 ";"19,0 x 2,0 ";"SKV-22x3 ";"15,47 ";"L ";"9796 "
"193 ";"28 x 2 ";"41,5 ";"24 ";"25,0 x 2,0 ";"SKV-28x2 ";"23,57 ";"L ";"9801 "
"224 ";"28 x 2,5 ";"41,5 ";"23 ";"25,0 x 2,0 ";"SKV-28x2,5 ";"23,57 ";"L ";"9802 "
"265 ";"28 x 3 ";"41,5 ";"22 ";"25,0 x 2,0 ";"SKV-28x3 ";"23,57 ";"L ";"9803 "
"154 ";"35 x 2 ";"47,0 ";"31 ";"32,0 x 2,5 ";"SKV-35x2 ";"27,76 ";"L ";"9808 "
"193 ";"35 x 2,5 ";"47,0 ";"30 ";"32,0 x 2,5 ";"SKV-35x2,5 ";"27,76 ";"L ";"9809 "
"231 ";"35 x 3 ";"47,0 ";"29 ";"32,0 x 2,5 ";"SKV-35x3 ";"27,76 ";"L ";"9810 "
"249 ";"35 x 3,5 ";"47,0 ";"28 ";"32,0 x 2,5 ";"SKV-35x3,5 ";"27,76 ";"L ";"9811 "
"249 ";"35 x 4 ";"47,0 ";"27 ";"32,0 x 2,5 ";"SKV-35x4 ";"27,76 ";"L ";"12256 "
