"Druck  Pressure  PN";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  di";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"380 ";"6 ";"30,0 ";"8 ";"4 ";"6,0 x 1,5 ";"SKV-R-8/6x1 ";"10,9 ";"S ";"9823 "
"528 ";"6 ";"30,0 ";"8 ";"3 ";"6,0 x 1,5 ";"SKV-R-8/6x1,5 ";"10,05 ";"S ";"9824 "
"414 ";"8 ";"32,0 ";"10 ";"5 ";"8,0 x 1,5 ";"SKV-R-10/8x1,5 ";"10,05 ";"S ";"9825 "
"528 ";"8 ";"32,0 ";"10 ";"4 ";"8,0 x 1,5 ";"SKV-R-10/8x2 ";"10,05 ";"S ";"9826 "
"528 ";"6 ";"32,0 ";"10 ";"3 ";"8,0 x 1,5 ";"SKV-R-10/6x1,5 ";"10,05 ";"S ";"9827 "
"380 ";"6 ";"32,0 ";"12 ";"4 ";"10,0 x 1,5 ";"SKV-R-12/6x1 ";"12,9 ";"S ";"9831 "
"528 ";"6 ";"32,0 ";"12 ";"3 ";"10,0 x 1,5 ";"SKV-R-12/6x1,5 ";"12,9 ";"S ";"9832 "
"414 ";"8 ";"32,0 ";"12 ";"5 ";"10,0 x 1,5 ";"SKV-R-12/8x1,5 ";"10,55 ";"S ";"9830 "
"358 ";"10 ";"32,0 ";"12 ";"7 ";"10,0 x 1,5 ";"SKV-R-12/10x1,5 ";"10,55 ";"S ";"9828 "
"460 ";"10 ";"32,0 ";"12 ";"6 ";"10,0 x 1,5 ";"SKV-R-12/10x2 ";"10,55 ";"S ";"9829 "
"692 ";"6 ";"33,0 ";"16 ";"2 ";"13,0 x 2,0 ";"SKV-R-16/6x2 ";"14,5 ";"S ";"11965 "
