"Druck  Pressure  PN";"Rohr  Tube  ";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  di";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"328 ";"22 x 3 ";"79,0 ";"85,0 ";"22 ";"16 ";"19,0 x 2,0 ";"SKV-RB-22x3 ";"70,55 ";"L ";"9872 "
"460 ";"10 x 2 ";"49,0 ";"51,0 ";"10 ";"6 ";"8,0 x 1,5 ";"SKV-RB-10x2 ";"37,85 ";"S ";"9863 "
"393 ";"12 x 2 ";"50,0 ";"51,0 ";"12 ";"8 ";"10,0 x 1,5 ";"SKV-RB-12x2 ";"42,55 ";"S ";"9864 "
"476 ";"12 x 2,5 ";"50,0 ";"51,0 ";"12 ";"7 ";"10,0 x 1,5 ";"SKV-RB-12x2,5 ";"42,55 ";"S ";"9865 "
"305 ";"16 x 2 ";"72,0 ";"67,0 ";"16 ";"12 ";"13,0 x 2,0 ";"SKV-RB-16x2 ";"50,75 ";"S ";"9866 "
"372 ";"16 x 2,5 ";"72,0 ";"67,0 ";"16 ";"11 ";"13,0 x 2,0 ";"SKV-RB-16x2,5 ";"50,75 ";"S ";"9867 "
"435 ";"16 x 3 ";"72,0 ";"67,0 ";"16 ";"10 ";"13,0 x 2,0 ";"SKV-RB-16x3 ";"50,75 ";"S ";"9868 "
"249 ";"20 x 2 ";"89,0 ";"86,0 ";"20 ";"16 ";"16,3 x 2,4 ";"SKV-RB-20x2 ";"60,2 ";"S ";"9869 "
"305 ";"20 x 2,5 ";"89,0 ";"86,0 ";"20 ";"15 ";"16,3 x 2,4 ";"SKV-RB-20x2,5 ";"60,2 ";"S ";"9870 "
"358 ";"20 x 3 ";"89,0 ";"86,0 ";"20 ";"14 ";"16,3 x 2,4 ";"SKV-RB-20x3 ";"60,2 ";"S ";"9871 "
"294 ";"25 x 3 ";"93,0 ";"89,0 ";"25 ";"19 ";"21,3 x 2,4 ";"SKV-RB-25x3 ";"70,55 ";"S ";"9873 "
"379 ";"25 x 4 ";"93,0 ";"89,0 ";"25 ";"17 ";"21,3 x 2,4 ";"SKV-RB-25x4 ";"70,55 ";"S ";"9874 "
"460 ";"25 x 5 ";"93,0 ";"89,0 ";"25 ";"15 ";"21,3 x 2,4 ";"SKV-RB-25x5 ";"70,55 ";"S ";"9875 "
"323 ";"30 x 4 ";"112,0 ";"105,0 ";"30 ";"22 ";"25,3 x 2,4 ";"SKV-RB-30x4 ";"102,9 ";"S ";"9876 "
"393 ";"30 x 5 ";"112,0 ";"105,0 ";"30 ";"20 ";"25,3 x 2,4 ";"SKV-RB-30x5 ";"102,9 ";"S ";"9877 "
"460 ";"30 x 6 ";"112,0 ";"105,0 ";"30 ";"18 ";"25,3 x 2,4 ";"SKV-RB-30x6 ";"102,9 ";"S ";"9878 "
"261 ";"38 x 4 ";"145,0 ";"137,0 ";"38 ";"30 ";"34,0 x 2,5 ";"SKV-RB-38x4 ";"130,6 ";"S ";"9879 "
"319 ";"38 x 5 ";"145,0 ";"137,0 ";"38 ";"28 ";"34,0 x 2,5 ";"SKV-RB-38x5 ";"130,6 ";"S ";"9880 "
"375 ";"38 x 6 ";"145,0 ";"137,0 ";"38 ";"26 ";"34,0 x 2,5 ";"SKV-RB-38x6 ";"130,6 ";"S ";"9881 "
"429 ";"38 x 7 ";"145,0 ";"137,0 ";"38 ";"24 ";"34,0 x 2,5 ";"SKV-RB-38x7 ";"";"S ";"9882 "
