"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"18 ";"56,0 ";"70,0 ";"ESV-L-06-OMD ";"13,53 ";"L ";"9514 "
"500 ";"8 ";"20 ";"56,0 ";"70,0 ";"ESV-L-08-OMD ";"14,19 ";"L ";"9515 "
"500 ";"10 ";"22 ";"58,0 ";"72,0 ";"ESV-L-10-OMD ";"16,8 ";"L ";"9516 "
"400 ";"12 ";"25 ";"58,0 ";"72,0 ";"ESV-L-12-OMD ";"18,55 ";"L ";"9517 "
"400 ";"15 ";"28 ";"70,0 ";"84,0 ";"ESV-L-15-OMD ";"27,45 ";"L ";"9518 "
"400 ";"18 ";"32 ";"69,0 ";"84,0 ";"ESV-L-18-OMD ";"32,36 ";"L ";"9519 "
"250 ";"22 ";"36 ";"73,0 ";"88,0 ";"ESV-L-22-OMD ";"53,52 ";"L ";"9520 "
"250 ";"28 ";"40 ";"73,0 ";"88,0 ";"ESV-L-28-OMD ";"64,89 ";"L ";"9521 "
"250 ";"35 ";"50 ";"71,0 ";"92,0 ";"ESV-L-35-OMD ";"77,94 ";"L ";"9522 "
"250 ";"42 ";"60 ";"70,0 ";"92,0 ";"ESV-L-42-OMD ";"121,54 ";"L ";"9523 "
"800 ";"6 ";"20 ";"60,0 ";"74,0 ";"ESV-S-06-OMD ";"15,38 ";"S ";"9524 "
"800 ";"8 ";"22 ";"60,0 ";"74,0 ";"ESV-S-08-OMD ";"17,58 ";"S ";"9525 "
"800 ";"10 ";"25 ";"59,0 ";"74,0 ";"ESV-S-10-OMD ";"20,24 ";"S ";"9526 "
"630 ";"12 ";"28 ";"59,0 ";"74,0 ";"ESV-S-12-OMD ";"23,98 ";"S ";"9527 "
"630 ";"14 ";"30 ";"72,0 ";"88,0 ";"ESV-S-14-OMD ";"34,89 ";"S ";"9528 "
"630 ";"16 ";"35 ";"71,0 ";"88,0 ";"ESV-S-16-OMD ";"39,11 ";"S ";"9529 "
"420 ";"20 ";"38 ";"71,0 ";"92,0 ";"ESV-S-20-OMD ";"70,87 ";"S ";"9530 "
"420 ";"25 ";"45 ";"72,0 ";"96,0 ";"ESV-S-25-OMD ";"62,46 ";"S ";"9531 "
"420 ";"30 ";"50 ";"73,0 ";"100,0 ";"ESV-S-30-OMD ";"75,83 ";"S ";"9532 "
"420 ";"38 ";"60 ";"72,0 ";"104,0 ";"ESV-S-38-OMD ";"113,12 ";"S ";"9533 "
