"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"1/8'' ";"47,0 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 1/8''-wd ";"256 ";"L ";"9962 "
"250 ";"6 ";"1/4'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 1/4''-wd ";"256 ";"L ";"9963 "
"250 ";"6 ";"3/8'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 3/8''-wd ";"300 ";"L ";"9964 "
"250 ";"8 ";"1/4'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"17 ";"DGWE-L-08-G 1/4''-wd ";"256 ";"L ";"9965 "
"250 ";"8 ";"3/8'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"17 ";"DGWE-L-08-G 3/8''-wd ";"300 ";"L ";"9966 "
"250 ";"10 ";"1/4'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"19 ";"DGWE-L-10-G 1/4''-wd ";"256 ";"L ";"9967 "
"250 ";"10 ";"3/8'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"19 ";"DGWE-L-10-G 3/8''-wd ";"300 ";"L ";"9968 "
"250 ";"12 ";"1/4'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"22 ";"DGWE-L-12-G 1/4''-wd ";"256 ";"L ";"9969 "
"250 ";"12 ";"3/8'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"22 ";"DGWE-L-12-G 3/8''-wd ";"300 ";"L ";"9883 "
"250 ";"12 ";"1/2'' ";"58,5 ";"33,5 ";"23,0 ";"36 ";"22 ";"DGWE-L-12-G 1/2''-wd ";"340 ";"L ";"9884 "
"250 ";"15 ";"1/2'' ";"58,5 ";"33,5 ";"24,0 ";"36 ";"27 ";"DGWE-L-15-G 1/2''-wd ";"340 ";"L ";"9885 "
"160 ";"18 ";"1/2'' ";"58,5 ";"33,5 ";"23,5 ";"36 ";"32 ";"DGWE-L-18-G 1/2''-wd ";"340 ";"L ";"9886 "
"160 ";"22 ";"3/4'' ";"66,0 ";"38,0 ";"27,5 ";"41 ";"36 ";"DGWE-L-22-G 3/4''-wd ";"384 ";"L ";"9887 "
"100 ";"28 ";"1'' ";"72,0 ";"42,5 ";"29,5 ";"46 ";"41 ";"DGWE-L-28-G 1''-wd ";"436 ";"L ";"9888 "
"100 ";"35 ";"1 1/4'' ";"92,5 ";"52,0 ";"39,5 ";"65 ";"50 ";"DGWE-L-35-G 1 1/4''-wd ";"825 ";"L ";"9889 "
"100 ";"42 ";"1 1/2'' ";"102,0 ";"56,0 ";"42,0 ";"75 ";"60 ";"DGWE-L-42-G 1 1/2''-wd ";"949 ";"L ";"9890 "
"400 ";"6 ";"1/4'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"17 ";"DGWE-S-06-G 1/4''-wd ";"256 ";"S ";"9891 "
"400 ";"6 ";"3/8'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"17 ";"DGWE-S-06-G 3/8''-wd ";"300 ";"S ";"9892 "
"400 ";"8 ";"1/4'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"19 ";"DGWE-S-08-G 1/4''-wd ";"256 ";"S ";"9893 "
"400 ";"8 ";"3/8'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"19 ";"DGWE-S-08-G 3/8''-wd ";"300 ";"S ";"9894 "
"400 ";"10 ";"1/4'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"22 ";"DGWE-S-10-G 1/4''-wd ";"300 ";"S ";"9895 "
"400 ";"10 ";"3/8'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"22 ";"DGWE-S-10-G 3/8''-wd ";"300 ";"S ";"9896 "
"400 ";"12 ";"3/8'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"24 ";"DGWE-S-12-G 3/8''-wd ";"300 ";"S ";"9897 "
"400 ";"14 ";"1/2'' ";"58,5 ";"33,5 ";"25,0 ";"36 ";"27 ";"DGWE-S-14-G 1/2''-wd ";"340 ";"S ";"9898 "
"400 ";"16 ";"1/2'' ";"58,5 ";"33,5 ";"24,5 ";"36 ";"30 ";"DGWE-S-16-G 1/2''-wd ";"340 ";"S ";"9899 "
"250 ";"20 ";"3/4'' ";"66,0 ";"38,0 ";"26,5 ";"41 ";"36 ";"DGWE-S-20-G 3/4''-wd ";"384 ";"S ";"9900 "
