"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  G";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"1/8'' ";"DGWE-L-06-G 1/8''-wd-OMD ";"253,69 ";"L ";"9933 "
"250 ";"6 ";"1/4'' ";"DGWE-L-06-G 1/4''-wd-OMD ";"253,69 ";"L ";"9934 "
"250 ";"6 ";"3/8'' ";"DGWE-L-06-G 3/8''-wd-OMD ";"297,69 ";"L ";"9935 "
"250 ";"8 ";"1/4'' ";"DGWE-L-08-G 1/4''-wd-OMD ";"253,2 ";"L ";"9936 "
"250 ";"8 ";"3/8'' ";"DGWE-L-08-G 3/8''-wd-OMD ";"297,2 ";"L ";"9937 "
"250 ";"10 ";"1/4'' ";"DGWE-L-10-G 1/4''-wd-OMD ";"252,64 ";"L ";"9938 "
"250 ";"10 ";"3/8'' ";"DGWE-L-10-G 3/8''-wd-OMD ";"296,64 ";"L ";"9939 "
"250 ";"12 ";"1/4'' ";"DGWE-L-12-G 1/4''-wd-OMD ";"252,11 ";"L ";"9940 "
"250 ";"12 ";"3/8'' ";"DGWE-L-12-G 3/8''-wd-OMD ";"296,11 ";"L ";"9941 "
"250 ";"12 ";"1/2'' ";"DGWE-L-12-G 1/2''-wd-OMD ";"336,11 ";"L ";"9942 "
"250 ";"15 ";"1/2'' ";"DGWE-L-15-G 1/2''-wd-OMD ";"334,86 ";"L ";"9943 "
"160 ";"18 ";"1/2'' ";"DGWE-L-18-G 1/2''-wd-OMD ";"331,38 ";"L ";"9944 "
"160 ";"22 ";"3/4'' ";"DGWE-L-22-G 3/4''-wd-OMD ";"373,69 ";"L ";"9945 "
"100 ";"28 ";"1'' ";"DGWE-L-28-G 1''-wd-OMD ";"421,15 ";"L ";"9946 "
"100 ";"35 ";"1 1/4'' ";"DGWE-L-35-G 1 1/4''-wd-OMD ";"803,89 ";"L ";"9947 "
"100 ";"42 ";"1 1/2'' ";"DGWE-L-42-G 1 1/2''-wd-OMD ";"921,57 ";"L ";"9948 "
"400 ";"6 ";"1/4'' ";"DGWE-S-06-G 1/4''-wd-OMD ";"253,21 ";"S ";"9949 "
"400 ";"6 ";"3/8'' ";"DGWE-S-06-G 3/8''-wd-OMD ";"297,21 ";"S ";"9950 "
"400 ";"8 ";"1/4'' ";"DGWE-S-08-G 1/4''-wd-OMD ";"252,8 ";"S ";"9951 "
"400 ";"8 ";"3/8'' ";"DGWE-S-08-G 3/8''-wd-OMD ";"296,8 ";"S ";"9952 "
"400 ";"10 ";"1/4'' ";"DGWE-S-10-G 1/4''-wd-OMD ";"296,06 ";"S ";"9953 "
"400 ";"10 ";"3/8'' ";"DGWE-S-10-G 3/8''-wd-OMD ";"296,06 ";"S ";"9954 "
"400 ";"12 ";"3/8'' ";"DGWE-S-12-G 3/8''-wd-OMD ";"295,55 ";"S ";"9955 "
"400 ";"14 ";"1/2'' ";"DGWE-S-14-G 1/2''-wd-OMD ";"334,5 ";"S ";"9956 "
"400 ";"16 ";"1/2'' ";"DGWE-S-16-G 1/2''-wd-OMD ";"331,79 ";"S ";"9957 "
"250 ";"20 ";"3/4'' ";"DGWE-S-20-G 3/4''-wd-OMD ";"373,42 ";"S ";"9958 "
"250 ";"25 ";"1'' ";"DGWE-S-25-G 1''-wd-OMD ";"417,38 ";"S ";"9959 "
"250 ";"30 ";"1 1/4'' ";"DGWE-S-30-G 1 1/4''-wd-OMD ";"801,56 ";"S ";"9960 "
"250 ";"38 ";"1 1/2'' ";"DGWE-S-38-G 1 1/2''-wd-OMD ";"952,19 ";"S ";"9961 "
"400 ";"16 ";"M 22 x 1,5 ";"DGWE-S-16-M 22x1,5-wd-OMD ";"379,79 ";"S ";"11993 "
"250 ";"20 ";"M 27 x 2 ";"DGWE-S-20-M 27x2-wd-OMD ";"414,42 ";"S ";"11994 "
