"Rohr A.D.  Tube O.D.  D";"Gewinde  Thread  G";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"6 ";"M 12 x 1,5 ";"VOST-L-06 ";"29,7 ";"L ";"9973 "
"8 ";"M 14 x 1,5 ";"VOST-L-08 ";"29,7 ";"L ";"9974 "
"10 ";"M 16 x 1,5 ";"VOST-L-10 ";"32,1 ";"L ";"9975 "
"12 ";"M 18 x 1,5 ";"VOST-L-12 ";"32,1 ";"L ";"9976 "
"15 ";"M 22 x 1,5 ";"VOST-L-15 ";"37,2 ";"L ";"9977 "
"18 ";"M 26 x 1,5 ";"VOST-L-18 ";"46,2 ";"L ";"9978 "
"22 ";"M 30 x 2 ";"VOST-L-22 ";"56,2 ";"L ";"9979 "
"28 ";"M 36 x 2 ";"VOST-L-28 ";"60,5 ";"L ";"9980 "
"35 ";"M 45 x 2 ";"VOST-L-35 ";"93,05 ";"L ";"9981 "
"42 ";"M 52 x 2 ";"VOST-L-42 ";"138,5 ";"L ";"9982 "
"4 ";"M 8 x 1 ";"VOST-LL-04 ";"37,9 ";"LL ";"9970 "
"6 ";"M 10 x 1 ";"VOST-LL-06 ";"37,9 ";"LL ";"9971 "
"8 ";"M 12 x 1 ";"VOST-LL-08 ";"39,35 ";"LL ";"9972 "
"6 ";"M 14 x 1,5 ";"VOST-S-06 ";"31,1 ";"S ";"9983 "
"8 ";"M 16 x 1,5 ";"VOST-S-08 ";"32,1 ";"S ";"9984 "
"10 ";"M 18 x 1,5 ";"VOST-S-10 ";"32,1 ";"S ";"9985 "
"12 ";"M 20 x 1,5 ";"VOST-S-12 ";"35,2 ";"S ";"9986 "
"14 ";"M 22 x 1,5 ";"VOST-S-14 ";"37,2 ";"S ";"9987 "
"16 ";"M 24 x 1,5 ";"VOST-S-16 ";"46,2 ";"S ";"9988 "
"20 ";"M 30 x 2 ";"VOST-S-20 ";"54,76 ";"S ";"9989 "
"25 ";"M 36 x 2 ";"VOST-S-25 ";"56,55 ";"S ";"9990 "
"30 ";"M 42 x 2 ";"VOST-S-30 ";"95,2 ";"S ";"9991 "
"38 ";"M 52 x 2 ";"VOST-S-38 ";"133,15 ";"S ";"9992 "
