"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,35 ";"5 ";"500 ";"G 1/8'' ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"9 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-G 1/8''-4423 ";"92 ";"";"10075 "
"0,35 ";"6 ";"500 ";"G 1/4'' ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"69 ";"36 ";"M 5 ";"22 ";"9 ";"RKH-G 1/4''-4423 ";"92 ";"";"10076 "
"0,5 ";"10 ";"500 ";"G 3/8'' ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"12 ";"73 ";"43 ";"M 5 ";"27 ";"9 ";"RKH-G 3/8''-4423 ";"94,25 ";"";"10077 "
"0,65 ";"13 ";"500 ";"G 1/2'' ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"14 ";"85 ";"48 ";"M 5 ";"30 ";"9 ";"RKH-G 1/2''-4423 ";"101,55 ";"";"10078 "
"0,75 ";"16 ";"400 ";"G 5/8'' ";"50 ";"62,0 ";"46 ";"12,0 ";"19,0 ";"14 ";"84 ";"48 ";"M 6 ";"32 ";"12 ";"RKH-G 5/8''-4423 ";"";"";"10079 "
"1,5 ";"20 ";"400 ";"G 3/4'' ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"17 ";"96 ";"62 ";"M 6 ";"41 ";"14 ";"RKH-G 3/4''-4423 ";"206,4 ";"";"10080 "
"1,8 ";"24 ";"400 ";"G 1'' ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"19 ";"113 ";"66 ";"M 6 ";"46 ";"14 ";"RKH-G 1''-4423 ";"225,75 ";"";"10081 "
"3,8 ";"32 ";"350 ";"G 1 1/4'' ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"20 ";"110 ";"81 ";"M 8 ";"60 ";"17 ";"RKH-G 1 1/4''-4423 ";"409,5 ";"";"10082 "
"6,1 ";"38 ";"350 ";"G 1 1/2'' ";"100 ";"112,0 ";"93 ";"13,5 ";"42,5 ";"22 ";"120 ";"86 ";"M 8 ";"70 ";"17 ";"RKH-G 1 1/2''-4423 ";"531,7 ";"";"10083 "
"9,1 ";"48 ";"350 ";"G 2'' ";"120 ";"131,0 ";"111 ";"13,5 ";"50,0 ";"28 ";"140 ";"101 ";"M 8 ";"85 ";"17 ";"RKH-G 2''-4423 ";"639,7 ";"";"10084 "
