"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    RA";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,3 ";"5 ";"100 ";"M 12 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"10 ";"67 ";"36 ";"M 5 ";"6 ";"22 ";"9 ";"RKH-06-L-4445 ";"";"";"10016 "
"0,3 ";"6 ";"100 ";"M 14 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"10 ";"67 ";"36 ";"M 5 ";"8 ";"22 ";"9 ";"RKH-08-L-4445 ";"";"";"10017 "
"0,3 ";"8 ";"100 ";"M 16 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"11 ";"71 ";"36 ";"M 5 ";"10 ";"22 ";"9 ";"RKH-10-L-4445 ";"";"";"10018 "
"0,5 ";"10 ";"100 ";"M 18 x 1,5 ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"11 ";"75 ";"43 ";"M 5 ";"12 ";"27 ";"9 ";"RKH-12-L-4445 ";"";"";"10019 "
"0,6 ";"13 ";"100 ";"M 22 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"12 ";"84 ";"48 ";"M 5 ";"15 ";"30 ";"9 ";"RKH-15-L-4445 ";"";"";"10020 "
"0,6 ";"13 ";"100 ";"M 26 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"12 ";"84 ";"48 ";"M 5 ";"18 ";"30 ";"9 ";"RKH-18-L-4445 ";"";"";"10021 "
"1,5 ";"20 ";"100 ";"M 30 x 2 ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"14 ";"102 ";"62 ";"M 6 ";"22 ";"41 ";"14 ";"RKH-22-L-4445 ";"";"";"10022 "
"1,8 ";"24 ";"100 ";"M 36 x 2 ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"14 ";"108 ";"66 ";"M 6 ";"28 ";"46 ";"14 ";"RKH-28-L-4445 ";"";"";"10023 "
"3,6 ";"32 ";"100 ";"M 45 x 2 ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"16 ";"128 ";"81 ";"M 8 ";"35 ";"60 ";"17 ";"RKH-35-L-4445 ";"";"";"10024 "
"5,9 ";"38 ";"100 ";"M 52 x 2 ";"100 ";"112,0 ";"93 ";"13,5 ";"42,5 ";"16 ";"133 ";"86 ";"M 8 ";"42 ";"70 ";"17 ";"RKH-42-L-4445 ";"";"";"10025 "
