"    d";"Druck  Pressure  PB - bar";"    DN";"    LW";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"500 ";"4 ";"5 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"10,0 ";"69 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-G 1/8''-4423 ";"92 ";"G - Innengewinde / BSP Female Thread ";"11686 "
"G 1/4'' ";"500 ";"6 ";"6 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"14,0 ";"69 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-G 1/4''-4423 ";"92 ";"G - Innengewinde / BSP Female Thread ";"11687 "
"G 3/8'' ";"500 ";"10 ";"10 ";"32 ";"52 ";"38 ";"11 ";"17,5 ";"14,0 ";"72 ";"43 ";"M 5 ";"9 ";"27 ";"BKH-G 3/8''-4423 ";"94,25 ";"G - Innengewinde / BSP Female Thread ";"11688 "
"G 1/2'' ";"500 ";"13 ";"13 ";"35 ";"54 ";"40 ";"11 ";"19,0 ";"16,3 ";"83 ";"48 ";"M 5 ";"9 ";"30 ";"BKH-G 1/2''-4423 ";"101,55 ";"G - Innengewinde / BSP Female Thread ";"11689 "
"G 3/4'' ";"400 ";"20 ";"19 ";"65 ";"83 ";"65 ";"14 ";"31,0 ";"18,0 ";"111 ";"65 ";"M 6 ";"14 ";"41 ";"BKH-G 3/4''-4423 ";"204,6 ";"G - Innengewinde / BSP Female Thread ";"11690 "
"G 1'' ";"400 ";"25 ";"24 ";"75 ";"93 ";"75 ";"14 ";"38,0 ";"20,0 ";"122 ";"71 ";"M 6 ";"14 ";"50 ";"BKH-G 1''-4423 ";"225,75 ";"G - Innengewinde / BSP Female Thread ";"11691 "
"6L ";"500 ";"4 ";"5 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,0 ";"67 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-06-L-4423 ";"94,7 ";"L ";"11650 "
"8L ";"500 ";"6 ";"6 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,0 ";"67 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-08-L-4423 ";"94,7 ";"L ";"11651 "
"10L ";"500 ";"8 ";"8 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,0 ";"74 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-10-L-4423 ";"92 ";"L ";"11652 "
"12L ";"500 ";"10 ";"10 ";"32 ";"52 ";"38 ";"11 ";"17,5 ";"7,0 ";"74 ";"43 ";"M 5 ";"9 ";"27 ";"BKH-12-L-4423 ";"94,25 ";"L ";"11653 "
"15L ";"500 ";"13 ";"13 ";"35 ";"54 ";"40 ";"11 ";"19,0 ";"7,0 ";"82 ";"48 ";"M 5 ";"9 ";"30 ";"BKH-15-L-4423 ";"101,55 ";"L ";"11654 "
"18L ";"500 ";"13 ";"13 ";"35 ";"54 ";"40 ";"11 ";"19,0 ";"7,0 ";"82 ";"48 ";"M 5 ";"9 ";"30 ";"BKH-18-L-4423 ";"101,55 ";"L ";"11655 "
"22L ";"400 ";"20 ";"19 ";"65 ";"83 ";"65 ";"14 ";"31 ";"7,65 ";"105 ";"65 ";"M 6 ";"14 ";"41 ";"BKH-22-L-4423 ";"206,4 ";"L ";"11656 "
"28L ";"400 ";"25 ";"24 ";"75 ";"93 ";"75 ";"14 ";"38 ";"7,65 ";"112 ";"71 ";"M 6 ";"14 ";"50 ";"BKH-28-L-4423 ";"225,75 ";"L ";"11657 "
"8S ";"500 ";"4 ";"5 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,0 ";"73 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-08-S-4423 ";"94,7 ";"S ";"11692 "
"10S ";"500 ";"6 ";"6 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,5 ";"73 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-10-S-4423 ";"92 ";"S ";"11693 "
"12S ";"500 ";"8 ";"8 ";"26 ";"47 ";"33 ";"11 ";"13,5 ";"7,5 ";"76 ";"40 ";"M 5 ";"9 ";"22 ";"BKH-12-S-4423 ";"92 ";"S ";"11694 "
"14S ";"500 ";"10 ";"10 ";"32 ";"52 ";"38 ";"11 ";"17,5 ";"8,0 ";"80 ";"43 ";"M 5 ";"9 ";"27 ";"BKH-14-S-4423 ";"97,2 ";"S ";"11695 "
"16S ";"500 ";"13 ";"13 ";"35 ";"54 ";"40 ";"11 ";"19,0 ";"10,5 ";"86 ";"48 ";"M 5 ";"9 ";"30 ";"BKH-16-S-4423 ";"101,55 ";"S ";"11696 "
"20S ";"400 ";"13 ";"13 ";"35 ";"54 ";"40 ";"11 ";"19,0 ";"10,5 ";"90 ";"48 ";"M 5 ";"9 ";"30 ";"BKH-20-S-4423 ";"101,55 ";"S ";"11697 "
"25S ";"400 ";"20 ";"19 ";"65 ";"83 ";"65 ";"14 ";"31,0 ";"12,5 ";"113 ";"65 ";"M 6 ";"14 ";"41 ";"BKH-25-S-4423 ";"206,4 ";"S ";"11698 "
"30S ";"400 ";"25 ";"24 ";"75 ";"93 ";"75 ";"14 ";"38,0 ";"13,5 ";"124 ";"71 ";"M 6 ";"14 ";"50 ";"BKH-30-S-4423 ";"225,75 ";"S ";"11699 "
