"    DN";"    LW";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  L10";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    RA";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"4 ";"5,0 ";"400 ";"M 12 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"10 ";"67 ";"35 ";"41,5 ";"M 5 ";"6 ";"22 ";"9 ";"BK3-6-L-4423-TA ";"";"";"10246 "
"6 ";"6,0 ";"400 ";"M 14 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"10 ";"67 ";"35 ";"41,5 ";"M 5 ";"8 ";"22 ";"9 ";"BK3-8-L-4423-TA ";"";"";"10247 "
"8 ";"7,0 ";"400 ";"M 16 x 1,5 ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"11 ";"71 ";"35 ";"41,5 ";"M 5 ";"10 ";"22 ";"9 ";"BK3-10-L-4423-TA ";"";"";"10248 "
"10 ";"9,0 ";"400 ";"M 18 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"18,0 ";"11 ";"75 ";"42 ";"44,5 ";"M 5 ";"12 ";"27 ";"9 ";"BK3-12-L-4423-TA ";"";"";"10249 "
"13 ";"11,5 ";"400 ";"M 22 x 1,5 ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"12 ";"84 ";"47 ";"50,0 ";"M 5 ";"15 ";"30 ";"9 ";"BK3-15-L-4423-TA ";"";"";"10250 "
"13 ";"11,5 ";"400 ";"M 26 x 1,5 ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"12 ";"84 ";"47 ";"50,0 ";"M 5 ";"15 ";"30 ";"9 ";"BK3-18-L-4423-TA ";"";"";"10251 "
"20 ";"18,0 ";"320 ";"M 30 x 2 ";"65 ";"73,5 ";"57 ";"12,0 ";"24,5 ";"12 ";"84 ";"61 ";"50,0 ";"M 6 ";"18 ";"32 ";"14 ";"BK3-22-L-4423-TA ";"";"";"10252 "
"25 ";"22,0 ";"350 ";"M 36 x 2 ";"80 ";"81,5 ";"65 ";"12,0 ";"30,0 ";"14 ";"102 ";"63 ";"60,5 ";"M 6 ";"22 ";"41 ";"14 ";"BK3-28-L-4423-TA ";"";"";"10253 "
"32 ";"30,0 ";"350 ";"M 45 x 2 ";"100 ";"99,0 ";"80 ";"13,5 ";"38,0 ";"14 ";"108 ";"78 ";"72,0 ";"M 8 ";"28 ";"46 ";"17 ";"BK3-35-L-4423-TA ";"";"";"10254 "
"40 ";"35,0 ";"250 ";"M 52 x 2 ";"105 ";"109,0 ";"90 ";"13,5 ";"42,0 ";"16 ";"128 ";"85 ";"86,0 ";"M 8 ";"35 ";"60 ";"17 ";"BK3-42-L-4423-TA ";"";"";"10255 "
