"    DN";"Druck  Pressure  PB";"Ca. Maﬂe mm  Approx. Dimensions mm  C";"Ca. Maﬂe  mm  Approx. Dimensions mm  D";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L2";"Ca. Maﬂe mm  Approx. Dimensions mm  L3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"13 ";"315 ";"30,2 ";"24 ";"51,0 ";"151,0 ";"6,7 ";"35 ";"FKH-3000-1/2''-4423 ";"283,3 ";"";"10266 "
"20 ";"315 ";"38,1 ";"32 ";"73,0 ";"162,0 ";"6,7 ";"35 ";"FKH-3000-3/4''-4423 ";"411,2 ";"";"10267 "
"24 ";"315 ";"44,4 ";"38 ";"76,0 ";"178,0 ";"8,0 ";"35 ";"FKH-3000-1''-4423 ";"464,23 ";"";"10268 "
"32 ";"250 ";"50,8 ";"43 ";"105,0 ";"190,5 ";"8,0 ";"35 ";"FKH-3000-1 1/4''-4423 ";"950,4 ";"";"10269 "
"38 ";"200 ";"60,3 ";"50 ";"111,4 ";"231,0 ";"8,0 ";"40 ";"FKH-3000-1 1/2''-4423 ";"1109,4 ";"";"10270 "
"48 ";"200 ";"71,4 ";"62 ";"130,0 ";"232,0 ";"9,5 ";"45 ";"FKH-3000-2''-4423 ";"1310,45 ";"";"10271 "
"13 ";"400 ";"31,7 ";"24 ";"51,0 ";"151,0 ";"7,7 ";"35 ";"FKH-6000-1/2''-4423 ";"283,3 ";"";"10272 "
"20 ";"400 ";"41,3 ";"32 ";"73,0 ";"174,0 ";"8,8 ";"40 ";"FKH-6000-3/4''-4423 ";"411,2 ";"";"10273 "
"24 ";"400 ";"47,6 ";"38 ";"76,0 ";"198,0 ";"9,5 ";"40 ";"FKH-6000-1''-4423 ";"464,23 ";"";"10274 "
"32 ";"400 ";"54,0 ";"44 ";"105,0 ";"223,0 ";"10,3 ";"45 ";"FKH-6000-1 1/4''-4423 ";"950,4 ";"";"10275 "
"38 ";"400 ";"63,5 ";"51 ";"111,4 ";"281,0 ";"12,6 ";"70 ";"FKH-6000-1 1/2''-4423 ";"1109,4 ";"";"10276 "
"48 ";"400 ";"79,4 ";"67 ";"130,0 ";"316,0 ";"12,6 ";"80 ";"FKH-6000-2''-4423 ";"1310,45 ";"";"10277 "
