"    DN";"Grˆﬂe  Size  ";"Druck  Pressure  PB";"Ca. Maﬂe mm  Approx. Dimensions mm  G";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"8,5 ";"1/8'' ";"63 ";"1/8'' ";"50 ";"55,0 ";"100,0 ";"KH-G 1/8'' ";"21,1 ";"";"10278 "
"11,5 ";"1/4'' ";"63 ";"1/4'' ";"50 ";"55,0 ";"100,0 ";"KH-G 1/4'' ";"21,1 ";"";"10279 "
"12,5 ";"3/8'' ";"63 ";"3/8'' ";"50 ";"55,0 ";"100,0 ";"KH-G 3/8'' ";"21,1 ";"";"10280 "
"15,0 ";"1/2'' ";"63 ";"1/2'' ";"60 ";"65,0 ";"130,0 ";"KH-G 1/2'' ";"24,6 ";"";"10281 "
"20,0 ";"3/4'' ";"63 ";"3/4'' ";"64 ";"72,0 ";"130,0 ";"KH-G 3/4'' ";"30,9 ";"";"10282 "
"25,0 ";"1'' ";"63 ";"1'' ";"71 ";"84,0 ";"165,0 ";"KH-G 1'' ";"43,7 ";"";"10283 "
"32,0 ";"1 1/4'' ";"63 ";"1 1/4'' ";"78 ";"94,0 ";"165,0 ";"KH-G 1 1/4'' ";"57,15 ";"";"10284 "
"38,0 ";"1 1/2'' ";"63 ";"1 1/2'' ";"86 ";"110,0 ";"190,0 ";"KH-G 1 1/2'' ";"84,5 ";"";"10285 "
"50,0 ";"2'' ";"63 ";"2'' ";"95 ";"126,0 ";"190,0 ";"KH-G 2'' ";"111,25 ";"";"10286 "
"65,0 ";"2 1/2'' ";"40 ";"2 1/2'' ";"130 ";"161,0 ";"250,0 ";"KH-G 2 1/2'' ";"278,3 ";"";"10287 "
"80,0 ";"3'' ";"40 ";"3'' ";"148 ";"178,0 ";"250,0 ";"KH-G 3'' ";"375,9 ";"";"10288 "
