"Druck  Pressure  PB";"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  mm  Approx. Dimensions mm  D";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"250 ";"6 ";"M 12 x 1,5 ";"70 ";"85 ";"65 ";"HVa-L-06-OMD ";"78,9 ";"L ";"10323 "
"315 ";"250 ";"8 ";"M 14 x 1,5 ";"70 ";"85 ";"65 ";"HVa-L-08-OMD ";"78,9 ";"L ";"10324 "
"315 ";"250 ";"10 ";"M 16 x 1,5 ";"70 ";"85 ";"65 ";"HVa-L-10-OMD ";"78,9 ";"L ";"10325 "
"315 ";"250 ";"12 ";"M 18 x 1,5 ";"70 ";"85 ";"65 ";"HVa-L-12-OMD ";"78,9 ";"L ";"10326 "
"315 ";"250 ";"15 ";"M 22 x 1,5 ";"125 ";"125 ";"100 ";"HVa-L-15-OMD ";"175 ";"L ";"10327 "
"315 ";"250 ";"18 ";"M 26 x 1,5 ";"125 ";"125 ";"130 ";"HVa-L-18-OMD ";"179,4 ";"L ";"10328 "
"160 ";"250 ";"22 ";"M 30 x 2 ";"125 ";"125 ";"130 ";"HVa-L-22-OMD ";"251,2 ";"L ";"10329 "
"160 ";"250 ";"28 ";"M 36 x 2 ";"125 ";"125 ";"130 ";"HVa-L-28-OMD ";"251,2 ";"L ";"10330 "
"160 ";"";"35 ";"M 45 x 2 ";"";"";"";"HVa-L-35-OMD ";"";"L ";"10331 "
"160 ";"";"42 ";"M 52 x 2 ";"";"";"";"HVa-L-42-OMD ";"";"L ";"10332 "
"630 ";"400 ";"6 ";"M 14 x 1,5 ";"70 ";"85 ";"65 ";"HVa-S-06-OMD ";"78,9 ";"S ";"10313 "
"630 ";"400 ";"8 ";"M 16 x 1,5 ";"70 ";"85 ";"65 ";"HVa-S-08-OMD ";"78,9 ";"S ";"10314 "
"630 ";"400 ";"10 ";"M 18 x 1,5 ";"70 ";"85 ";"65 ";"HVa-S-10-OMD ";"78,9 ";"S ";"10315 "
"630 ";"400 ";"12 ";"M 20 x 1,5 ";"70 ";"85 ";"65 ";"HVa-S-12-OMD ";"78,9 ";"S ";"10316 "
"630 ";"400 ";"14 ";"M 22 x 1,5 ";"125 ";"110 ";"100 ";"HVa-S-14-OMD ";"172,2 ";"S ";"10317 "
"400 ";"400 ";"16 ";"M 24 x 1,5 ";"125 ";"125 ";"100 ";"HVa-S-16-OMD ";"166,8 ";"S ";"10318 "
"400 ";"400 ";"20 ";"M 30 x 2 ";"125 ";"125 ";"100 ";"HVa-S-20-OMD ";"251,2 ";"S ";"10319 "
"400 ";"250 ";"25 ";"M 36 x 2 ";"125 ";"125 ";"100 ";"HVa-S-25-OMD ";"251,2 ";"S ";"10320 "
"250 ";"160 ";"30 ";"M 42 x 2 ";"";"";"";"HVa-S-30-OMD ";"469 ";"S ";"10321 "
"250 ";"160 ";"38 ";"M 52 x 2 ";"";"";"";"HVa-S-38-OMD ";"634 ";"S ";"10322 "
