"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"1/8'' zyl ";"66,0 ";"59,0 ";"NV-G 1/8''-BSP ";"54,9 ";"BSP ";"10333 "
"420 ";"1/4'' zyl ";"66,0 ";"59,0 ";"NV-G 1/4''-BSP ";"54,9 ";"BSP ";"10334 "
"420 ";"3/8'' zyl ";"66,0 ";"59,0 ";"NV-G 3/8''-BSP ";"54,9 ";"BSP ";"10335 "
"420 ";"1/2'' zyl ";"66,0 ";"65,0 ";"NV-G 1/2''-BSP ";"67,4 ";"BSP ";"10336 "
"420 ";"3/4'' zyl ";"94,5 ";"70,0 ";"NV-G 3/4''-BSP ";"118,5 ";"BSP ";"10337 "
"420 ";"1'' zyl ";"94,5 ";"80,0 ";"NV-G 1''-BSP ";"197,15 ";"BSP ";"10338 "
"420 ";"1/8'' NPT ";"66,0 ";"59,0 ";"NV-1/8''-NPT ";"";"NPT ";"10339 "
"420 ";"1/4'' NPT ";"66,0 ";"59,0 ";"NV-1/4''-NPT ";"60,4 ";"NPT ";"10340 "
"420 ";"3/8'' NPT ";"66,0 ";"59,0 ";"NV-3/8''-NPT ";"60,4 ";"NPT ";"10341 "
"420 ";"1/2'' NPT ";"66,0 ";"65,0 ";"NV-1/2''-NPT ";"74,15 ";"NPT ";"10342 "
"420 ";"3/4'' NPT ";"94,5 ";"70,0 ";"NV-3/4''-NPT ";"130,4 ";"NPT ";"10343 "
"420 ";"1'' NPT ";"94,5 ";"80,0 ";"NV-1''-NPT ";"216,9 ";"NPT ";"10344 "
