"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW";"Abdichtung  Sealing  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"M 8 x 1 ";"37 ";"17 ";"O-Ring Form A ";"MAS-M 8x1-or ";"48,06 ";"";"10345 "
"630 ";"M 10 x 1 ";"37 ";"17 ";"O-Ring Form A ";"MAS-M 10x1-or ";"48,06 ";"";"10346 "
"630 ";"M 10 x 1 ";"37 ";"17 ";"Weichdichtung / Soft Sealing Form C ";"MAS-M 10x1-wd ";"50,1 ";"";"10347 "
"630 ";"M 12 x 1,5 ";"37 ";"17 ";"Weichdichtung / Soft Sealing Form C ";"MAS-M 12x1,5-wd ";"53,5 ";"";"10348 "
"630 ";"M 14 x 1,5 ";"37 ";"19 ";"Weichdichtung / Soft Sealing Form C ";"MAS-M 14x1,5-wd ";"48,06 ";"";"10349 "
"630 ";"M 16 x 1,5 ";"37 ";"22 ";"Weichdichtung / Soft Sealing Form C ";"MAS-M 16x1,5-wd ";"48,06 ";"";"11499 "
"630 ";"G 1/8'' ";"37 ";"17 ";"Weichdichtung / Soft Sealing Form C ";"MAS-G 1/8''-wd ";"48,06 ";"";"10350 "
"630 ";"G 1/4'' ";"37 ";"19 ";"Weichdichtung / Soft Sealing Form C ";"MAS-G 1/4''-wd ";"48,06 ";"";"10351 "
"630 ";"G 3/8'' ";"40 ";"22 ";"Weichdichtung / Soft Sealing Form C ";"MAS-G 3/8''-wd ";"52,85 ";"";"10352 "
"630 ";"G 1/2'' ";"40 ";"27 ";"Weichdichtung / Soft Sealing Form C ";"MAS-G 1/2''-wd ";"75,5 ";"";"10353 "
"630 ";"R 1/8'' keg ";"36 ";"17 ";"Gewinde / Thread Form D ";"MAS-R 1/8''-k ";"57,6 ";"";"10354 "
"630 ";"R 1/4'' keg ";"36 ";"17 ";"Gewinde / Thread Form D ";"MAS-R 1/4''-k ";"57,6 ";"";"10355 "
"630 ";"1/8'' NPT ";"36 ";"17 ";"Gewinde / Thread Form D ";"MAS-1/8''-NPT ";"57,6 ";"";"10356 "
"630 ";"1/4'' NPT ";"37 ";"17 ";"Gewinde / Thread Form D ";"MAS-1/4''-NPT ";"57,6 ";"";"10357 "
"630 ";"3/8'' NPT ";"40 ";"19 ";"Gewinde / Thread Form D ";"MAS-3/8''-NPT ";"68,5 ";"";"10358 "
"630 ";"1/2'' NPT ";"40 ";"22 ";"Gewinde / Thread Form D ";"MAS-1/2''-NPT ";"75,9 ";"";"10359 "
