"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"50,5 ";"27,0 ";"49,5 ";"24 ";"14 ";"GMV-L-06 ";"124,75 ";"L ";"10360 "
"315 ";"8 ";"50,5 ";"27,0 ";"49,5 ";"24 ";"17 ";"GMV-L-08 ";"125,25 ";"L ";"10361 "
"315 ";"10 ";"52,5 ";"29,0 ";"49,5 ";"24 ";"19 ";"GMV-L-10 ";"126,25 ";"L ";"10362 "
"315 ";"12 ";"52,5 ";"29,0 ";"49,5 ";"24 ";"22 ";"GMV-L-12 ";"127,75 ";"L ";"10363 "
"315 ";"15 ";"54,5 ";"29,0 ";"52,5 ";"30 ";"27 ";"GMV-L-15 ";"129,25 ";"L ";"10364 "
"315 ";"18 ";"56,5 ";"29,0 ";"53,5 ";"32 ";"32 ";"GMV-L-18 ";"131,25 ";"L ";"10365 "
"160 ";"22 ";"60,5 ";"33,0 ";"55,5 ";"32 ";"36 ";"GMV-L-22 ";"138,75 ";"L ";"10366 "
"160 ";"28 ";"60,5 ";"33,0 ";"58,0 ";"41 ";"41 ";"GMV-L-28 ";"181,5 ";"L ";"10367 "
"160 ";"35 ";"68,5 ";"31,0 ";"60,5 ";"46 ";"50 ";"GMV-L-35 ";"281,2 ";"L ";"10368 "
"160 ";"42 ";"70,5 ";"36,0 ";"65,0 ";"55 ";"60 ";"GMV-L-42 ";"357,5 ";"L ";"10369 "
"630 ";"6 ";"54,5 ";"31,0 ";"49,5 ";"24 ";"17 ";"GMV-S-06 ";"125,25 ";"S ";"10370 "
"630 ";"8 ";"54,5 ";"31,0 ";"49,5 ";"24 ";"19 ";"GMV-S-08 ";"126,25 ";"S ";"10371 "
"630 ";"10 ";"56,5 ";"30,0 ";"49,5 ";"24 ";"22 ";"GMV-S-10 ";"127,75 ";"S ";"10372 "
"630 ";"12 ";"56,5 ";"28,0 ";"49,5 ";"24 ";"24 ";"GMV-S-12 ";"128,9 ";"S ";"10373 "
"630 ";"14 ";"62,5 ";"31,0 ";"51,0 ";"27 ";"27 ";"GMV-S-14 ";"129,25 ";"S ";"10374 "
"400 ";"16 ";"62,5 ";"30,0 ";"52,5 ";"30 ";"30 ";"GMV-S-16 ";"131,25 ";"S ";"10375 "
"400 ";"20 ";"68,5 ";"31,0 ";"55,5 ";"32 ";"36 ";"GMV-S-20 ";"138,75 ";"S ";"10376 "
"400 ";"25 ";"74,5 ";"32,0 ";"58,0 ";"41 ";"46 ";"GMV-S-25 ";"181,5 ";"S ";"10377 "
"400 ";"30 ";"80,5 ";"33,0 ";"60,5 ";"46 ";"50 ";"GMV-S-30 ";"281,2 ";"S ";"10378 "
"315 ";"38 ";"91,0 ";"32,0 ";"65,0 ";"55 ";"60 ";"GMV-S-38 ";"357,5 ";"S ";"10379 "
