"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"50,5 ";"49,5 ";"24 ";"14 ";"GMV-L-06-SC ";"125,39 ";"L ";"10380 "
"315 ";"8 ";"50,5 ";"49,5 ";"24 ";"17 ";"GMV-L-08-SC ";"126,13 ";"L ";"10381 "
"315 ";"10 ";"52,5 ";"49,5 ";"24 ";"19 ";"GMV-L-10-SC ";"127,13 ";"L ";"10382 "
"315 ";"12 ";"52,5 ";"49,5 ";"24 ";"22 ";"GMV-L-12-SC ";"128,87 ";"L ";"10383 "
"315 ";"15 ";"54,5 ";"52,5 ";"30 ";"27 ";"GMV-L-15-SC ";"131,41 ";"L ";"10384 "
"315 ";"18 ";"56,5 ";"53,5 ";"32 ";"32 ";"GMV-L-18-SC ";"134,53 ";"L ";"10385 "
"160 ";"22 ";"60,5 ";"55,5 ";"36 ";"36 ";"GMV-L-22-SC ";"142,03 ";"L ";"10386 "
"160 ";"28 ";"60,5 ";"58,0 ";"41 ";"41 ";"GMV-L-28-SC ";"185,5 ";"L ";"10387 "
"160 ";"35 ";"68,5 ";"60,5 ";"46 ";"50 ";"GMV-L-35-SC ";"288,64 ";"L ";"10388 "
"160 ";"42 ";"70,5 ";"65,0 ";"55 ";"60 ";"GMV-L-42-SC ";"366,14 ";"L ";"10389 "
"630 ";"6 ";"54,5 ";"49,5 ";"24 ";"17 ";"GMV-S-06-SC ";"126,13 ";"S ";"10390 "
"630 ";"8 ";"54,5 ";"49,5 ";"24 ";"19 ";"GMV-S-08-SC ";"127,13 ";"S ";"10391 "
"630 ";"10 ";"56,5 ";"49,5 ";"24 ";"22 ";"GMV-S-10-SC ";"128,87 ";"S ";"10392 "
"630 ";"12 ";"56,5 ";"49,5 ";"24 ";"24 ";"GMV-S-12-SC ";"130,58 ";"S ";"10393 "
"630 ";"14 ";"62,5 ";"51,0 ";"27 ";"27 ";"GMV-S-14-SC ";"132,37 ";"S ";"10394 "
"400 ";"16 ";"62,5 ";"52,5 ";"30 ";"30 ";"GMV-S-16-SC ";"134,37 ";"S ";"10395 "
"400 ";"20 ";"68,5 ";"55,5 ";"36 ";"36 ";"GMV-S-20-SC ";"134,99 ";"S ";"10396 "
"400 ";"25 ";"74,5 ";"58,0 ";"41 ";"46 ";"GMV-S-25-SC ";"187,5 ";"S ";"10397 "
"400 ";"30 ";"80,5 ";"60,5 ";"46 ";"50 ";"GMV-S-30-SC ";"289,52 ";"S ";"10398 "
"315 ";"38 ";"91,0 ";"65,0 ";"55 ";"60 ";"GMV-S-38-SC ";"368,78 ";"S ";"10399 "
