"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe    L9";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"27,0 ";"41,0 ";"49,5 ";"24 ";"GMV-L-06-OMD ";"120,13 ";"L ";"10400 "
"315 ";"8 ";"27,0 ";"41,0 ";"49,5 ";"24 ";"GMV-L-08-OMD ";"119,65 ";"L ";"10401 "
"315 ";"10 ";"29,0 ";"43,0 ";"49,5 ";"24 ";"GMV-L-10-OMD ";"119,53 ";"L ";"10402 "
"315 ";"12 ";"29,0 ";"43,0 ";"49,5 ";"24 ";"GMV-L-12-OMD ";"119,97 ";"L ";"10403 "
"315 ";"15 ";"29,0 ";"43,0 ";"52,5 ";"30 ";"GMV-L-15-OMD ";"118,97 ";"L ";"10404 "
"315 ";"18 ";"29,0 ";"44,0 ";"53,5 ";"32 ";"GMV-L-18-OMD ";"114,01 ";"L ";"10405 "
"160 ";"22 ";"33,0 ";"48,0 ";"55,5 ";"36 ";"GMV-L-22-OMD ";"118,13 ";"L ";"10406 "
"160 ";"28 ";"33,0 ";"48,0 ";"58,5 ";"41 ";"GMV-L-28-OMD ";"151,8 ";"L ";"10407 "
"160 ";"35 ";"31,0 ";"52,0 ";"60,5 ";"46 ";"GMV-L-35-OMD ";"238,98 ";"L ";"10408 "
"160 ";"42 ";"36,0 ";"58,0 ";"65,0 ";"55 ";"GMV-L-42-OMD ";"302,64 ";"L ";"10409 "
"630 ";"6 ";"31,0 ";"45,0 ";"49,5 ";"24 ";"GMV-S-06-OMD ";"119,67 ";"S ";"10410 "
"630 ";"8 ";"31,0 ";"45,0 ";"49,5 ";"24 ";"GMV-S-08-OMD ";"119,85 ";"S ";"10411 "
"630 ";"10 ";"30,0 ";"45,0 ";"49,5 ";"24 ";"GMV-S-10-OMD ";"119,87 ";"S ";"10412 "
"630 ";"12 ";"28,0 ";"43,0 ";"49,5 ";"24 ";"GMV-S-12-OMD ";"120 ";"S ";"10413 "
"630 ";"14 ";"31,0 ";"47,0 ";"51,0 ";"27 ";"GMV-S-14-OMD ";"118,25 ";"S ";"10414 "
"400 ";"16 ";"30,0 ";"47,0 ";"52,0 ";"30 ";"GMV-S-16-OMD ";"114,83 ";"S ";"10415 "
"400 ";"20 ";"31,0 ";"52,0 ";"55,5 ";"36 ";"GMV-S-20-OMD ";"117,59 ";"S ";"10416 "
"400 ";"25 ";"32,0 ";"56,0 ";"58,0 ";"41 ";"GMV-S-25-OMD ";"144,26 ";"S ";"10417 "
"400 ";"30 ";"33,0 ";"60,0 ";"60,5 ";"46 ";"GMV-S-30-OMD ";"234,32 ";"S ";"10418 "
"315 ";"38 ";"32,0 ";"64,0 ";"65,0 ";"55 ";"GMV-S-38-OMD ";"294,22 ";"S ";"10419 "
