"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"72 ";"14 ";"VKA-DKOL-06 ";"102,25 ";"L ";"10420 "
"315 ";"8 ";"M 14 x 1,5 ";"58 ";"17 ";"VKA-DKOL-08 ";"102,25 ";"L ";"10421 "
"315 ";"10 ";"M 16 x 1,5 ";"58 ";"19 ";"VKA-DKOL-10 ";"102,25 ";"L ";"10422 "
"315 ";"12 ";"M 18 x 1,5 ";"54 ";"22 ";"VKA-DKOL-12 ";"79,25 ";"L ";"10423 "
"315 ";"15 ";"M 22 x 1,5 ";"57 ";"27 ";"VKA-DKOL-15 ";"82,83 ";"L ";"10424 "
"315 ";"18 ";"M 26 x 1,5 ";"59 ";"32 ";"VKA-DKOL-18 ";"90,5 ";"L ";"10425 "
"160 ";"22 ";"M 30 x 2 ";"60 ";"36 ";"VKA-DKOL-22 ";"99,7 ";"L ";"10426 "
"160 ";"28 ";"M 36 x 2 ";"65 ";"41 ";"VKA-DKOL-28 ";"107,4 ";"L ";"10427 "
"160 ";"35 ";"M 45 x 2 ";"70 ";"50 ";"VKA-DKOL-35 ";"127,82 ";"L ";"10428 "
"160 ";"42 ";"M 52 x 2 ";"71 ";"60 ";"VKA-DKOL-42 ";"166,15 ";"L ";"10429 "
"630 ";"6 ";"M 14 x 1,5 ";"72 ";"17 ";"VKA-DKOS-06 ";"102,25 ";"S ";"10430 "
"630 ";"8 ";"M 16 x 1,5 ";"58 ";"19 ";"VKA-DKOS-08 ";"102,25 ";"S ";"10431 "
"630 ";"10 ";"M 18 x 1,5 ";"58 ";"22 ";"VKA-DKOS-10 ";"102,25 ";"S ";"10432 "
"630 ";"12 ";"M 20 x 1,5 ";"54 ";"24 ";"VKA-DKOS-12 ";"79,5 ";"S ";"10433 "
"630 ";"14 ";"M 22 x 1,5 ";"70 ";"27 ";"VKA-DKOS-14 ";"82,83 ";"S ";"10434 "
"400 ";"16 ";"M 24 x 1,5 ";"55 ";"30 ";"VKA-DKOS-16 ";"90,5 ";"S ";"10435 "
"400 ";"20 ";"M 30 x 2 ";"64 ";"36 ";"VKA-DKOS-20 ";"99,7 ";"S ";"10436 "
"400 ";"25 ";"M 36 x 2 ";"66 ";"46 ";"VKA-DKOS-25 ";"107,4 ";"S ";"10437 "
"400 ";"30 ";"M 42 x 2 ";"70 ";"50 ";"VKA-DKOS-30 ";"128,9 ";"S ";"10438 "
"315 ";"38 ";"M 52 x 2 ";"72 ";"60 ";"VKA-DKOS-38 ";"168,15 ";"S ";"10439 "
