"Druck  Pressure  PN";"Schlauch  Hose  DN";"Gewinde  Thread  ";"Länge  Length  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"02 ";"M 16 x 2 ";"200 ";"SMS-M 16-200 ";"96,6 ";"";"10440 "
"630 ";"02 ";"M 16 x 2 ";"400 ";"SMS-M 16-400 ";"96,9 ";"";"10441 "
"630 ";"02 ";"M 16 x 2 ";"630 ";"SMS-M 16-630 ";"97,15 ";"";"10442 "
"630 ";"02 ";"M 16 x 2 ";"800 ";"SMS-M 16-800 ";"97,4 ";"";"10443 "
"630 ";"02 ";"M 16 x 2 ";"1000 ";"SMS-M 16-1000 ";"97,65 ";"";"10444 "
"630 ";"02 ";"M 16 x 2 ";"1500 ";"SMS-M 16-1500 ";"99,15 ";"";"10445 "
"630 ";"02 ";"M 16 x 2 ";"2000 ";"SMS-M 16-2000 ";"99,65 ";"";"10446 "
"630 ";"02 ";"M 16 x 2 ";"2500 ";"SMS-M 16-2500 ";"100,15 ";"";"10447 "
"630 ";"02 ";"M 16 x 2 ";"3200 ";"SMS-M 16-3200 ";"102,15 ";"";"10448 "
"630 ";"02 ";"M 16 x 2 ";"4000 ";"SMS-M 16-4000 ";"103,95 ";"";"10449 "
