"Druck  Pressure  PN";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G = NPT";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Durchfluﬂmenge  Flow Rate  l/min.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"300 ";"5,0 ";"1/8'' ";"24 ";"62,0 ";"";"50,0 ";"14 ";"";"6 ";"SV-Mu-NPT-1/8'' ";"69,9 ";"Muffe / Female ";"10610 "
"300 ";"6,3 ";"1/4'' ";"28 ";"74,5 ";"";"58,5 ";"19 ";"";"12 ";"SV-Mu-NPT-1/4'' ";"56,8 ";"Muffe / Female ";"10611 "
"250 ";"10,0 ";"3/8'' ";"35 ";"78,5 ";"";"64,0 ";"24 ";"";"23 ";"SV-Mu-NPT-3/8'' ";"63,5 ";"Muffe / Female ";"10612 "
"250 ";"12,5 ";"1/2'' ";"42 ";"91,5 ";"";"73,0 ";"30 ";"";"45 ";"SV-Mu-NPT-1/2'' ";"76,9 ";"Muffe / Female ";"10613 "
"250 ";"20,0 ";"3/4'' ";"52 ";"107,5 ";"";"87,5 ";"36 ";"";"105 ";"SV-Mu-NPT-3/4'' ";"116,55 ";"Muffe / Female ";"10614 "
"200 ";"25,0 ";"1'' ";"60 ";"126,5 ";"";"103,0 ";"41 ";"";"185 ";"SV-Mu-NPT-1'' ";"181,1 ";"Muffe / Female ";"10458 "
"140 ";"40,0 ";"1 1/4'' ";"75 ";"198,0 ";"";"126,0 ";"65 ";"";"370 ";"SV-Mu-NPT-1 1/4'' ";"411,4 ";"Muffe / Female ";"10459 "
"140 ";"40,0 ";"1 1/2'' ";"75 ";"199,0 ";"";"126,0 ";"65 ";"";"370 ";"SV-Mu-NPT-1 1/2'' ";"411,4 ";"Muffe / Female ";"10460 "
"90 ";"50,0 ";"2'' ";"105 ";"222,0 ";"";"142,0 ";"90 ";"";"750 ";"SV-Mu-NPT-2'' ";"1006,6 ";"Muffe / Female ";"10461 "
"300 ";"5,0 ";"1/8'' ";"";"62,0 ";"31,0 ";"";"";"14 ";"6 ";"SV-St-NPT-1/8'' ";"30,9 ";"Stecker / Male ";"10462 "
"300 ";"6,3 ";"1/4'' ";"";"74,5 ";"37,0 ";"";"";"19 ";"12 ";"SV-St-NPT-1/4'' ";"24,6 ";"Stecker / Male ";"10463 "
"250 ";"10,0 ";"3/8'' ";"";"78,5 ";"39,0 ";"";"";"22 ";"23 ";"SV-St-NPT-3/8'' ";"26,95 ";"Stecker / Male ";"10464 "
"250 ";"12,5 ";"1/2'' ";"";"91,5 ";"45,5 ";"";"";"27 ";"45 ";"SV-St-NPT-1/2'' ";"29,65 ";"Stecker / Male ";"10465 "
"250 ";"20,0 ";"3/4'' ";"";"107,5 ";"54,0 ";"";"";"36 ";"105 ";"SV-St-NPT-3/4'' ";"54 ";"Stecker / Male ";"10466 "
"200 ";"25,0 ";"1'' ";"";"126,5 ";"63,0 ";"";"";"41 ";"185 ";"SV-St-NPT-1'' ";"75,75 ";"Stecker / Male ";"10467 "
"140 ";"40,0 ";"1 1/4'' ";"";"198,0 ";"126,0 ";"";"";"65 ";"370 ";"SV-St-NPT-1 1/4'' ";"332,85 ";"Stecker / Male ";"10468 "
"140 ";"40,0 ";"1 1/2'' ";"";"199,0 ";"126,0 ";"";"";"65 ";"370 ";"SV-St-NPT-1 1/2'' ";"332,85 ";"Stecker / Male ";"10469 "
"90 ";"50,0 ";"2'' ";"";"222,0 ";"142,0 ";"";"";"90 ";"750 ";"SV-St-NPT-2'' ";"726,6 ";"Stecker / Male ";"10470 "
