"Baugrˆﬂe  Size  ";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1 ";"6,3 ";"G 1/4'' ";"24 x 2 ";"";"92,0 ";"59,0 ";"";"19 ";"SKM-1-G 1/4'' ";"53,75 ";"Muffe / Female ";"10471 "
"2 ";"10,0 ";"G 3/8'' ";"28 x 2 ";"";"98,0 ";"64,0 ";"";"22 ";"SKM-2-G 3/8'' ";"53,75 ";"Muffe / Female ";"10472 "
"3 ";"12,5 ";"G 1/2'' ";"36 x 2 ";"";"102,0 ";"67,0 ";"";"30 ";"SKM-3-G 1/2'' ";"63,8 ";"Muffe / Female ";"10473 "
"4 ";"20,0 ";"G 3/4'' ";"42 x 2 ";"";"123,0 ";"81,5 ";"";"36 ";"SKM-4-G 3/4'' ";"104,4 ";"Muffe / Female ";"10474 "
"6 ";"25,0 ";"G 1'' ";"48 x 3 ";"";"144,0 ";"97,0 ";"";"41 ";"SKM-6-G 1'' ";"136,55 ";"Muffe / Female ";"10475 "
"8 ";"40,0 ";"G 1 1/2'' ";"70 x 3 ";"";"189,0 ";"116,0 ";"";"60 ";"SKM-8-G 1 1/2'' ";"539 ";"Muffe / Female ";"10476 "
"1 ";"6,3 ";"G 1/4'' ";"24 x 2 ";"30 ";"92,0 ";"";"58,0 ";"19 ";"SKS-1-G 1/4'' ";"74,05 ";"Stecker / Male ";"10477 "
"2 ";"10,0 ";"G 3/8'' ";"28 x 2 ";"35 ";"98,0 ";"";"61,0 ";"22 ";"SKS-2-G 3/8'' ";"74,05 ";"Stecker / Male ";"10478 "
"3 ";"12,5 ";"G 1/2'' ";"36 x 2 ";"42 ";"102,0 ";"";"63,5 ";"30 ";"SKS-3-G 1/2'' ";"80,3 ";"Stecker / Male ";"10479 "
"4 ";"20,0 ";"G 3/4'' ";"42 x 2 ";"48 ";"123,0 ";"";"73,5 ";"36 ";"SKS-4-G 3/4'' ";"142,3 ";"Stecker / Male ";"10480 "
"6 ";"25,0 ";"G 1'' ";"48 x 3 ";"55 ";"144,0 ";"";"82,5 ";"41 ";"SKS-6-G 1'' ";"185,2 ";"Stecker / Male ";"10481 "
"8 ";"40,0 ";"G 1 1/2'' ";"70 x 3 ";"80 ";"189,0 ";"";"121,0 ";"60 ";"SKS-8-G 1 1/2'' ";"539 ";"Stecker / Male ";"10482 "
