"Baugrˆﬂe  Size  ";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G";"Gewinde  Thread  G2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1 ";"6,3 ";"M 16 x 1,5 ";"24 x 2 ";"";"8 ";"";"";"";"12 ";"19 ";"SKM-1-08-S ";"";"S - Muffe / Female ";"10503 "
"2 ";"10,0 ";"M 18 x 1,5 ";"28 x 2 ";"";"10 ";"100 ";"53,0 ";"";"12 ";"27 ";"SKM-2-10-S ";"";"S - Muffe / Female ";"10504 "
"2 ";"10,0 ";"M 20 x 1,5 ";"28 x 2 ";"";"12 ";"100 ";"53,0 ";"";"12 ";"27 ";"SKM-2-12-S ";"";"S - Muffe / Female ";"10505 "
"3 ";"12,5 ";"M 22 x 1,5 ";"36 x 2 ";"";"14 ";"";"";"";"14 ";"30 ";"SKM-3-14-S ";"";"S - Muffe / Female ";"10506 "
"3 ";"12,5 ";"M 24 x 1,5 ";"36 x 2 ";"";"16 ";"105 ";"54,5 ";"";"14 ";"30 ";"SKM-3-16-S ";"70,2 ";"S - Muffe / Female ";"10507 "
"4 ";"20,0 ";"M 30 x 2 ";"42 x 2 ";"";"20 ";"125 ";"66,5 ";"";"16 ";"36 ";"SKM-4-20-S ";"";"S - Muffe / Female ";"10508 "
"6 ";"25,0 ";"M 36 x 2 ";"48 x 3 ";"";"25 ";"145 ";"79,5 ";"";"18 ";"41 ";"SKM-6-25-S ";"150,25 ";"S - Muffe / Female ";"10509 "
"8 ";"40,0 ";"M 42 x 2 ";"70 x 3 ";"";"30 ";"";"";"";"20 ";"55 ";"SKM-8-30-S ";"";"S - Muffe / Female ";"10510 "
"8 ";"40,0 ";"M 52 x 2 ";"70 x 3 ";"";"38 ";"";"";"";"22 ";"55 ";"SKM-8-38-S ";"";"S - Muffe / Female ";"10511 "
"1 ";"6,3 ";"M 16 x 1,5 ";"24 x 2 ";"30 ";"8 ";"";"";"";"12 ";"19 ";"SKS-1-08-S ";"";"S - Stecker / Male ";"10512 "
"2 ";"10,0 ";"M 18 x 1,5 ";"28 x 2 ";"35 ";"10 ";"100 ";"";"50,0 ";"12 ";"27 ";"SKS-2-10-S ";"";"S - Stecker / Male ";"10513 "
"2 ";"10,0 ";"M 20 x 1,5 ";"28 x 2 ";"35 ";"12 ";"100 ";"";"50,0 ";"12 ";"27 ";"SKS-2-12-S ";"";"S - Stecker / Male ";"10514 "
"3 ";"12,5 ";"M 22 x 1,5 ";"36 x 2 ";"42 ";"14 ";"";"";"";"14 ";"30 ";"SKS-3-14-S ";"";"S - Stecker / Male ";"10515 "
"3 ";"12,5 ";"M 24 x 1,5 ";"36 x 2 ";"42 ";"16 ";"105 ";"";"51,0 ";"14 ";"30 ";"SKS-3-16-S ";"88,35 ";"S - Stecker / Male ";"10516 "
"4 ";"20,0 ";"M 30 x 2 ";"42 x 2 ";"48 ";"20 ";"125 ";"";"58,5 ";"16 ";"36 ";"SKS-4-20-S ";"";"S - Stecker / Male ";"10517 "
"6 ";"25,0 ";"M 36 x 2 ";"48 x 3 ";"55 ";"25 ";"145 ";"";"65,0 ";"18 ";"41 ";"SKS-6-25-S ";"203,7 ";"S - Stecker / Male ";"10518 "
"8 ";"40,0 ";"M 42 x 2 ";"70 x 3 ";"80 ";"30 ";"";"";"";"20 ";"55 ";"SKS-8-30-S ";"";"S - Stecker / Male ";"10519 "
"8 ";"40,0 ";"M 52 x 2 ";"70 x 3 ";"80 ";"38 ";"";"";"";"22 ";"55 ";"SKS-8-38-S ";"";"S - Stecker / Male ";"10520 "
