"Druck  Pressure  PN-bar";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  C1";"Gewinde  Thread  C2";"Durchmesser  Diameter  D1";"Durchmesser  Diameter  D3";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Durchfluﬂmenge  Flow Rate  l/min.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6,3 ";"G 1/4'' ";"";"28,0 ";"";"58,5 ";"";"108,0 ";"22 ";"";"12 ";"FF-1/4''-F-DN 6 ";"138 ";"Muffe / Ferrule ";"10560 "
"250 ";"10,0 ";"G 3/8'' ";"";"32,0 ";"";"73,5 ";"";"127,0 ";"27 ";"";"23 ";"FF-3/8''-F-DN 10 ";"149,5 ";"Muffe / Ferrule ";"10561 "
"250 ";"10,0 ";"G 1/2'' ";"";"32,0 ";"";"73,5 ";"";"127,0 ";"27 ";"";"23 ";"FF-1/2''-F-DN 10 ";"149,5 ";"Muffe / Ferrule ";"10562 "
"250 ";"12,5 ";"G 1/2'' ";"";"38,0 ";"";"83,5 ";"";"149,5 ";"36 ";"";"45 ";"FF-1/2''-F-DN 12 ";"186 ";"Muffe / Ferrule ";"10563 "
"250 ";"12,5 ";"G 3/4'' ";"";"38,0 ";"";"83,5 ";"";"149,5 ";"36 ";"";"45 ";"FF-3/4-F-DN 12 ";"186 ";"Muffe / Ferrule ";"10564 "
"250 ";"16,0 ";"G 1/2'' ";"";"42,0 ";"";"86,0 ";"";"152,0 ";"36 ";"";"74 ";"FF-1/2''-F-DN 16 ";"225 ";"Muffe / Ferrule ";"10565 "
"250 ";"16,0 ";"G 3/4'' ";"";"42,0 ";"";"86,0 ";"";"152,0 ";"36 ";"";"74 ";"FF-3/4''-F-DN 16 ";"225 ";"Muffe / Ferrule ";"10566 "
"250 ";"19,0 ";"G 3/4'' ";"";"48,0 ";"";"97,5 ";"";"160,0 ";"41 ";"";"100 ";"FF-3/4''-F-DN 19 ";"237,5 ";"Muffe / Ferrule ";"10567 "
"250 ";"19,0 ";"G 1'' ";"";"48,0 ";"";"97,5 ";"";"160,0 ";"41 ";"";"100 ";"FF-1''-F-DN 19 ";"237,5 ";"Muffe / Ferrule ";"12299 "
"250 ";"25,0 ";"G 1'' ";"";"55,0 ";"";"109,3 ";"";"184,0 ";"50 ";"";"189 ";"FF-1''-F-DN 25 ";"380,3 ";"Muffe / Ferrule ";"12300 "
