"Druck  Pressure  PB";"DN  DN  DN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"750 ";"06 ";"1/4'' ";"30 ";"84,0 ";"68,0 ";"";"12,5 ";"";"22 ";"HSK-M-G 1/4'' ";"115,1 ";"Mutter/ Female ";"10576 "
"650 ";"10 ";"3/8'' ";"40 ";"89,5 ";"75,0 ";"";"12,5 ";"";"27 ";"HSK-M-G 3/8'' ";"115,1 ";"Mutter/ Female ";"10577 "
"650 ";"12,5 ";"1/2'' ";"45 ";"102,0 ";"86,5 ";"";"15,0 ";"";"34 ";"HSK-M-G 1/2'' ";"121,5 ";"Mutter/ Female ";"10578 "
"500 ";"19 ";"3/4'' ";"55 ";"121,0 ";"105,0 ";"";"16,5 ";"";"41 ";"HSK-M-G 3/4'' ";"174,6 ";"Mutter/ Female ";"10579 "
"460 ";"25 ";"1'' ";"60 ";"136,0 ";"120,0 ";"";"19,0 ";"";"50 ";"HSK-M-G 1'' ";"237,15 ";"Mutter/ Female ";"10580 "
"400 ";"31 ";"1 1/4'' ";"80 ";"167,0 ";"153,0 ";"";"21,5 ";"";"65 ";"HSK-M-G 1 1/4'' ";"801,45 ";"Mutter/ Female ";"10551 "
"380 ";"38 ";"1 1/2'' ";"98 ";"190,0 ";"170,0 ";"";"22,5 ";"";"75 ";"HSK-M-G 1 1/2'' ";"1041,7 ";"Mutter/ Female ";"10770 "
"750 ";"06 ";"1/4'' ";"";"84,0 ";"";"43,0 ";"12,5 ";"25 ";"";"HSK-S-G 1/4'' ";"77 ";"Stecker / Male ";"10552 "
"650 ";"10 ";"3/8'' ";"";"89,5 ";"";"48,0 ";"12,5 ";"32 ";"";"HSK-S-G 3/8'' ";"77 ";"Stecker / Male ";"10553 "
"650 ";"12,5 ";"1/2'' ";"";"102,0 ";"";"53,0 ";"15,0 ";"34 ";"";"HSK-S-G 1/2'' ";"83,8 ";"Stecker / Male ";"10554 "
"500 ";"19 ";"3/4'' ";"";"121,0 ";"";"63,0 ";"16,5 ";"46 ";"";"HSK-S-G 3/4'' ";"116,9 ";"Stecker / Male ";"10555 "
"460 ";"25 ";"1'' ";"";"136,0 ";"";"72,0 ";"19,0 ";"50 ";"";"HSK-S-G 1'' ";"146,25 ";"Stecker / Male ";"10556 "
"400 ";"31 ";"1 1/4'' ";"";"167,0 ";"";"86,0 ";"21,5 ";"65 ";"";"HSK-S-G 1 1/4'' ";"417,95 ";"Stecker / Male ";"10557 "
"360 ";"38 ";"1 1/2'' ";"";"190,0 ";"";"95,0 ";"22,5 ";"80 ";"";"HSK-S-G 1 1/2'' ";"537,9 ";"Stecker / Male ";"10558 "
