"Druck  Pressure  PN";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Durchfluﬂmenge  Flow Rate  l/min.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"300 ";"5,0 ";"1/8'' ";"24 ";"62,0 ";"";"50,0 ";"14 ";"";"6 ";"SV-Mu-G 1/8'' ";"67,1 ";"Muffe / Female ";"10592 "
"300 ";"6,3 ";"1/4'' ";"28 ";"74,5 ";"";"58,5 ";"19 ";"";"12 ";"SV-Mu-G 1/4'' ";"52,75 ";"Muffe / Female ";"10593 "
"250 ";"10,0 ";"3/8'' ";"35 ";"78,5 ";"";"64,0 ";"24 ";"";"23 ";"SV-Mu-G 3/8'' ";"59 ";"Muffe / Female ";"10594 "
"250 ";"12,5 ";"1/2'' ";"42 ";"91,5 ";"";"73,0 ";"30 ";"";"45 ";"SV-Mu-G 1/2'' ";"71,4 ";"Muffe / Female ";"10595 "
"250 ";"20,0 ";"3/4'' ";"52 ";"107,5 ";"";"87,5 ";"36 ";"";"105 ";"SV-Mu-G 3/4'' ";"97,4 ";"Muffe / Female ";"10596 "
"200 ";"25,0 ";"1'' ";"60 ";"126,5 ";"";"103,0 ";"41 ";"";"185 ";"SV-Mu-G 1'' ";"151,35 ";"Muffe / Female ";"10597 "
"140 ";"40,0 ";"1 1/4'' ";"75 ";"198,0 ";"";"126,0 ";"65 ";"";"370 ";"SV-Mu-G 1 1/4'' ";"343,2 ";"Muffe / Female ";"10598 "
"140 ";"40,0 ";"1 1/2'' ";"75 ";"199,0 ";"";"126,0 ";"65 ";"";"370 ";"SV-Mu-G 1 1/2'' ";"343,2 ";"Muffe / Female ";"10599 "
"90 ";"50,0 ";"2'' ";"105 ";"222,0 ";"";"142,0 ";"90 ";"";"750 ";"SV-Mu-G 2'' ";"841,5 ";"Muffe / Female ";"10600 "
"300 ";"5,0 ";"1/8'' ";"";"62,0 ";"31,0 ";"";"";"14 ";"6 ";"SV-St-G 1/8'' ";"29,2 ";"Stecker / Male ";"10601 "
"300 ";"6,3 ";"1/4'' ";"";"74,5 ";"37,0 ";"";"";"19 ";"12 ";"SV-St-G 1/4'' ";"22,9 ";"Stecker / Male ";"10602 "
"250 ";"10,0 ";"3/8'' ";"";"78,5 ";"39,0 ";"";"";"22 ";"23 ";"SV-St-G 3/8'' ";"25 ";"Stecker / Male ";"10603 "
"250 ";"12,5 ";"1/2'' ";"";"91,5 ";"45,5 ";"";"";"27 ";"45 ";"SV-St-G 1/2'' ";"27,5 ";"Stecker / Male ";"10604 "
"250 ";"20,0 ";"3/4'' ";"";"107,5 ";"54,0 ";"";"";"36 ";"105 ";"SV-St-G 3/4'' ";"45,25 ";"Stecker / Male ";"10605 "
"200 ";"25,0 ";"1'' ";"";"126,5 ";"63,0 ";"";"";"41 ";"185 ";"SV-St-G 1'' ";"63,3 ";"Stecker / Male ";"10606 "
"140 ";"40,0 ";"1 1/4'' ";"";"198,0 ";"126,0 ";"";"";"65 ";"370 ";"SV-St-G 1 1/4'' ";"278,9 ";"Stecker / Male ";"10607 "
"140 ";"40,0 ";"1 1/2'' ";"";"199,0 ";"126,0 ";"";"";"65 ";"370 ";"SV-St-G 1 1/2'' ";"278,9 ";"Stecker / Male ";"10608 "
"90 ";"50,0 ";"2'' ";"";"222,0 ";"142,0 ";"";"";"90 ";"750 ";"SV-St-G 2'' ";"607,2 ";"Stecker / Male ";"10609 "
