"Rohr A.D.  Tube O.D.  D";"Wandst‰rke  Wall Thickness  W";"Rohr I.D.  Tube I.D.  ";"Biegeradius  Bend Radius  R";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"16 ";"2,0 ";"12 ";"24 ";"230 ";"70 ";"NRB-16x2 ";"31,6 ";" ";"10615 "
"18 ";"1,5 ";"15 ";"30 ";"236 ";"71 ";"NRB-18x1,5 ";"30,65 ";" ";"10616 "
"18 ";"2,0 ";"14 ";"30 ";"236 ";"71 ";"NRB-18x2 ";"33,7 ";" ";"10617 "
"20 ";"2,0 ";"16 ";"33 ";"236 ";"81 ";"NRB-20x2 ";"39,9 ";" ";"10618 "
"20 ";"2,5 ";"15 ";"33 ";"236 ";"81 ";"NRB-20x2,5 ";"40,75 ";" ";"10619 "
"22 ";"2,0 ";"18 ";"33 ";"238 ";"78 ";"NRB-22x2 ";"36,3 ";" ";"10620 "
"22 ";"3,0 ";"16 ";"33 ";"238 ";"78 ";"NRB-22x3 ";"41,8 ";" ";"10621 "
"25 ";"2,5 ";"20 ";"42 ";"244 ";"94 ";"NRB-25x2,5 ";"44,4 ";" ";"10622 "
"25 ";"3,0 ";"19 ";"42 ";"244 ";"94 ";"NRB-25x3 ";"48,8 ";" ";"10623 "
"28 ";"2,0 ";"24 ";"42 ";"248 ";"98 ";"NRB-28x2 ";"44,8 ";" ";"10624 "
"28 ";"3,0 ";"22 ";"42 ";"248 ";"98 ";"NRB-28x3 ";"51,5 ";" ";"10625 "
"30 ";"3,0 ";"24 ";"50 ";"250 ";"110 ";"NRB-30x3 ";"64,9 ";" ";"10626 "
"30 ";"4,0 ";"22 ";"50 ";"250 ";"110 ";"NRB-30x4 ";"75 ";" ";"10627 "
"35 ";"2,0 ";"31 ";"53 ";"260 ";"125 ";"NRB-35x2 ";"54,3 ";" ";"10628 "
"35 ";"5,0 ";"25 ";"53 ";"260 ";"125 ";"NRB-35x5 ";"";" ";"10629 "
"38 ";"4,0 ";"30 ";"60 ";"265 ";"140 ";"NRB-38x4 ";"99,5 ";" ";"10630 "
"38 ";"5,0 ";"28 ";"60 ";"265 ";"140 ";"NRB-38x5 ";"114,9 ";" ";"10631 "
"42 ";"3,0 ";"36 ";"65 ";"280 ";"165 ";"NRB-42x3 ";"79,5 ";" ";"10632 "
"50 ";"5,0 ";"40 ";"75 ";"310 ";"310 ";"NRB-50x5 ";"";" ";"10633 "
