"DN  DN  mm";"Größe  Hose Size  in.";"I.D.+/-0,5  I.D.+/-0,5  mm";"A.D. +/-0,5  A.D. +/-0,5  mm";"Gewicht  Weight  g/m";"Max. Betriebsdruck  Max. Working Pressure  bar";"Max. Betriebsdruck  Max. Working Pressure  P.S.I.";"Min. Biegeradius  Min. Bend Radius  mm";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"5,0 ";"8,2 ";"83 ";"240 ";"3480 ";"45 ";"Hose PT1W-DN 05 ";"11,55 ";"über / over 40 m ";"10762 "
"06 ";"1/4'' ";"6,7 ";"10,0 ";"126 ";"240 ";"3480 ";"100 ";"Hose PT1W-DN 06 ";"11,55 ";"über / over 40 m ";"10763 "
"08 ";"5/16'' ";"8,2 ";"11,7 ";"172 ";"200 ";"2900 ";"120 ";"Hose PT1W-DN 08 ";"14,5 ";"über / over 40 m ";"10764 "
"10 ";"3/8'' ";"10,3 ";"13,8 ";"223 ";"175 ";"2530 ";"140 ";"Hose PT1W-DN 10 ";"15,2 ";"über / over 40 m ";"10765 "
"12 ";"1/2'' ";"13,0 ";"17,0 ";"293 ";"150 ";"2170 ";"160 ";"Hose PT1W-DN 12 ";"24 ";"über / over 40 m ";"10766 "
"16 ";"5/8'' ";"16,0 ";"20,2 ";"360 ";"135 ";"1950 ";"190 ";"Hose PT1W-DN 16 ";"27,6 ";"über / over 40 m ";"10767 "
"19 ";"3/4'' ";"19,0 ";"23,2 ";"423 ";"110 ";"1590 ";"230 ";"Hose PT1W-DN 19 ";"39,7 ";"über / over 40 m ";"10768 "
"25 ";"1'' ";"25,4 ";"30,3 ";"640 ";"80 ";"1160 ";"300 ";"Hose PT1W-DN 25 ";"54,4 ";"über / over 40 m ";"10769 "
"05 ";"3/16'' ";"5,0 ";"8,2 ";"83 ";"240 ";"3480 ";"45 ";"Hose PT1W-DN 05 ";"12,4 ";"unter / under 40 m ";"10745 "
"06 ";"1/4'' ";"6,7 ";"10,0 ";"126 ";"240 ";"3480 ";"100 ";"Hose PT1W-DN 06 ";"12,4 ";"unter / under 40 m ";"10746 "
"08 ";"5/16'' ";"8,2 ";"11,7 ";"172 ";"200 ";"2900 ";"120 ";"Hose PT1W-DN 08 ";"15,55 ";"unter / under 40 m ";"10747 "
"10 ";"3/8'' ";"10,3 ";"13,8 ";"223 ";"175 ";"2530 ";"140 ";"Hose PT1W-DN 10 ";"16,3 ";"unter / under 40 m ";"10748 "
"12 ";"1/2'' ";"13,0 ";"17,0 ";"293 ";"150 ";"2170 ";"160 ";"Hose PT1W-DN 12 ";"25,75 ";"unter / under 40 m ";"10749 "
"16 ";"5/8'' ";"16,0 ";"20,2 ";"360 ";"135 ";"1950 ";"190 ";"Hose PT1W-DN 16 ";"29,65 ";"unter / under 40 m ";"10750 "
"19 ";"3/4'' ";"19,0 ";"23,2 ";"423 ";"110 ";"1590 ";"230 ";"Hose PT1W-DN 19 ";"42,6 ";"unter / under 40 m ";"10751 "
"25 ";"1'' ";"25,4 ";"30,3 ";"640 ";"80 ";"1160 ";"300 ";"Hose PT1W-DN 25 ";"58,4 ";"unter / under 40 m ";"10752 "
