"DN  DN  mm";"Größe  Hose Size  in.";"Tol.  Tol.  mm";"A.D.  O.D.  mm";"Max. Betriebsdruck  Max. Working Pressure  bar";"Max. Betriebsdruck  Max. Working Pressure  P.S.I.";"Min. Biegeradius  Min. Bend Radius  mm";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"+/-0,5 ";"11,6 ";"130 ";"1880 ";"18 ";"Hose PT3W-DN 06 ";"35,5 ";"über / over 40 m ";"10771 "
"08 ";"5/16'' ";"+/-0,5 ";"12,7 ";"120 ";"1740 ";"19 ";"Hose PT3W-DN 08 ";"36,75 ";"über / over 40 m ";"10772 "
"10 ";"3/8'' ";"+/-0,6 ";"15,6 ";"110 ";"1590 ";"20 ";"Hose PT3W-DN 10 ";"37,4 ";"über / over 40 m ";"10773 "
"12 ";"1/2'' ";"+/-0,8 ";"18,9 ";"100 ";"1450 ";"25 ";"Hose PT3W-DN 12 ";"45,25 ";"über / over 40 m ";"10774 "
"16 ";"5/8'' ";"+/-0,8 ";"22,2 ";"70 ";"1010 ";"50 ";"Hose PT3W-DN 16 ";"58,25 ";"über / over 40 m ";"10775 "
"19 ";"3/4'' ";"+/-1,1 ";"26,4 ";"60 ";"870 ";"65 ";"Hose PT3W-DN 19 ";"68 ";"über / over 40 m ";"10776 "
"25 ";"1'' ";"+/-1,3 ";"33,0 ";"40 ";"580 ";"90 ";"Hose PT3W-DN 25 ";"94 ";"über / over 40 m ";"10777 "
"31 ";"1 1/4'' ";"+/-1,5 ";"40,5 ";"30 ";"430 ";"127 ";"Hose PT3W-DN 31 ";"118 ";"über / over 40 m ";"10778 "
"06 ";"1/4'' ";"+/-0,5 ";"11,6 ";"130 ";"1880 ";"18 ";"Hose PT3W-DN 06 ";"44,5 ";"unter / under 40 m ";"10753 "
"08 ";"5/16'' ";"+/-0,5 ";"12,7 ";"120 ";"1740 ";"19 ";"Hose PT3W-DN 08 ";"48,5 ";"unter / under 40 m ";"10754 "
"10 ";"3/8'' ";"+/-0,6 ";"15,6 ";"110 ";"1590 ";"20 ";"Hose PT3W-DN 10 ";"50,52 ";"unter / under 40 m ";"10755 "
"12 ";"1/2'' ";"+/-0,8 ";"18,9 ";"100 ";"1450 ";"25 ";"Hose PT3W-DN 12 ";"53,5 ";"unter / under 40 m ";"10756 "
"16 ";"5/8'' ";"+/-0,8 ";"22,2 ";"70 ";"1010 ";"50 ";"Hose PT3W-DN 16 ";"68,75 ";"unter / under 40 m ";"10757 "
"19 ";"3/4'' ";"+/-1,1 ";"26,4 ";"60 ";"870 ";"65 ";"Hose PT3W-DN 19 ";"88,25 ";"unter / under 40 m ";"10758 "
"25 ";"1'' ";"+/-1,3 ";"33,0 ";"40 ";"580 ";"90 ";"Hose PT3W-DN 25 ";"111,75 ";"unter / under 40 m ";"10759 "
"31 ";"1 1/4'' ";"+/-1,5 ";"40,5 ";"30 ";"430 ";"127 ";"Hose PT3W-DN 31 ";"122 ";"unter / under 40 m ";"10760 "
