"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"21,0 ";"23,0 ";"P2-DN 05 ";"6,5 ";"";"52 "
"06 ";"1/4'' ";"22,0 ";"34,5 ";"P2-DN 06 ";"6,5 ";"";"53 "
"08 ";"5/16'' ";"24,0 ";"34,5 ";"P2-DN 08 ";"6,55 ";"";"54 "
"10 ";"3/8'' ";"26,0 ";"35,0 ";"P2-DN 10 ";"6,65 ";"";"55 "
"12 ";"1/2'' ";"30,0 ";"37,0 ";"P2-DN 12 ";"7,25 ";"";"56 "
"16 ";"5/8'' ";"33,0 ";"40,0 ";"P2-DN 16 ";"9,55 ";"";"57 "
"19 ";"3/4'' ";"38,0 ";"45,0 ";"P2-DN 19 ";"13,35 ";"";"58 "
"25 ";"1'' ";"46,0 ";"50,0 ";"P2-DN 25 ";"17,95 ";"";"59 "
"31 ";"1 1/4'' ";"55,0 ";"70,0 ";"P2-DN 31 ";"30,65 ";"";"60 "
"38 ";"1 1/2'' ";"60,0 ";"70,0 ";"P2-DN 38 ";"39,8 ";"";"61 "
"51 ";"2'' ";"76,0 ";"80,0 ";"P2-DN 51 ";"53,8 ";"";"62 "
"60 ";"2 3/8'' ";"82,5 ";"72,0 ";"P2-DN 60 ";"105 ";"";"63 "
"80 ";"";"108,0 ";"90,0 ";"P2-DN 80 ";"198 ";"";"64 "
