"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"19,5 ";"3,0 ";"14 ";"4 x 1,5 ";"DKOL-06-DN 05 ";"12 ";"";"77 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"21,0 ";"4,0 ";"14 ";"5 x 1,0 ";"DKOL-06-DN 06 ";"11 ";"";"79 "
"05 ";"3/16'' ";"M 14 x 1,5 ";"8 ";"23,5 ";"3,0 ";"17 ";"6 x 1,5 ";"DKOL-08-DN 05 ";"12,2 ";"";"78 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"25,0 ";"4,0 ";"17 ";"6 x 1,5 ";"DKOL-08-DN 06 ";"11 ";"";"80 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"8 ";"22,0 ";"5,5 ";"17 ";"6 x 1,5 ";"DKOL-08-DN 08 ";"14 ";"";"81 "
"10 ";"3/8'' ";"M 14 x 1,5 ";"8 ";"29,0 ";"4,5 ";"17 ";"6 x 1,5 ";"DKOL-08-DN 10 ";"15 ";"";"82 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"27,0 ";"4,0 ";"19 ";"8 x 1,5 ";"DKOL-10-DN 06 ";"11,5 ";"";"83 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"26,0 ";"5,5 ";"19 ";"8 x 1,5 ";"DKOL-10-DN 08 ";"11,5 ";"";"84 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"26,0 ";"7,0 ";"19 ";"8 x 1,5 ";"DKOL-10-DN 10 ";"11 ";"";"85 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"12 ";"28,0 ";"4,0 ";"22 ";"9,25 x 1,78 ";"DKOL-12-DN 06 ";"14 ";"";"86 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"28,0 ";"5,5 ";"22 ";"9,25 x 1,78 ";"DKOL-12-DN 08 ";"12,4 ";"";"87 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"26,0 ";"7,0 ";"22 ";"10 x 1,5 ";"DKOL-12-DN 10 ";"11 ";"";"88 "
"12 ";"1/2'' ";"M 18 x 1,5 ";"12 ";"26,0 ";"8,0 ";"22 ";"10 x 1,5 ";"DKOL-12-DN 12 ";"14 ";"";"89 "
"06 ";"1/4'' ";"M 22 x 1,5 ";"15 ";"28,5 ";"4,0 ";"27 ";"12 x 2 ";"DKOL-15-DN 06 ";"15,5 ";"";"90 "
"08 ";"5/16'' ";"M 22 x 1,5 ";"15 ";"28,5 ";"5,5 ";"27 ";"12 x 2 ";"DKOL-15-DN 08 ";"15,5 ";"";"91 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"26,0 ";"7,0 ";"27 ";"12 x 2 ";"DKOL-15-DN 10 ";"13,9 ";"";"92 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"27,0 ";"9,5 ";"27 ";"12 x 2 ";"DKOL-15-DN 12 ";"11,8 ";"";"93 "
"16 ";"5/8'' ";"M 22 x 1,5 ";"15 ";"29,5 ";"10,0 ";"27 ";"12 x 2 ";"DKOL-15-DN 16 ";"17,95 ";"";"94 "
"19 ";"3/4'' ";"M 22 x 1,5 ";"15 ";"32,5 ";"10,0 ";"27 ";"15 x 2 ";"DKOL-15-DN 19 ";"";"";"12162 "
"10 ";"3/8'' ";"M 26 x 1,5 ";"18 ";"24,0 ";"7,0 ";"32 ";"15 x 2 ";"DKOL-18-DN 10 ";"17 ";"";"95 "
"12 ";"1/2'' ";"M 26 x 1,5 ";"18 ";"28,0 ";"9,5 ";"32 ";"15 x 2 ";"DKOL-18-DN 12 ";"16,9 ";"";"96 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"29,5 ";"12,5 ";"32 ";"15 x 2 ";"DKOL-18-DN 16 ";"14,8 ";"";"97 "
"19 ";"3/4'' ";"M 26 x 1,5 ";"18 ";"32,0 ";"12,0 ";"32 ";"19 x 2 ";"DKOL-18-DN 19 ";"17,95 ";"";"98 "
"12 ";"1/2'' ";"M 30 x 2 ";"22 ";"32,5 ";"9,5 ";"36 ";"19 x 2 ";"DKOL-22-DN 12 ";"19,9 ";"";"99 "
"16 ";"5/8'' ";"M 30 x 2 ";"22 ";"31,0 ";"12,5 ";"36 ";"19 x 2 ";"DKOL-22-DN 16 ";"18,9 ";"";"100 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"33,0 ";"14,5 ";"36 ";"19 x 2 ";"DKOL-22-DN 19 ";"17,4 ";"";"101 "
"25 ";"1'' ";"M 30 x 2 ";"22 ";"35,0 ";"17,0 ";"36 ";"20 x 2 ";"DKOL-22-DN 25 ";"28,9 ";"";"102 "
"16 ";"5/8'' ";"M 36 x 2 ";"28 ";"33,0 ";"12,5 ";"41 ";"25 x 2 ";"DKOL-28-DN 16 ";"28,9 ";"";"103 "
"19 ";"3/4'' ";"M 36 x 2 ";"28 ";"34,5 ";"14,5 ";"41 ";"25 x 2 ";"DKOL-28-DN 19 ";"27,5 ";"";"104 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"34,5 ";"20,0 ";"41 ";"25 x 2 ";"DKOL-28-DN 25 ";"24,8 ";"";"105 "
"25 ";"1'' ";"M 45 x 2 ";"35 ";"42,5 ";"20,0 ";"50 ";"31 x 2,5 ";"DKOL-35-DN 25 ";"52,9 ";"";"106 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"37,0 ";"25,5 ";"50 ";"31 x 2,5 ";"DKOL-35-DN 31 ";"47,8 ";"";"107 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"42 ";"42,0 ";"25,5 ";"60 ";"38 x 2,5 ";"DKOL-42-DN 31 ";"62,9 ";"";"108 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"37,0 ";"31,5 ";"60 ";"38 x 2,5 ";"DKOL-42-DN 38 ";"58,5 ";"";"109 "
"51 ";"2'' ";"M 52 x 2 ";"42 ";"46,0 ";"34,0 ";"60 ";"38 x 2,5 ";"DKOL-42-DN 51 ";"127 ";"";"12163 "
