"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"44,5 ";"22,5 ";"3,0 ";"14 ";"4 x 1,5 ";"DKOL-06-45∞-DN 05 ";"24,9 ";"";"144 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"37,0 ";"15,0 ";"4,0 ";"14 ";"5 x 1,0 ";"DKOL-06-45∞-DN 06 ";"22,9 ";"";"145 "
"05 ";"3/16'' ";"M 14 x 1,5 ";"8 ";"37,0 ";"16,5 ";"3,0 ";"17 ";"6 x 1,5 ";"DKOL-08-45∞-DN 05 ";"24,5 ";"";"146 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"38,5 ";"16,5 ";"4,0 ";"17 ";"6 x 1,5 ";"DKOL-08-45∞-DN 06 ";"22 ";"";"147 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"8 ";"51,0 ";"26,0 ";"4,5 ";"17 ";"6 x 1,5 ";"DKOL-08-45∞-DN 08 ";"25,5 ";"";"148 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"38,5 ";"16,5 ";"4,0 ";"19 ";"8 x 1,5 ";"DKOL-10-45∞-DN 06 ";"22,5 ";"";"149 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"44,5 ";"19,0 ";"5,5 ";"19 ";"8 x 1,5 ";"DKOL-10-45∞-DN 08 ";"23 ";"";"150 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"45,5 ";"20,0 ";"7,0 ";"19 ";"8 x 1,5 ";"DKOL-10-45∞-DN 10 ";"22,5 ";"";"151 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"12 ";"42,0 ";"19,5 ";"4,0 ";"22 ";"10 x 1,5 ";"DKOL-12-45∞-DN 06 ";"26,5 ";"";"152 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"44,5 ";"19,0 ";"5,5 ";"22 ";"10 x 1,5 ";"DKOL-12-45∞-DN 08 ";"23,6 ";"";"153 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"43,5 ";"18,5 ";"7,0 ";"22 ";"10 x 1,5 ";"DKOL-12-45∞-DN 10 ";"21,3 ";"";"154 "
"12 ";"1/2'' ";"M 18 x 1,5 ";"12 ";"62,5 ";"27,5 ";"8,5 ";"22 ";"10 x 1,5 ";"DKOL-12-45∞-DN 12 ";"27,5 ";"";"155 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"53,5 ";"21,5 ";"7,0 ";"27 ";"12 x 2,0 ";"DKOL-15-45∞-DN 10 ";"27,5 ";"";"156 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"54,5 ";"20,5 ";"9,5 ";"27 ";"12 x 2,0 ";"DKOL-15-45∞-DN 12 ";"24,2 ";"";"157 "
"12 ";"1/2'' ";"M 26 x 1,5 ";"18 ";"60,5 ";"23,5 ";"9,0 ";"32 ";"15 x 2,0 ";"DKOL-18-45∞-DN 12 ";"35,5 ";"";"158 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"65,0 ";"26,5 ";"12,5 ";"32 ";"15 x 2,0 ";"DKOL-18-45∞-DN 16 ";"30,5 ";"";"159 "
"19 ";"3/4'' ";"M 26 x 1,5 ";"18 ";"76,5 ";"40,0 ";"13,0 ";"32 ";"15 x 2,0 ";"DKOL-18-45∞-DN 19 ";"";"";"12291 "
"16 ";"5/8'' ";"M 30 x 2 ";"22 ";"67,5 ";"28,0 ";"12,0 ";"36 ";"19 x 2,0 ";"DKOL-22-45∞-DN 16 ";"48,9 ";"";"160 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"70,0 ";"28,0 ";"14,5 ";"36 ";"19 x 2,0 ";"DKOL-22-45∞-DN 19 ";"41,5 ";"";"161 "
"19 ";"3/4'' ";"M 36 x 2 ";"28 ";"79,0 ";"34,0 ";"14,5 ";"41 ";"25 x 2,0 ";"DKOL-28-45∞-DN 19 ";"53,5 ";"";"162 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"93,0 ";"33,0 ";"20,0 ";"41 ";"25 x 2,0 ";"DKOL-28-45∞-DN 25 ";"46 ";"";"163 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"100,0 ";"44,0 ";"25,0 ";"50 ";"32 x 2,5 ";"DKOL-35-45∞-DN 31 ";"100 ";"";"164 "
"38 ";"1 1/2'' ";"M 45 x 2 ";"35 ";"";"";"";"50 ";"32 x 2,5 ";"DKOL-35-45∞-DN 38 ";"";"";"12292 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"42 ";"114,5 ";"45,0 ";"25,0 ";"60 ";"38 x 2,5 ";"DKOL-42-45∞-DN 31 ";"189 ";"";"165 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"111,0 ";"48,0 ";"31,0 ";"60 ";"38 x 2,5 ";"DKOL-42-45∞-DN 38 ";"130 ";"";"11633 "
