"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"21,5 ";"3,0 ";"14 ";"CEL-06-DN 05 ";"13,9 ";"";"667 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"23,0 ";"4,0 ";"14 ";"CEL-06-DN 06 ";"8,88 ";"";"668 "
"05 ";"3/16'' ";"M 14 x 1,5 ";"8 ";"21,5 ";"3,0 ";"14 ";"CEL-08-DN 05 ";"13,9 ";"";"669 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"23,0 ";"4,0 ";"14 ";"CEL-08-DN 06 ";"8,88 ";"";"670 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"25,0 ";"4,0 ";"17 ";"CEL-10-DN 06 ";"11 ";"";"671 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"24,5 ";"5,5 ";"17 ";"CEL-10-DN 08 ";"11,05 ";"";"672 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"24,5 ";"7,0 ";"17 ";"CEL-10-DN 10 ";"11,7 ";"";"673 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"12 ";"24,5 ";"4,0 ";"19 ";"CEL-12-DN 06 ";"14,2 ";"";"674 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"24,5 ";"5,5 ";"19 ";"CEL-12-DN 08 ";"13,21 ";"";"675 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"24,5 ";"7,0 ";"19 ";"CEL-12-DN 10 ";"11,2 ";"";"676 "
"12 ";"1/2'' ";"M 18 x 1,5 ";"12 ";"25,5 ";"9,5 ";"19 ";"CEL-12-DN 12 ";"15,5 ";"";"677 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"26,0 ";"7,0 ";"22 ";"CEL-15-DN 10 ";"12,53 ";"";"678 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"27,0 ";"9,5 ";"22 ";"CEL-15-DN 12 ";"11,4 ";"";"679 "
"12 ";"1/2'' ";"M 26 x 1,5 ";"18 ";"29,0 ";"9,5 ";"27 ";"CEL-18-DN 12 ";"14,55 ";"";"680 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"28,0 ";"12,5 ";"27 ";"CEL-18-DN 16 ";"13,35 ";"";"681 "
"19 ";"3/4'' ";"M 26 x 1,5 ";"18 ";"30,0 ";"14,5 ";"27 ";"CEL-18-DN 19 ";"22,5 ";"";"682 "
"16 ";"5/8'' ";"M 30 x 2 ";"22 ";"32,5 ";"12,5 ";"30 ";"CEL-22-DN 16 ";"20,9 ";"";"683 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"35,0 ";"14,5 ";"30 ";"CEL-22-DN 19 ";"19 ";"";"684 "
"25 ";"1'' ";"M 30 x 2 ";"22 ";"32,0 ";"20,0 ";"32 ";"CEL-22-DN 25 ";"44 ";"";"11718 "
"19 ";"3/4'' ";"M 36 x 2 ";"28 ";"34,0 ";"19,5 ";"36 ";"CEL-28-DN 19 ";"32,9 ";"";"685 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"35,0 ";"20,0 ";"36 ";"CEL-28-DN 25 ";"22 ";"";"686 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"39,0 ";"25,5 ";"46 ";"CEL-35-DN 31 ";"45 ";"";"687 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"45,0 ";"31,5 ";"55 ";"CEL-42-DN 38 ";"64,3 ";"";"688 "
"51 ";"2'' ";"M 52 x 2 ";"42 ";"49 ";"35,0 ";"60 ";"CEL-42-DN 51 ";"119,5 ";"";"12166 "
