"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"";"";"";"3,0 ";"14 ";"DKL-M 12x1,5-45∞-DN 05 ";"";"L ";"12293 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"37,0 ";"14,0 ";"4,0 ";"14 ";"DKL-M 12x1,5-45∞-DN 06 ";"22,9 ";"L ";"287 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"35,0 ";"14,5 ";"4,0 ";"17 ";"DKL-M 14x1,5-45∞-DN 06 ";"22,9 ";"L ";"288 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"8 ";"49,5 ";"23,0 ";"5,5 ";"17 ";"DKL-M 14x1,5-45∞-DN 08 ";"29,95 ";"L ";"289 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"";"";"";"19 ";"DKL-M 16x1,5-45∞-DN 06 ";"";"L ";"290 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"43,0 ";"17,0 ";"5,5 ";"19 ";"DKL-M 16x1,5-45∞-DN 08 ";"23,6 ";"L ";"291 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"43,0 ";"17,0 ";"7,0 ";"19 ";"DKL-M 16x1,5-45∞-DN 10 ";"23,6 ";"L ";"292 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"";"";"";"22 ";"DKL-M 18x1,5-45∞-DN 08 ";"";"L ";"293 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"43,5 ";"18,5 ";"7,0 ";"22 ";"DKL-M 18x1,5-45∞-DN 10 ";"23,6 ";"L ";"294 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"";"";"";"27 ";"DKL-M 22x1,5-45∞-DN 10 ";"";"L ";"295 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"53,0 ";"19,0 ";"9,5 ";"27 ";"DKL-M 22x1,5-45∞-DN 12 ";"26 ";"L ";"296 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"59,0 ";"23,0 ";"12,5 ";"32 ";"DKL-M 26x1,5-45∞-DN 16 ";"31,5 ";"L ";"297 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"70,0 ";"25,0 ";"14,5 ";"36 ";"DKL-M 30x2-45∞-DN 19 ";"43,5 ";"L ";"298 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"90,0 ";"32,0 ";"20,0 ";"41 ";"DKL-M 36x2-45∞-DN 25 ";"46,5 ";"L ";"299 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"100,0 ";"36,5 ";"25,0 ";"50 ";"DKL-M 45x2-45∞-DN 31 ";"105 ";"L ";"300 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"111,0 ";"43,5 ";"31,0 ";"60 ";"DKL-M 52x2-45∞-DN 38 ";"133,5 ";"L ";"301 "
"19 ";"3/4'' ";"M 30 x 1,5* ";"";"70,0 ";"25,0 ";"14,5 ";"36 ";"DKLL-M 30x1,5-45∞-DN 19 ";"48,3 ";"LL ";"302 "
"25 ";"1'' ";"M 38 x 1,5* ";"";"90,0 ";"32,0 ";"20,0 ";"46 ";"DKLL-M 38x1,5-45∞-DN 25 ";"62,75 ";"LL ";"303 "
"31 ";"1 1/4'' ";"M 45 x 1,5* ";"";"100,0 ";"36,5 ";"25,0 ";"55 ";"DKLL-M 45x1,5-45∞-DN 31 ";"116,2 ";"LL ";"304 "
"38 ";"1 1/2'' ";"M 52 x 1,5* ";"";"111,0 ";"43,5 ";"31,0 ";"60 ";"DKLL-M 52x1,5-45∞-DN 38 ";"150 ";"LL ";"305 "
"51 ";"2'' ";"M 65 x 2* ";"";"147,0 ";"52,5 ";"40,0 ";"75 ";"DKLL-M 65x2-45∞-DN 51 ";"285 ";"LL ";"306 "
"60 ";"2 3/8'' ";"M 78 x 2* ";"";"";"";"";"90 ";"DKLL-M 78x2-45∞-DN 60 ";"";"LL ";"307 "
"80 ";"3'' ";"M 100 x 2* ";"";"";"";"";"110 ";"DKLL-M 100x2-45∞-DN 80 ";"";"LL ";"308 "
