"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/4''-19 ";"15,5 ";"4,0 ";"14 ";"6 x 1,2 ";"DKOR-1/4ì-DN 06 ";"8,38 ";"";"12199 "
"08 ";"5/16'' ";"3/8''-19 ";"20,5 ";"5,5 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-DN 08 ";"9,95 ";"";"12200 "
"10 ";"3/8'' ";"3/8''-19 ";"20,5 ";"7,0 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-DN 10
DKOR-3/8ì-DN 10 ";"9,48 ";"";"12201 "
"10 ";"3/8'' ";"1/2''-14 ";"21,5 ";"7,0 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-DN 10 ";"15,21 ";"";"12202 "
"12 ";"1/2'' ";"1/2''-14 ";"23,5 ";"9,5 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-DN 12
DKOR-1/2ì-DN 12 ";"11,1 ";"";"12203 "
"19 ";"3/4'' ";"3/4''-14 ";"26,5 ";"14,5 ";"32 ";"17 x 1,5 ";"DKOR-3/4ì-DN 19 ";"15,97 ";"";"12204 "
"25 ";"1'' ";"1''-11 ";"28,0 ";"20,0 ";"41 ";"22 x 1,0 ";"DKOR-1ì-DN 25
DKOR-1ì-DN 25
DKOR-1ì-DN 25 ";"29,58 ";"";"12205 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"31,0 ";"25,5 ";"50 ";"29 x 1,5 ";"DKOR-1 1/4ì-DN 31 ";"47 ";"";"12206 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"46,0 ";"31,5 ";"55 ";"34 x 1,5 ";"DKOR-1 1/2ì-DN 38 ";"68,25 ";"";"12207 "
"51 ";"2'' ";"2''-11 ";"35,0 ";"43,0 ";"70 ";"48 x 1,5 ";"DKOR-2ì-DN 51 ";"116 ";"";"12208 "
"60 ";"2 3/8'' ";"2 1/2''-11 ";"44,0 ";"51,0 ";"85 ";"58 x 2,0 ";"DKOR-2 1/2ì-DN 60 ";"296 ";"";"12209 "
"63 ";"2 1/2'' ";"2 1/2''-11 ";"48,5 ";"55,5 ";"85 ";"58 x 2,0 ";"DKOR-2 1/2ì-DN 63 ";"";"";"12210 "
