"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/4''-19 ";"28,5 ";"28,0 ";"4,0 ";"17 ";"6 x 1,2 ";"DKOR-1/4ì-90∞-DN 06 ";"17,9 ";"";"12211 "
"08 ";"5/16'' ";"3/8''-19 ";"33,0 ";"34,0 ";"5,5 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-90∞-DN 08
DKOR-3/8ì-90∞-DN 08 ";"24,9 ";"";"12212 "
"10 ";"3/8'' ";"3/8''-19 ";"33,0 ";"34,0 ";"7,0 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-90∞-DN 10 ";"20,96 ";"";"12213 "
"10 ";"3/8'' ";"1/2''-14 ";"44,0 ";"42,5 ";"7,0 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-90∞-DN 10 ";"27,45 ";"";"12214 "
"12 ";"1/2'' ";"1/2''-14 ";"44,0 ";"42,5 ";"9,5 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-90∞-DN 12 ";"23,84 ";"";"12215 "
"19 ";"3/4'' ";"3/4''-14 ";"61,0 ";"54,0 ";"14,5 ";"32 ";"17 x 1,5 ";"DKOR-3/4ì-90∞-DN 19 ";"33,97 ";"";"12216 "
"25 ";"1'' ";"1''-11 ";"78,0 ";"69,0 ";"20,0 ";"41 ";"22 x 1,0 ";"DKOR-1ì-90∞-DN 25 ";"53,51 ";"";"12217 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"87,0 ";"81,0 ";"25,0 ";"50 ";"29 x 1,5 ";"DKOR-1 1/4ì-90∞-DN 31 ";"93,52 ";"";"12218 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"104,0 ";"102,0 ";"31,0 ";"55 ";"34x 1,5 ";"DKOR-1 1/2ì-90∞-DN 38 ";"125,73 ";"";"12219 "
"38 ";"1 1/2'' ";"2''-11 ";"120,0 ";"120,0 ";"31,0 ";"70 ";"48 x 1,5 ";"DKOR-2ì-90∞-DN 38 ";"229 ";"";"12254 "
"51 ";"2'' ";"2''-11 ";"142,0 ";"130,0 ";"40,0 ";"70 ";"48 x 1,5 ";"DKOR-2ì-90∞-DN 51 ";"283,01 ";"";"12220 "
"60 ";"2 3/8'' ";"2 1/2''-11 ";"";"";"";"";"58 x 2,0 ";"DKOR-2 1/2ì-90∞-DN 60 ";"";"";"12221 "
"63 ";"2 1/2'' ";"2 1/2''-11 ";"";"";"";"";"58 x 2,0 ";"DKOR-2 1/2ì-90∞-DN 63 ";"";"";"12222 "
