"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"1/8ì-28 ";"21,5 ";"3,0 ";"14 ";"AGR-1/8''-DN 05 ";"13,5 ";"";"709 "
"06 ";"1/4'' ";"1/8ì-28 ";"23,5 ";"4,0 ";"14 ";"AGR-1/8''-DN 06 ";"9,5 ";"";"710 "
"05 ";"3/16'' ";"1/4ì-19 ";"25,0 ";"3,0 ";"19 ";"AGR-1/4''-DN 05 ";"14 ";"";"711 "
"06 ";"1/4'' ";"1/4ì-19 ";"25,5 ";"4,0 ";"19 ";"AGR-1/4''-DN 06 ";"10,5 ";"";"712 "
"08 ";"5/16'' ";"1/4ì-19 ";"28,0 ";"5,5 ";"19 ";"AGR-1/4''-DN 08 ";"12,5 ";"";"713 "
"10 ";"3/8'' ";"1/4ì-19 ";"28,0 ";"6,0 ";"19 ";"AGR-1/4''-DN 10 ";"12,5 ";"";"714 "
"12 ";"1/2'' ";"1/4ì-19 ";"27,0 ";"7,0 ";"19 ";"AGR-1/4''-DN 12 ";"17,5 ";"";"715 "
"06 ";"1/4'' ";"3/8ì-19 ";"30,5 ";"4,0 ";"22 ";"AGR-3/8''-DN 06 ";"12,5 ";"";"716 "
"08 ";"5/16'' ";"3/8ì-19 ";"26,5 ";"5,5 ";"22 ";"AGR-3/8''-DN 08 ";"10,35 ";"";"717 "
"10 ";"3/8'' ";"3/8ì-19 ";"30,0 ";"7,0 ";"22 ";"AGR-3/8''-DN 10 ";"10,15 ";"";"718 "
"12 ";"1/2'' ";"3/8ì-19 ";"30,5 ";"9,5 ";"22 ";"AGR-3/8''-DN 12 ";"12,2 ";"";"719 "
"06 ";"1/4'' ";"1/2ì-14 ";"34,5 ";"4,0 ";"27 ";"AGR-1/2''-DN 06 ";"15,95 ";"";"720 "
"08 ";"5/16'' ";"1/2ì-14 ";"31,5 ";"5,5 ";"27 ";"AGR-1/2''-DN 08 ";"15,95 ";"";"721 "
"10 ";"3/8'' ";"1/2ì-14 ";"32,0 ";"7,0 ";"27 ";"AGR-1/2''-DN 10 ";"12 ";"";"722 "
"12 ";"1/2'' ";"1/2ì-14 ";"31,0 ";"9,5 ";"27 ";"AGR-1/2''-DN 12 ";"12 ";"";"723 "
"16 ";"5/8'' ";"1/2ì-14 ";"32,0 ";"12,5 ";"27 ";"AGR-1/2''-DN 16 ";"19 ";"";"724 "
"19 ";"3/4'' ";"1/2ì-14 ";"37,5 ";"14,5 ";"27 ";"AGR-1/2''-DN 19 ";"20 ";"";"725 "
"16 ";"5/8'' ";"5/8ì-14 ";"32,5 ";"12,5 ";"30 ";"AGR-5/8''-DN 16 ";"19,5 ";"";"726 "
"12 ";"1/2'' ";"3/4ì-14 ";"34,5 ";"9,5 ";"32 ";"AGR-3/4''-DN 12 ";"21,2 ";"";"727 "
"16 ";"5/8'' ";"3/4ì-14 ";"35,0 ";"12,5 ";"32 ";"AGR-3/4''-DN 16 ";"16,68 ";"";"728 "
"19 ";"3/4'' ";"3/4ì-14 ";"38,0 ";"14,5 ";"32 ";"AGR-3/4''-DN 19 ";"16,68 ";"";"729 "
"25 ";"1'' ";"3/4ì-14 ";"38,0 ";"19,5 ";"36 ";"AGR-3/4''-DN 25 ";"26 ";"";"730 "
"19 ";"3/4'' ";"1ì-11 ";"41,5 ";"14,5 ";"41 ";"AGR-1''-DN 19 ";"25,9 ";"";"731 "
"25 ";"1'' ";"1ì-11 ";"42,0 ";"20,0 ";"41 ";"AGR-1''-DN 25 ";"25,9 ";"";"732 "
"31 ";"1 1/4'' ";"1ì-11 ";"42,0 ";"25,5 ";"41 ";"AGR-1''-DN 31 ";"";"";"12321 "
"25 ";"1'' ";"1 1/4ì-11 ";"45,0 ";"20,0 ";"50 ";"AGR-1 1/4''-DN 25 ";"57,5 ";"";"733 "
"31 ";"1 1/4'' ";"1 1/4ì-11 ";"45,0 ";"25,5 ";"50 ";"AGR-1 1/4''-DN 31 ";"54,5 ";"";"734 "
"31 ";"1 1/4'' ";"1 1/2ì-11 ";"45,0 ";"25,5 ";"55 ";"AGR-1 1/2''-DN 31 ";"62,5 ";"";"735 "
"38 ";"1 1/2'' ";"1 1/2ì-11 ";"48,0 ";"31,5 ";"55 ";"AGR-1 1/2''-DN 38 ";"60 ";"";"736 "
"51 ";"2'' ";"2ì-11 ";"50,0 ";"41,0 ";"70 ";"AGR-2''-DN 51 ";"99 ";"";"737 "
