"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"9/16''-18 ";"30,0 ";"28,0 ";"4,0 ";"19 ";"FORFS-9/16''-90∞-DN 06 ";"41,4 ";"";"1014 "
"06 ";"1/4'' ";"11/16''-16 ";"30,0 ";"30,0 ";"4,0 ";"22 ";"FORFS-11/16''-90∞-DN 06 ";"52,5 ";"";"1015 "
"08 ";"5/16'' ";"11/16''-16 ";"";"";"";"22 ";"FORFS-11/16''-90∞-DN 08 ";"52,5 ";"";"1016 "
"10 ";"3/8'' ";"11/16''-16 ";"35,0 ";"31,0 ";"7,0 ";"22 ";"FORFS-11/16''-90∞-DN 10 ";"49,5 ";"";"1017 "
"10 ";"3/8'' ";"13/16''-16 ";"42,0 ";"36,0 ";"7,0 ";"24 ";"FORFS-13/16''-90∞-DN 10 ";"54,5 ";"";"1018 "
"12 ";"1/2'' ";"13/16''-16 ";"44,0 ";"36,5 ";"9,5 ";"24 ";"FORFS-13/16''-90∞-DN 12 ";"53 ";"";"1019 "
"12 ";"1/2'' ";"1''-14 ";"46,0 ";"48,5 ";"9,5 ";"30 ";"FORFS-1''-90∞-DN 12 ";"120 ";"";"1020 "
"16 ";"5/8'' ";"1''-14 ";"56,0 ";"49,0 ";"12,5 ";"30 ";"FORFS-1''-90∞-DN 16 ";"73 ";"";"1021 "
"19 ";"3/4'' ";"1''-14 ";"60,0 ";"59,0 ";"14,5 ";"30 ";"FORFS-1''-90∞-DN 19 ";"120 ";"";"1022 "
"12 ";"1/2'' ";"1. 3/16''-12 ";"";"";"";"36 ";"FORFS-1. 3/16''-90∞-DN 12 ";"";"";"1023 "
"16 ";"5/8'' ";"1. 3/16''-12 ";"";"";"";"36 ";"FORFS-1. 3/16''-90∞-DN 16 ";"";"";"1024 "
"19 ";"3/4'' ";"1. 3/16''-12 ";"74,0 ";"52,5 ";"14,5 ";"36 ";"FORFS-1. 3/16''-90∞-DN 19 ";"90 ";"";"1025 "
"19 ";"3/4'' ";"1. 7/16''-23 ";"";"";"";"41 ";"FORFS-1. 7/16''-90∞-DN 19 ";"137 ";"";"1026 "
"25 ";"1'' ";"1. 7/16''-12 ";"83,5 ";"66,0 ";"20,0 ";"41 ";"FORFS-1. 7/16''-90∞-DN 25 ";"133 ";"";"1027 "
"31 ";"1 1/4'' ";"1. 11/16''-12 ";"86,5 ";"79,0 ";"25,0 ";"50 ";"FORFS-1. 11/16''-90∞-DN 31 ";"180 ";"";"1028 "
"38 ";"1 1/2'' ";"2''-12 ";"104,0 ";"97,0 ";"31,0 ";"60 ";"FORFS-2''-90∞-DN 38 ";"500 ";"";"1029 "
