"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgröße  Flange Dimensions  D";"Flanschgröße  Flange Dimensions  in.";"Ca. Maße  Approx. Dimensions  A";"Ca. Maße  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"12 ";"1/2'' ";"30,2 ";"1/2'' ";"37,5 ";"9,5 ";"SFL3-1/2''-DN 12 ";"27 ";"3.000 P.S.I. ";"820 "
"16 ";"5/8'' ";"30,2 ";"1/2'' ";"39,0 ";"12,5 ";"SFL3-1/2''-DN 16 ";"37 ";"3.000 P.S.I. ";"821 "
"12 ";"1/2'' ";"38,1 ";"3/4'' ";"40,0 ";"9,5 ";"SFL3-3/4''-DN 12 ";"47 ";"3.000 P.S.I. ";"822 "
"16 ";"5/8'' ";"38,1 ";"3/4'' ";"46,5 ";"12,5 ";"SFL3-3/4''-DN 16 ";"39,9 ";"3.000 P.S.I. ";"823 "
"19 ";"3/4'' ";"38,1 ";"3/4'' ";"46,5 ";"14,5 ";"SFL3-3/4''-DN 19 ";"35 ";"3.000 P.S.I. ";"824 "
"19 ";"3/4'' ";"44,5 ";" 1'' ";"46,5 ";"14,5 ";"SFL3-1''-DN 19 ";"49,5 ";"3.000 P.S.I. ";"825 "
"25 ";"1'' ";"44,5 ";" 1'' ";"38,0 ";"20,0 ";"SFL3-1''-DN 25 ";"46 ";"3.000 P.S.I. ";"826 "
"25 ";"1'' ";"50,8 ";"1 1/4'' ";"49,0 ";"20,0 ";"SFL3-1 1/4''-DN 25 ";"77 ";"3.000 P.S.I. ";"827 "
"31 ";"1 1/4'' ";"50,8 ";"1 1/4'' ";"54,0 ";"25,5 ";"SFL3-1 1/4''-DN 31 ";"76,1 ";"3.000 P.S.I. ";"828 "
"31 ";"1 1/4'' ";"60,3 ";"1 1/2'' ";"50,0 ";"25,5 ";"SFL3-1 1/2''-DN 31 ";"105 ";"3.000 P.S.I. ";"829 "
"38 ";"1 1/2'' ";"60,3 ";"1 1/2'' ";"60,0 ";"31,5 ";"SFL3-1 1/2''-DN 38 ";"95 ";"3.000 P.S.I. ";"830 "
"38 ";"1 1/2'' ";"71,4 ";"2'' ";"62,0 ";"31,5 ";"SFL3-2''-DN 38 ";"170 ";"3.000 P.S.I. ";"831 "
"51 ";"2'' ";"71,4 ";"2'' ";"48,0 ";"43,0 ";"SFL3-2''-DN 51 ";"164 ";"3.000 P.S.I. ";"832 "
"60 ";"2 3/8''  ";"84,1 ";"2 1/2'' ";"68,0 ";"51,0 ";"SFL3-2 1/2''-DN 60 ";"185 ";"3.000 P.S.I. ";"833 "
"63 ";"2 1/2'' ";"84,1 ";"2 1/2'' ";"68,0 ";"55,5 ";"SFL3-2 1/2''-DN 63 ";"299 ";"3.000 P.S.I. ";"11509 "
"51 ";"2'' ";"101,5 ";"3'' ";"64,0 ";"43,0 ";"SFL3-3''-DN 51 ";"490 ";"3.000 P.S.I. ";"834 "
"76 ";"3'' ";"101,5 ";"3'' ";"87,0 ";"68,5 ";"SFL3-3''-DN 76 ";"299,5 ";"3.000 P.S.I. ";"835 "
"80 ";"";"101,5 ";"3'' ";"71,0 ";"73,0 ";"SFL3-3''-DN 80 ";"320 ";"3.000 P.S.I. ";"836 "
"12 ";"1/2'' ";"31,7 ";"1/2'' ";"39,0 ";"9,5 ";"SFS6-1/2''-DN 12 ";"31,5 ";"6.000 P.S.I. ";"837 "
"16 ";"5/8'' ";"31,7 ";"1/2'' ";"40,0 ";"12,5 ";"SFS6-1/2''-DN 16 ";"55 ";"6.000 P.S.I. ";"838 "
"12 ";"1/2'' ";"41,3 ";"3/4'' ";"40,0 ";"9,5 ";"SFS6-3/4''-DN 12 ";"55 ";"6.000 P.S.I. ";"839 "
"16 ";"5/8'' ";"41,3 ";"3/4'' ";"41,0 ";"12,5 ";"SFS6-3/4''-DN 16 ";"55 ";"6.000 P.S.I. ";"840 "
"19 ";"3/4'' ";"41,3 ";"3/4'' ";"48,0 ";"14,5 ";"SFS6-3/4''-DN 19 ";"45 ";"6.000 P.S.I. ";"841 "
"19 ";"3/4'' ";"47,6 ";"1'' ";"65,5 ";"14,5 ";"SFS6-1''-DN 19 ";"61,5 ";"6.000 P.S.I. ";"842 "
"25 ";"1'' ";"47,6 ";"1'' ";"68,0 ";"20,0 ";"SFS6-1''-DN 25 ";"53 ";"6.000 P.S.I. ";"843 "
"25 ";"1'' ";"54,0 ";"1 1/4'' ";"50,5 ";"20,0 ";"SFS6-1 1/4''-DN 25 ";"74,05 ";"6.000 P.S.I. ";"844 "
"31 ";"1 1/4'' ";"54,0 ";"1 1/4'' ";"70,0 ";"25,5 ";"SFS6-1 1/4''-DN 31 ";"73,5 ";"6.000 P.S.I. ";"845 "
"31 ";"1 1/4'' ";"63,5 ";"1 1/2'' ";"58,0 ";"25,5 ";"SFS6-1 1/2''-DN 31 ";"125 ";"6.000 P.S.I. ";"846 "
"38 ";"1 1/2'' ";"63,5 ";"1 1/2'' ";"68,0 ";"31,5 ";"SFS6-1 1/2''-DN 38 ";"110 ";"6.000 P.S.I. ";"847 "
"38 ";"1 1/2'' ";"79,4 ";"2'' ";"76,0 ";"31,5 ";"SFS6-2''-DN 38 ";"176,7 ";"6.000 P.S.I. ";"848 "
"51 ";"2'' ";"79,4 ";"2'' ";"86,0 ";"43,0 ";"SFS6-2''-DN 51 ";"168 ";"6.000 P.S.I. ";"849 "
