"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgrˆﬂe  Flange Dimensions  D";"Flanschgrˆﬂe  Flange Dimensions  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"38 ";"1 1/2'' ";"50,8 ";"1 1/4'' ";"";"";"31,0 ";"SFL3-1 1/4''-45∞-DN 38 ";"";"3.000 ";"12298 "
"12 ";"1/2'' ";"30,2 ";"1/2'' ";"60,0 ";"30,0 ";"9,5 ";"SFL3-1/2''-45∞-DN 12 ";"40,2 ";"3.000 P.S.I. ";"879 "
"16 ";"5/8'' ";"30,2 ";"1/2'' ";"90,5 ";"34,0 ";"12,0 ";"SFL3-1/2''-45∞-DN 16 ";"85,5 ";"3.000 P.S.I. ";"880 "
"12 ";"1/2'' ";"38,1 ";"3/4'' ";"68,5 ";"30,0 ";"9,5 ";"SFL3-3/4''-45∞-DN 12 ";"56,55 ";"3.000 P.S.I. ";"881 "
"16 ";"5/8'' ";"38,1 ";"3/4'' ";"70,5 ";"34,0 ";"12,0 ";"SFL3-3/4''-45∞-DN 16 ";"66,65 ";"3.000 P.S.I. ";"882 "
"19 ";"3/4'' ";"38,1 ";"3/4'' ";"85,0 ";"36,0 ";"14,5 ";"SFL3-3/4''-45∞-DN 19 ";"66,65 ";"3.000 P.S.I. ";"883 "
"19 ";"3/4'' ";"44,5 ";"1'' ";"91,0 ";"31,0 ";"14,5 ";"SFL3-1''-45∞-DN 19 ";"93,1 ";"3.000 P.S.I. ";"884 "
"25 ";"1'' ";"44,5 ";"1'' ";"90,0 ";"39,0 ";"20,0 ";"SFL3-1''-45∞-DN 25 ";"93,1 ";"3.000 P.S.I. ";"885 "
"25 ";"1'' ";"50,8 ";"1 1/4'' ";"118,0 ";"43,0 ";"20,0 ";"SFL3-1 1/4''-45∞-DN 25 ";"122,9 ";"3.000 P.S.I. ";"886 "
"31 ";"1 1/4'' ";"50,8 ";"1 1/4'' ";"111,0 ";"44,0 ";"25,0 ";"SFL3-1 1/4''-45∞-DN 31 ";"122,9 ";"3.000 P.S.I. ";"887 "
"31 ";"1 1/4'' ";"60,3 ";"1 1/2'' ";"138,0 ";"36,0 ";"25,0 ";"SFL3-1 1/2''-45∞-DN 31 ";"202 ";"3.000 P.S.I. ";"888 "
"38 ";"1 1/2'' ";"60,3 ";"1 1/2'' ";"134,0 ";"45,0 ";"31,0 ";"SFL3-1 1/2''-45∞-DN 38 ";"186,2 ";"3.000 P.S.I. ";"889 "
"38 ";"1 1/2'' ";"71,4 ";"2'' ";"142,0 ";"58,0 ";"31,0 ";"SFL3-2''-45∞-DN 38 ";"290,1 ";"3.000 P.S.I. ";"890 "
"51 ";"2'' ";"71,4 ";"2'' ";"162,0 ";"57,0 ";"42,0 ";"SFL3-2''-45∞-DN 51 ";"260,7 ";"3.000 P.S.I. ";"891 "
"60 ";"2 3/8'' ";"84,1 ";"2 1/2'' ";"";"";"";"SFL3-2 1/2''-45∞-DN 60 ";"389,5 ";"3.000 P.S.I. ";"892 "
"63 ";"2 1/2'' ";"84,1 ";"2 1/2'' ";"223,0 ";"73,5 ";"55,0 ";"SFL3-2 1/2''-45∞-DN 63 ";"1150 ";"3.000 P.S.I. ";"11512 "
"76 ";"3'' ";"101,5 ";"3'' ";"";"";"";"SFL3-3''-45∞-DN 76 ";"750 ";"3.000 P.S.I. ";"893 "
"80 ";"";"101,5 ";"3'' ";"";"";"";"SFL3-3''-45∞-DN 80 ";"1520 ";"3.000 P.S.I. ";"894 "
"12 ";"1/2'' ";"31,7 ";"1/2'' ";"62,0 ";"32,0 ";"9,5 ";"SFS6-1/2''-45∞-DN 12 ";"40,2 ";"6.000 P.S.I. ";"895 "
"16 ";"5/8'' ";"31,7 ";"1/2'' ";"71,0 ";"35,0 ";"12,0 ";"SFS6-1/2''-45∞-DN 16 ";"81 ";"6.000 P.S.I. ";"896 "
"12 ";"1/2'' ";"41,3 ";"3/4'' ";"71,0 ";"34,0 ";"9,5 ";"SFS6-3/4''-45∞-DN 12 ";"56,55 ";"6.000 P.S.I. ";"897 "
"16 ";"5/8'' ";"41,3 ";"3/4'' ";"71,0 ";"32,0 ";"12,0 ";"SFS6-3/4''-45∞-DN 16 ";"66,65 ";"6.000 P.S.I. ";"898 "
"19 ";"3/4'' ";"41,3 ";"3/4'' ";"85,0 ";"40,0 ";"14,5 ";"SFS6-3/4''-45∞-DN 19 ";"66,65 ";"6.000 P.S.I. ";"899 "
"19 ";"3/4'' ";"47,6 ";"1'' ";"94,0 ";"31,0 ";"14,5 ";"SFS6-1''-45∞-DN 19 ";"93,1 ";"6.000 P.S.I. ";"900 "
"25 ";"1'' ";"47,6 ";"1'' ";"92,5 ";"38,5 ";"20,0 ";"SFS6-1''-45∞-DN 25 ";"93,1 ";"6.000 P.S.I. ";"901 "
