"Max. Betriebsdruck  Max. Working Pressure  bar";"SAE Baugrˆﬂe  Nominal Flange Size  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  E";"Ca. Maﬂe  Approx. Dimensions  F";"Ca. Maﬂe  Approx. Dimensions  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  I";"Ca. Maﬂe  Approx. Dimensions  L";"Schrauben  Screws  metr.";"Schrauben  Screws  unc.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"420 ";"2 1/2'' ";"108,5 ";"89,5 ";"123,8 ";"176,0 ";"58,7 ";"150,0 ";"48,0 ";"48,0 ";"20,0 ";"25,0 ";"M 24 x 90 ";"";"VF-6-2 1/2'' ";"";"";"12322 "
"420 ";"3'' ";"132,5 ";"114,5 ";"152,4 ";"215,0 ";"71,4 ";"176,0 ";"58,0 ";"58,0 ";"25,0 ";"31,0 ";"M 30 x 100 ";"";"VF-6-3'' ";"";"";"12323 "
"345 ";"1/2'' ";"30,96 ";"24,26 ";"38,10 ";"54,0 ";"17,48 ";"45,6 ";"19,0 ";"13,0 ";"6,22 ";"8,50 ";"M 8 x 25 ";"5/16'' x 1 1/4'' ";"VF-3-1/2'' ";"18,65 ";"LOCHBILD / 3000 P.S.I. ";"945 "
"345 ";"3/4'' ";"38,89 ";"32,13 ";"47,63 ";"65,0 ";"22,23 ";"51,8 ";"22,0 ";"14,0 ";"6,22 ";"10,50 ";"M 10 x 30 ";"3/8'' x 1 1/4'' ";"VF-3-3/4'' ";"24,03 ";"LOCHBILD / 3000 P.S.I. ";"946 "
"345 ";"1'' ";"45,24 ";"38,48 ";"52,37 ";"70,0 ";"26,19 ";"58,4 ";"24,0 ";"16,0 ";"7,49 ";"10,50 ";"M 10 x 35 ";"3/8'' x 1 1/4'' ";"VF-3-1'' ";"26,85 ";"LOCHBILD / 3000 P.S.I. ";"947 "
"276 ";"1 1/4'' ";"51,59 ";"43,69 ";"58,72 ";"79,0 ";"30,18 ";"72,6 ";"22,0 ";"16,0 ";"7,49 ";"12,00 ";"M 10 x 35 ";"7/16'' x 1 1/2'' ";"VF-3-1 1/4'' ";"30,48 ";"LOCHBILD / 3000 P.S.I. ";"948 "
"207 ";"1 1/2'' ";"61,09 ";"50,80 ";"69,85 ";"94,0 ";"35,71 ";"82,2 ";"25,0 ";"16,0 ";"7,49 ";"13,50 ";"M 12 x 35 ";"1/2'' x 1 1/2'' ";"VF-3-1 1/2'' ";"34,45 ";"LOCHBILD / 3000 P.S.I. ";"949 "
"207 ";"2'' ";"72,24 ";"62,74 ";"77,77 ";"102,0 ";"42,88 ";"96,4 ";"26,0 ";"16,0 ";"9,02 ";"13,50 ";"M 12 x 35 ";"1/2'' x 1 1/2'' ";"VF-3-2'' ";"36,3 ";"LOCHBILD / 3000 P.S.I. ";"950 "
"172 ";"2 1/2'' ";"84,94 ";"74,93 ";"88,90 ";"114,0 ";"50,80 ";"108,2 ";"38,0 ";"19,0 ";"9,02 ";"13,50 ";"M 12 x 35 ";"1/2'' x 1 1/2'' ";"VF-3-2 1/2'' ";"53,8 ";"LOCHBILD / 3000 P.S.I. ";"951 "
"138 ";"3'' ";"102,39 ";"90,93 ";"106,38 ";"135,0 ";"61,93 ";"130,6 ";"41,0 ";"22,0 ";"9,02 ";"16,75 ";"M 16 x 45 ";"5/8'' x 2'' ";"VF-3-3'' ";"80,65 ";"LOCHBILD / 3000 P.S.I. ";"952 "
"420 ";"1/2'' ";"32,45 ";"24,64 ";"40,49 ";"56,0 ";"18,24 ";"47,2 ";"22,0 ";"16,0 ";"7,24 ";"8,50 ";"M 8 x 30 ";"5/16'' x 1 1/4'' ";"VF-6-1/2'' ";"24,15 ";"LOCHBILD / 6000 P.S.I. ";"953 "
"420 ";"3/4'' ";"42,06 ";"32,51 ";"50,80 ";"71,0 ";"23,80 ";"60,0 ";"28,0 ";"19,0 ";"8,26 ";"10,50 ";"M 10 x 35 ";"3/8'' x 1 1/2'' ";"VF-6-3/4'' ";"26,08 ";"LOCHBILD / 6000 P.S.I. ";"954 "
"420 ";"1'' ";"48,41 ";"38,86 ";"57,15 ";"81,0 ";"27,76 ";"69,9 ";"33,0 ";"24,0 ";"9,02 ";"12,50 ";"M 12 x 45 ";"";"VF-6-1'' ";"31 ";"LOCHBILD / 6000 P.S.I. ";"955 "
"420 ";"1 1/4'' ";"54,76 ";"44,45 ";"66,68 ";"95,0 ";"31,75 ";"77,2 ";"38,0 ";"27,0 ";"9,78 ";"14,50 ";"M 14 x 50 ";"";"VF-6-1 1/4'' ";"48,33 ";"LOCHBILD / 6000 P.S.I. ";"956 "
"420 ";"1 1/2'' ";"64,29 ";"51,56 ";"79,38 ";"113,0 ";"36,50 ";"95,0 ";"43,0 ";"30,0 ";"12,07 ";"16,75 ";"M 16 x 55 ";"5/8'' x 2'' ";"VF-6-1 1/2'' ";"65,8 ";"LOCHBILD / 6000 P.S.I. ";"957 "
"420 ";"2'' ";"80,16 ";"67,56 ";"96,82 ";"133,0 ";"44,45 ";"113,8 ";"52,0 ";"37,0 ";"12,07 ";"21,00 ";"M 20 x 65 ";"3/4'' x 2 1/2'' ";"VF-6-2'' ";"107,23 ";"LOCHBILD / 6000 P.S.I. ";"958 "
