"Gewinde  Thread  G";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"M 8 x 25 ";"MS-8x25 ";"0,8 ";"";"10783 "
"M 8 x 30 ";"MS-8x30 ";"0,8 ";"";"10784 "
"M 10 x 30 ";"MS-10x30 ";"0,9 ";"";"10785 "
"M 10 x 35 ";"MS-10x35 ";"0,9 ";"";"10786 "
"M 12 x 35 ";"MS-12x35 ";"1,5 ";"";"10787 "
"M 12 x 40 ";"MS-12x40 ";"1,5 ";"";"10788 "
"M 12 x 45 ";"MS-12x45 ";"1,5 ";"";"10789 "
"M 14 x 50 ";"MS-14x50 ";"10,4 ";"";"10790 "
"M 16 x 45 ";"MS-16x45 ";"3,9 ";"";"10791 "
"M 16 x 55 ";"MS-16x55 ";"3,9 ";"";"10792 "
"M 20 x 65 ";"MS-20x65 ";"9 ";"";"10793 "
"M 24 x 90 ";"MS-24x90 ";"";"";"12326 "
"M 30 x 100 ";"MS-30x100 ";"";"";"12327 "
