"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"6 ";"28,5 ";"36,0 ";"3,0 ";"BEL-06-90∞-DN 05 ";"24,9 ";"BEL ";"386 "
"06 ";"1/4'' ";"6 ";"29,0 ";"35,5 ";"4,0 ";"BEL-06-90∞-DN 06 ";"20 ";"BEL ";"387 "
"06 ";"1/4'' ";"8 ";"38,5 ";"37,0 ";"4,0 ";"BEL-08-90∞-DN 06 ";"19,5 ";"BEL ";"388 "
"06 ";"1/4'' ";"10 ";"43,0 ";"40,0 ";"4,0 ";"BEL-10-90∞-DN 06 ";"20 ";"BEL ";"389 "
"08 ";"5/16'' ";"10 ";"41,0 ";"41,5 ";"5,5 ";"BEL-10-90∞-DN 08 ";"20,5 ";"BEL ";"390 "
"10 ";"3/8'' ";"10 ";"41,0 ";"41,5 ";"7,0 ";"BEL-10-90∞-DN 10 ";"20,5 ";"BEL ";"391 "
"08 ";"5/16'' ";"12 ";"48,0 ";"45,0 ";"5,5 ";"BEL-12-90∞-DN 08 ";"20,5 ";"BEL ";"392 "
"10 ";"3/8'' ";"12 ";"48,0 ";"45,0 ";"7,0 ";"BEL-12-90∞-DN 10 ";"20,5 ";"BEL ";"393 "
"12 ";"1/2'' ";"12 ";"46,5 ";"45,0 ";"8,0 ";"BEL-12-90∞-DN 12 ";"24,8 ";"BEL ";"394 "
"12 ";"1/2'' ";"15 ";"53,0 ";"49,0 ";"9,5 ";"BEL-15-90∞-DN 12 ";"23,8 ";"BEL ";"395 "
"16 ";"5/8'' ";"18 ";"59,0 ";"65,0 ";"12,5 ";"BEL-18-90∞-DN 16 ";"28,5 ";"BEL ";"396 "
"19 ";"3/4'' ";"22 ";"75,0 ";"75,5 ";"14,5 ";"BEL-22-90∞-DN 19 ";"36,5 ";"BEL ";"397 "
"25 ";"1'' ";"28 ";"85,0 ";"98,0 ";"20,0 ";"BEL-28-90∞-DN 25 ";"52,5 ";"BEL ";"398 "
"31 ";"1 1/4'' ";"35 ";"112,0 ";"127,0 ";"25,5 ";"BEL-35-90∞-DN 31 ";"79,8 ";"BEL ";"399 "
"38 ";"1 1/2'' ";"42 ";"135,0 ";"135,5 ";"31,5 ";"BEL-42-90∞-DN 38 ";"130 ";"BEL ";"400 "
"5 ";"3/16'' ";"6 ";"28,5 ";"36,0 ";"3,0 ";"BES-06-90∞-DN 05 ";"24,9 ";"BES ";"401 "
"6 ";"1/4'' ";"6 ";"29,0 ";"35,5 ";"4,0 ";"BES-06-90∞-DN 06 ";"20 ";"BES ";"402 "
"6 ";"1/4'' ";"8 ";"38,5 ";"38,5 ";"4,0 ";"BES-08-90∞-DN 06 ";"19,5 ";"BES ";"403 "
"6 ";"1/4'' ";"10 ";"43,0 ";"40,0 ";"4,0 ";"BES-10-90∞-DN 06 ";"20 ";"BES ";"404 "
"8 ";"5/16'' ";"10 ";"41,0 ";"41,5 ";"5,5 ";"BES-10-90∞-DN 08 ";"20,5 ";"BES ";"405 "
"10 ";"3/8'' ";"10 ";"41,0 ";"41,5 ";"7,0 ";"BES-10-90∞-DN 10 ";"20,5 ";"BES ";"406 "
"08 ";"5/16'' ";"12 ";"48,0 ";"45,0 ";"5,5 ";"BES-12-90∞-DN 08 ";"20,5 ";"BES ";"407 "
"10 ";"3/8'' ";"12 ";"48,0 ";"45,0 ";"7,0 ";"BES-12-90∞-DN 10 ";"20,5 ";"BES ";"408 "
"12 ";"1/2'' ";"12 ";"46,5 ";"45,0 ";"8,0 ";"BES-12-90∞-DN 12 ";"24,8 ";"BES ";"11713 "
"10 ";"3/8'' ";"14 ";"";"";"7,0 ";"BES-14-90∞-DN 10 ";"22,5 ";"BES ";"409 "
"12 ";"1/2'' ";"16 ";"60,5 ";"58,5 ";"9,5 ";"BES-16-90∞-DN 12 ";"23 ";"BES ";"410 "
"16 ";"5/8'' ";"20 ";"73,0 ";"66,0 ";"12,5 ";"BES-20-90∞-DN 16 ";"31 ";"BES ";"411 "
"19 ";"3/4'' ";"25 ";"79,0 ";"84,0 ";"14,5 ";"BES-25-90∞-DN 19 ";"42,5 ";"BES ";"412 "
"25 ";"1'' ";"30 ";"";"";"20,0 ";"BES-30-90∞-DN 25 ";"74 ";"BES ";"413 "
"31 ";"1 1/4'' ";"38 ";"";"";"25,5 ";"BES-38-90∞-DN 31 ";"125 ";"BES ";"414 "
