"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"6 ";"28,0 ";"4,0 ";"20,0 ";"BE-06-SL-DN 06 ";"17,5 ";"";"11124 "
"06 ";"1/4'' ";"8 ";"28,0 ";"4,0 ";"20,0 ";"BE-08-SL-DN 06 ";"17,5 ";"";"11636 "
"06 ";"1/4'' ";"10 ";"33,5 ";"4,0 ";"25,0 ";"BE-10-SL-DN 06 ";"17,5 ";"";"11125 "
"06 ";"1/4'' ";"1/4'' ";"30,5 ";"4,0 ";"22,0 ";"BE-1/4''-SL-DN 06 ";"17,5 ";"";"11126 "
"06 ";"1/4'' ";"3/8'' ";"33,5 ";"4,0 ";"24,0 ";"BE-3/8''-SL-DN 06 ";"17,5 ";"";"11127 "
"08 ";"5/16'' ";"12 ";"35,0 ";"5,5 ";"25,0 ";"BE-12-SL-DN 08 ";"17,9 ";"";"11128 "
"08 ";"5/16'' ";"1/2'' ";"35,0 ";"5,5 ";"25,0 ";"BE-1/2''-SL-DN 08 ";"17,9 ";"";"11129 "
"10 ";"3/8'' ";"10 ";"33,5 ";"7,0 ";"25,0 ";"BE-10-SL-DN 10 ";"21,2 ";"";"11130 "
"10 ";"3/8'' ";"12 ";"33,5 ";"7,0 ";"25,0 ";"BE-12-SL-DN 10 ";"21,2 ";"";"11131 "
"10 ";"3/8'' ";"3/8'' ";"33,5 ";"7,0 ";"25,0 ";"BE-3/8''-SL-DN 10 ";"21,2 ";"";"11132 "
"10 ";"3/8'' ";"1/2'' ";"33,5 ";"7,0 ";"25,0 ";"BE-1/2''-SL-DN 10 ";"22,3 ";"";"11714 "
"12 ";"1/2'' ";"16 ";"36,5 ";"9,5 ";"27,5 ";"BE-16-SL-DN 12 ";"22,3 ";"";"11133 "
"12 ";"1/2'' ";"1/2'' ";"38,0 ";"8,0 ";"30,0 ";"BE-1/2''-SL-DN 12 ";"22,3 ";"";"11134 "
"12 ";"1/2'' ";"5/8'' ";"36,5 ";"9,5 ";"27,5 ";"BE-5/8''-SL-DN 12 ";"22,3 ";"";"11135 "
"";"5/8'' ";"3/4'' ";"47,5 ";"19,0 ";"40,0 ";"BE-3/4''-SL-DN 16 ";"31,5 ";"";"12194 "
"16 ";"5/8'' ";"16 ";"35,0 ";"12,5 ";"27,5 ";"BE-16-SL-DN 16 ";"25,8 ";"";"11136 "
"16 ";"5/8'' ";"18 ";"35,0 ";"12,5 ";"27,0 ";"BE-18-SL-DN 16 ";"25,8 ";"";"11635 "
"16 ";"5/8'' ";"5/8'' ";"35,0 ";"12,5 ";"27,5 ";"BE-5/8''-SL-DN 16 ";"";"";"12328 "
"19 ";"3/4'' ";"3/4'' ";"51,0 ";"14,5 ";"40,0 ";"BE-3/4''-SL-DN 19 ";"31,5 ";"";"11637 "
"25 ";"1'' ";"1'' ";"55,7 ";"20,0 ";"45,0 ";"BE-1''-SL-DN 25 ";"38 ";"";"11638 "
