"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"23,0 ";"4,0 ";"DSN-DN 06 ";"13,8 ";"";"806 "
"08 ";"5/16'' ";"23,0 ";"5,5 ";"DSN-DN 08 ";"14,7 ";"";"807 "
"10 ";"3/8'' ";"19,0 ";"7,0 ";"DSN-DN 10 ";"18,4 ";"";"808 "
"12 ";"1/2'' ";"23,0 ";"9,5 ";"DSN-DN 12 ";"18,4 ";"";"809 "
"16 ";"5/8'' ";"25,5 ";"12,5 ";"DSN-DN 16 ";"22,95 ";"";"810 "
"19 ";"3/4'' ";"31,5 ";"14,5 ";"DSN-DN 19 ";"26,1 ";"";"811 "
"25 ";"1'' ";"32,5 ";"20,0 ";"DSN-DN 25 ";"30,66 ";"";"812 "
"31 ";"1 1/4'' ";"39,0 ";"25,5 ";"DSN-DN 31 ";"60 ";"";"813 "
"38 ";"1 1/2'' ";"41,0 ";"31,5 ";"DSN-DN 38 ";"80,75 ";"";"814 "
"51 ";"2'' ";"41,0 ";"43,0 ";"DSN-DN 51 ";"92,5 ";"";"815 "
