"Schlauch  Hose  DN";"DN  Bore  in.";"F¸r Hohlschraube  For Bold  ";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  D";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 8 x 1 ";"33,5 ";"10,0 ";"4,0 ";"8,1 ";"RGN-08-DN 06 ";"24,5 ";"";"11716 "
"06 ";"1/4'' ";"M 10 x 1 + G 1/8'' ";"33,0 ";"10,0 ";"4,0 ";"10,1 ";"RGN-10-DN 06 ";"20,5 ";"";"927 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"36,0 ";"12,0 ";"4,0 ";"12,1 ";"RGN-12-DN 06 ";"18,95 ";"";"928 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"27,5 ";"14,0 ";"4,0 ";"14,1 ";"RGN-14-DN 06 ";"18,95 ";"";"929 "
"06 ";"1/4'' ";"G 1/4'' ";"27,5 ";"14,0 ";"4,0 ";"13,3 ";"RGN-1/4''-DN 06 ";"20,5 ";"";"930 "
"06 ";"1/4'' ";"M 16 x 1,5 + G 3/8'' ";"35,5 ";"16,0 ";"4,0 ";"16,6 ";"RGN-16-DN 06 ";"28 ";"";"11507 "
"08 ";"5/16'' ";"M 10 x 1 + G 1/8'' ";"33,0 ";"10,0 ";"5,5 ";"10,1 ";"RGN-10-DN 08 ";"24,5 ";"";"931 "
"08 ";"5/16'' ";"M 12 x 1,5 ";"36,0 ";"12,0 ";"5,5 ";"12,1 ";"RGN-12-DN 08 ";"24,5 ";"";"932 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"27,5 ";"14,0 ";"5,5 ";"14,1 ";"RGN-14-DN 08 ";"24,5 ";"";"933 "
"08 ";"5/16'' ";"M 16 x 1,5 + G 3/8'' ";"35,5 ";"16,0 ";"5,5 ";"16,6 ";"RGN-16-DN 08 ";"20,03 ";"";"934 "
"10 ";"3/8'' ";"M 14 x 1,5 ";"37,5 ";"14,0 ";"7,0 ";"14,1 ";"RGN-14-DN 10 ";"24,5 ";"";"935 "
"10 ";"3/8'' ";"M 16 x 1,5 + G 3/8'' ";"35,5 ";"16,0 ";"7,0 ";"16,6 ";"RGN-16-DN 10 ";"23,72 ";"";"936 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"40,5 ";"20,0 ";"7,0 ";"18,1 ";"RGN-18-DN 10 ";"33,5 ";"";"937 "
"10 ";"3/8'' ";"G 1/2'' ";"45,5 ";"22,0 ";"7,0 ";"21,2 ";"RGN-1/2''-DN 10 ";"49,9 ";"";"938 "
"12 ";"1/2'' ";"G 1/2'' ";"46,5 ";"22,0 ";"9,5 ";"21,2 ";"RGN-1/2''-DN 12 ";"34,3 ";"";"939 "
"12 ";"1/2'' ";"M 16 x 1,5 + G 3/8'' ";"36,0 ";"16,0 ";"9,5 ";"16,6 ";"RGN-16-DN 12 ";"33,6 ";"";"940 "
"12 ";"1/2'' ";"M 18 x 1,5 ";"38,0 ";"20,0 ";"9,5 ";"18,1 ";"RGN-18-DN 12 ";"32,77 ";"";"941 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"47,0 ";"25,0 ";"9,5 ";"22,1 ";"RGN-22-DN 12 ";"34,27 ";"";"942 "
"16 ";"5/8'' ";"M 22 x 1,5 ";"47,5 ";"25,0 ";"12,5 ";"22,1 ";"RGN-22-DN 16 ";"49,95 ";"";"943 "
"19 ";"3/4'' ";"M 26 x 1,5 + G 3/4'' ";"53,0 ";"30,0 ";"14,5 ";"26,3 ";"RGN-26-DN 19 ";"41,37 ";"";"944 "
