"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"M 10 x 1 ";"25,0 ";"19,0 ";"5,5 ";"14 ";"HS-M 10x1 ";"9,75 ";"";"908 "
"M 12 x 1,5 ";"30,0 ";"24,0 ";"7,0 ";"17 ";"HS-M 12x1,5 ";"9,75 ";"";"909 "
"M 14 x 1,5 ";"32,0 ";"26,0 ";"9,0 ";"19 ";"HS-M 14x1,5 ";"8,06 ";"";"910 "
"M 16 x 1,5 ";"34,0 ";"28,0 ";"11,0 ";"22 ";"HS-M 16x1,5 ";"8,06 ";"";"911 "
"M 18 x 1,5 ";"38,0 ";"32,0 ";"13,0 ";"24 ";"HS-M 18x1,5 ";"9,06 ";"";"912 "
"M 22 x 1,5 ";"46,0 ";"39,0 ";"16,0 ";"27 ";"HS-M 22x1,5 ";"10,88 ";"";"913 "
"M 26 x 1,5 ";"52,0 ";"45,0 ";"20,0 ";"32 ";"HS-M 26x1,5 ";"24,58 ";"";"914 "
"G 1/8'' ";"25,0 ";"19,0 ";"5,5 ";"14 ";"HS-G 1/8'' ";"9,75 ";"";"915 "
"G 1/4'' ";"32,0 ";"26,0 ";"8,0 ";"19 ";"HS-G 1/4'' ";"5,77 ";"";"916 "
"G 3/8'' ";"34,0 ";"28,0 ";"11,0 ";"22 ";"HS-G 3/8'' ";"9,53 ";"";"917 "
"G 1/2'' ";"45,0 ";"38,0 ";"13,0 ";"27 ";"HS-G 1/2'' ";"8,73 ";"";"918 "
"G 3/4'' ";"52,0 ";"45,0 ";"20,0 ";"32 ";"HS-G 3/4'' ";"19,08 ";"";"919 "
