"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G = UN";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"1 1/16''-12 ";"35,0 ";"14,5 ";"32 ";"I-DKJ-1 1/16''-DN 19 ";"29,75 ";"";"1186 "
"19 ";"3/4'' ";"1 5/16''-12 ";"34,0 ";"14,5 ";"41 ";"I-DKJ-1 5/16''-DN 19 ";"51,95 ";"";"1187 "
"25 ";"1'' ";"1 5/16''-12 ";"34,0 ";"20,0 ";"41 ";"I-DKJ-1 5/16''-DN 25 ";"49,95 ";"";"1188 "
"25 ";"1'' ";"1 5/8''-12 ";"27,0 ";"20,0 ";"50 ";"I-DKJ-1 5/8''-DN 25 ";"94,5 ";"";"1189 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"37,0 ";"25,0 ";"50 ";"I-DKJ-1 5/8''-DN 31 ";"88,5 ";"";"1190 "
"38 ";"1 1/2'' ";"1 5/8''-12 ";"40,0 ";"25,5 ";"50 ";"I-DKJ-1 5/8''-DN 38 ";"159,5 ";"";"11723 "
"31 ";"1 1/4'' ";"1 7/8''-12 ";"33,0 ";"25,0 ";"60 ";"I-DKJ-1 7/8''-DN 31 ";"128,5 ";"";"1191 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"41,5 ";"31,5 ";"60 ";"I-DKJ-1 7/8''-DN 38 ";"123,6 ";"";"1192 "
"38 ";"1 1/2'' ";"2 1/2''-12 ";"";"";"";"I-DKJ-2 1/2''-DN 38 ";"225 ";"";"1193 "
"51 ";"2'' ";"2 1/2''-12 ";"67,5 ";"42,0 ";"70 ";"I-DKJ-2 1/2''-DN 51 ";"177 ";"";"1194 "
