"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"7/16''-20 ";"26,0 ";"4,0 ";"17 ";"17 ";"SR-DKJ-7/16''-DN 06 ";"28,05 ";"";"1434 "
"06 ";"1/4'' ";"1/2''-20 ";"26,0 ";"4,0 ";"17 ";"17 ";"SR-DKJ-1/2''-DN 06 ";"28,05 ";"";"1435 "
"08 ";"5/16'' ";"1/2''-20 ";"";"";"";"";"SR-DKJ-1/2''-DN 08 ";"";"";"1436 "
"06 ";"1/4'' ";"9/16''-18 ";"26,0 ";"4,0 ";"19 ";"19 ";"SR-DKJ-9/16''-DN 06 ";"27,25 ";"";"1437 "
"08 ";"5/16'' ";"9/16''-18 ";"32,0 ";"6,0 ";"19 ";"19 ";"SR-DKJ-9/16''-DN 08 ";"28,05 ";"";"1438 "
"10 ";"3/8'' ";"9/16''-18 ";"33,0 ";"7,0 ";"19 ";"19 ";"SR-DKJ-9/16''-DN 10 ";"28,05 ";"";"1439 "
"10 ";"3/8'' ";"3/4''-16 ";"32,0 ";"7,5 ";"24 ";"24 ";"SR-DKJ-3/4''-DN 10 ";"32,9 ";"";"1440 "
"12 ";"1/2'' ";"3/4''-16 ";"36,0 ";"10,0 ";"24 ";"24 ";"SR-DKJ-3/4''-DN 12 ";"34,1 ";"";"1441 "
"10 ";"3/8'' ";"7/8''-14 ";"";"";"";"";"SR-DKJ-7/8''-DN 10 ";"37,95 ";"";"1442 "
"12 ";"1/2'' ";"7/8''-14 ";"32,0 ";"10,0 ";"27 ";"27 ";"SR-DKJ-7/8''-DN 12 ";"34,8 ";"";"1443 "
"16 ";"5/8'' ";"7/8''-14 ";"44,0 ";"13,0 ";"27 ";"27 ";"SR-DKJ-7/8''-DN 16 ";"42,35 ";"";"1444 "
"12 ";"1/2'' ";"1 1/16''-12 ";"";"";"";"";"SR-DKJ-1 1/16''-DN 12 ";"";"";"1445 "
"16 ";"5/8'' ";"1 1/16''-12 ";"33,5 ";"13,0 ";"32 ";"32 ";"SR-DKJ-1 1/16''-DN 16 ";"47,8 ";"";"1446 "
"19 ";"3/4'' ";"1 1/16''-12 ";"40,0 ";"15,5 ";"32 ";"32 ";"SR-DKJ-1 1/16''-DN 19 ";"54,8 ";"";"1447 "
"19 ";"3/4'' ";"1 5/16''-12 ";"40,0 ";"16,0 ";"41 ";"41 ";"SR-DKJ-1 5/16''-DN 19 ";"69 ";"";"1448 "
"25 ";"1'' ";"1 5/16''-12 ";"40,0 ";"21,5 ";"41 ";"41 ";"SR-DKJ-1 5/16''-DN 25 ";"69 ";"";"1449 "
