"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"6 ";"41,0 ";"4,0 ";"12 ";"SR-BEL-06-DN 06 ";"17,55 ";"BEL ";"1264 "
"06 ";"1/4'' ";"8 ";"43,0 ";"4,0 ";"12 ";"SR-BEL-08-DN 06 ";"17,55 ";"BEL ";"1265 "
"08 ";"5/16'' ";"10 ";"48,0 ";"6,0 ";"14 ";"SR-BEL-10-DN 08 ";"18,3 ";"BEL ";"1266 "
"10 ";"3/8'' ";"10 ";"47,8 ";"7,0 ";"17 ";"SR-BEL-10-DN 10 ";"19,3 ";"BEL ";"1267 "
"10 ";"3/8'' ";"12 ";"47,8 ";"7,5 ";"17 ";"SR-BEL-12-DN 10 ";"19,3 ";"BEL ";"1268 "
"12 ";"1/2'' ";"15 ";"46,7 ";"10,0 ";"19 ";"SR-BEL-15-DN 12 ";"21,1 ";"BEL ";"1269 "
"16 ";"5/8'' ";"18 ";"49,5 ";"13,0 ";"22 ";"SR-BEL-18-DN 16 ";"26,4 ";"BEL ";"1270 "
"19 ";"3/4'' ";"22 ";"54,1 ";"15,5 ";"24 ";"SR-BEL-22-DN 19 ";"28,2 ";"BEL ";"1271 "
"25 ";"1'' ";"28 ";"59,1 ";"21,5 ";"36 ";"SR-BEL-28-DN 25 ";"42,45 ";"BEL ";"1272 "
"06 ";"1/4'' ";"6 ";"41,0 ";"4,0 ";"12 ";"SR-BES-06-DN 06 ";"17,55 ";"BES ";"1273 "
"06 ";"1/4'' ";"8 ";"43,0 ";"4,0 ";"12 ";"SR-BES-08-DN 06 ";"17,55 ";"BES ";"1274 "
"06 ";"1/4'' ";"10 ";"45,0 ";"4,0 ";"12 ";"SR-BES-10-DN 06 ";"18,6 ";"BES ";"1275 "
"08 ";"5/16'' ";"12 ";"47,8 ";"6,0 ";"14 ";"SR-BES-12-DN 08 ";"18,6 ";"BES ";"1276 "
"10 ";"3/8'' ";"14 ";"50,8 ";"7,5 ";"17 ";"SR-BES-14-DN 10 ";"25,5 ";"BES ";"1277 "
"12 ";"1/2'' ";"16 ";"52,1 ";"10,0 ";"19 ";"SR-BES-16-DN 12 ";"21,95 ";"BES ";"1278 "
"16 ";"5/8'' ";"20 ";"59,5 ";"13,0 ";"22 ";"SR-BES-20-DN 16 ";"26,4 ";"BES ";"1279 "
"19 ";"3/4'' ";"25 ";"66,0 ";"15,5 ";"27 ";"SR-BES-25-DN 19 ";"30 ";"BES ";"1280 "
"25 ";"1'' ";"30 ";"";"";"";"SR-BES-30-DN 25 ";"46,8 ";"BES ";"1281 "
