"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"6 ";"";"";"4,0 ";"12 ";"SR-BEL-06-90∞-DN 06 ";"";"BEL ";"1298 "
"06 ";"1/4'' ";"8 ";"";"";"4,0 ";"12 ";"SR-BEL-08-90∞-DN 06 ";"";"BEL ";"1299 "
"08 ";"5/16'' ";"10 ";"";"";"6,0 ";"14 ";"SR-BEL-10-90∞-DN 08 ";"";"BEL ";"1300 "
"10 ";"3/8'' ";"12 ";"";"";"7,5 ";"17 ";"SR-BEL-12-90∞-DN 10 ";"";"BEL ";"1301 "
"12 ";"1/2'' ";"15 ";"";"";"10,0 ";"19 ";"SR-BEL-15-90∞-DN 12 ";"";"BEL ";"1302 "
"16 ";"5/8'' ";"18 ";"";"";"13,0 ";"22 ";"SR-BEL-18-90∞-DN 16 ";"";"BEL ";"1303 "
"19 ";"3/4'' ";"22 ";"";"";"15,5 ";"24 ";"SR-BEL-22-90∞-DN 19 ";"";"BEL ";"1304 "
"25 ";"1'' ";"28 ";"";"";"21,5 ";"36 ";"SR-BEL-28-90∞-DN 25 ";"";"BEL ";"1305 "
"06 ";"1/4'' ";"6 ";"";"";"4,0 ";"12 ";"SR-BES-06-90∞-DN 06 ";"";"BES ";"1306 "
"06 ";"1/4'' ";"8 ";"";"";"4,0 ";"12 ";"SR-BES-08-90∞-DN 06 ";"";"BES ";"1307 "
"06 ";"1/4'' ";"10 ";"";"";"4,0 ";"14 ";"SR-BES-10-90∞-DN 06 ";"";"BES ";"1308 "
"08 ";"5/16'' ";"12 ";"";"";"6,0 ";"17 ";"SR-BES-12-90∞-DN 08 ";"";"BES ";"1309 "
"10 ";"3/8'' ";"14 ";"";"";"7,5 ";"19 ";"SR-BES-14-90∞-DN 10 ";"";"BES ";"1310 "
"12 ";"1/2'' ";"16 ";"";"";"10,0 ";"22 ";"SR-BES-16-90∞-DN 12 ";"";"BES ";"1311 "
"16 ";"5/8'' ";"20 ";"";"";"13,0 ";"24 ";"SR-BES-20-90∞-DN 16 ";"";"BES ";"1312 "
"19 ";"3/4'' ";"25 ";"";"";"15,5 ";"30 ";"SR-BES-25-90∞-DN 19 ";"";"BES ";"1313 "
