"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"6 ";"4,0 ";"12 ";"SR-BEL-06-45∞-DN 06 ";"";"BEL ";"1282 "
"06 ";"1/4'' ";"8 ";"4,0 ";"12 ";"SR-BEL-08-45∞-DN 06 ";"";"BEL ";"1283 "
"08 ";"5/16'' ";"10 ";"6,0 ";"14 ";"SR-BEL-10-45∞-DN 08 ";"";"BEL ";"1284 "
"10 ";"3/8'' ";"12 ";"7,5 ";"17 ";"SR-BEL-12-45∞-DN 10 ";"";"BEL ";"1285 "
"12 ";"1/2'' ";"15 ";"10,0 ";"19 ";"SR-BEL-15-45∞-DN 12 ";"";"BEL ";"1286 "
"16 ";"5/8'' ";"18 ";"13,0 ";"22 ";"SR-BEL-18-45∞-DN 16 ";"";"BEL ";"1287 "
"19 ";"3/4'' ";"22 ";"15,5 ";"24 ";"SR-BEL-22-45∞-DN 19 ";"";"BEL ";"1288 "
"25 ";"1'' ";"28 ";"21,5 ";"36 ";"SR-BEL-28-45∞-DN 25 ";"";"BEL ";"1289 "
"06 ";"1/4'' ";"6 ";"4,0 ";"12 ";"SR-BES-06-45∞-DN 06 ";"";"BES ";"1290 "
"06 ";"1/4'' ";"8 ";"4,0 ";"12 ";"SR-BES-08-45∞-DN 06 ";"";"BES ";"1291 "
"06 ";"1/4'' ";"10 ";"4,0 ";"14 ";"SR-BES-10-45∞-DN 06 ";"";"BES ";"1292 "
"08 ";"5/16'' ";"12 ";"6,0 ";"17 ";"SR-BES-12-45∞-DN 08 ";"";"BES ";"1293 "
"10 ";"3/8'' ";"14 ";"7,5 ";"19 ";"SR-BES-14-45∞-DN 10 ";"";"BES ";"1294 "
"12 ";"1/2'' ";"16 ";"10,0 ";"22 ";"SR-BES-16-45∞-DN 12 ";"";"BES ";"1295 "
"16 ";"5/8'' ";"20 ";"13,0 ";"24 ";"SR-BES-20-45∞-DN 16 ";"";"BES ";"1296 "
"19 ";"3/4'' ";"25 ";"15,5 ";"30 ";"SR-BES-25-45∞-DN 19 ";"";"BES ";"1297 "
