"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"28,7 ";"4,0 ";"17 ";"SR-DKOL-06-DN 06 ";"29,5 ";"L ";"1338 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"29,6 ";"4,0 ";"17 ";"SR-DKOL-08-DN 06 ";"28,5 ";"L ";"1339 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"42,0 ";"4,0 ";"19 ";"SR-DKOL-10-DN 06 ";"31,8 ";"L ";"1340 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"33,8 ";"6,0 ";"19 ";"SR-DKOL-10-DN 08 ";"30,9 ";"L ";"1341 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"38,0 ";"7,5 ";"19 ";"SR-DKOL-10-DN 10 ";"35,1 ";"L ";"11747 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"45,0 ";"6,0 ";"22 ";"SR-DKOL-12-DN 08 ";"32,95 ";"L ";"1342 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"32,0 ";"7,5 ";"22 ";"SR-DKOL-12-DN 10 ";"32,35 ";"L ";"1343 "
"12 ";"1/2'' ";"M 18 x 1,5 ";"12 ";"42,0 ";"10,0 ";"22 ";"SR-DKOL-12-DN 12 ";"39,9 ";"L ";"11748 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"36,8 ";"10,0 ";"27 ";"SR-DKOL-15-DN 12 ";"38,2 ";"L ";"1344 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"40,1 ";"13,0 ";"32 ";"SR-DKOL-18-DN 16 ";"49,1 ";"L ";"1345 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"43,9 ";"15,5 ";"36 ";"SR-DKOL-22-DN 19 ";"64,1 ";"L ";"1346 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"49,0 ";"21,5 ";"41 ";"SR-DKOL-28-DN 25 ";"75,3 ";"L ";"1347 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"29,6 ";"4,0 ";"17 ";"SR-DKOS-06-DN 06 ";"";"S ";"1348 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"29,6 ";"4,0 ";"19 ";"SR-DKOS-08-DN 06 ";"31,2 ";"S ";"1349 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"30,5 ";"4,0 ";"22 ";"SR-DKOS-10-DN 06 ";"31,2 ";"S ";"1350 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"10 ";"40,0 ";"7,5 ";"22 ";"SR-DKOS-10-DN 10 ";"33,85 ";"S ";"1351 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"35,1 ";"5,5 ";"24 ";"SR-DKOS-12-DN 08 ";"31,2 ";"S ";"1352 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"36,8 ";"7,5 ";"24 ";"SR-DKOS-12-DN 10 ";"38,4 ";"S ";"12198 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"36,8 ";"7,5 ";"27 ";"SR-DKOS-14-DN 10 ";"38,4 ";"S ";"1353 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"39,1 ";"10,0 ";"30 ";"SR-DKOS-16-DN 12 ";"38,4 ";"S ";"1354 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"53,0 ";"13,0 ";"36 ";"SR-DKOS-20-DN 16 ";"56,1 ";"S ";"1355 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"51,0 ";"15,5 ";"46 ";"SR-DKOS-25-DN 19 ";"92,1 ";"S ";"1356 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"54,0 ";"21,5 ";"50 ";"SR-DKOS-30-DN 25 ";"107,6 ";"S ";"1357 "
