"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"4,0 ";"17 ";"SR-DKOL-06-45∞-DN 06 ";"65,85 ";"L ";"1358 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"4,0 ";"17 ";"SR-DKOL-08-45∞-DN 06 ";"65,85 ";"L ";"1359 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"6,0 ";"19 ";"SR-DKOL-10-45∞-DN 08 ";"71,4 ";"L ";"1360 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"7,5 ";"22 ";"SR-DKOL-12-45∞-DN 10 ";"74,65 ";"L ";"1361 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"10,0 ";"27 ";"SR-DKOL-15-45∞-DN 12 ";"84 ";"L ";"1362 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"13,0 ";"32 ";"SR-DKOL-18-45∞-DN 16 ";"107,9 ";"L ";"1363 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"15,5 ";"36 ";"SR-DKOL-22-45∞-DN 19 ";"147,95 ";"L ";"1364 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"21,5 ";"41 ";"SR-DKOL-28-45∞-DN 25 ";"174,25 ";"L ";"1365 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"4,0 ";"17 ";"SR-DKOS-06-45∞-DN 06 ";"";"S ";"1366 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"4,0 ";"19 ";"SR-DKOS-08-45∞-DN 06 ";"";"S ";"1367 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"4,0 ";"22 ";"SR-DKOS-10-45∞-DN 06 ";"";"S ";"1368 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"5,5 ";"24 ";"SR-DKOS-12-45∞-DN 08 ";"";"S ";"1369 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"7,5 ";"27 ";"SR-DKOS-14-45∞-DN 10 ";"";"S ";"1370 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"10,0 ";"30 ";"SR-DKOS-16-45∞-DN 12 ";"";"S ";"1371 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"13,0 ";"36 ";"SR-DKOS-20-45∞-DN 16 ";"";"S ";"1372 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"15,5 ";"46 ";"SR-DKOS-25-45∞-DN 19 ";"";"S ";"1373 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"21,5 ";"50 ";"SR-DKOS-30-45∞-DN 25 ";"";"S ";"1374 "
