"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/4''-19 ";"1/8''-28 ";"28,0 ";"12,0 ";"8 ";"6,0 ";"4,5 ";"19 ";"1050508-04-02 ";"8,75 ";"";"11522 "
"400 ";"3/8''-19 ";"1/8''-28 ";"30,5 ";"12,0 ";"8 ";"9,0 ";"4,5 ";"22 ";"1050508-06-02 ";"12,1 ";"";"11523 "
"400 ";"3/8''-19 ";"1/4''-19 ";"33,0 ";"12,0 ";"10 ";"9,0 ";"6,0 ";"22 ";"1050508-06-04 ";"10,9 ";"";"11524 "
"400 ";"1/2''-14 ";"1/4''-19 ";"38,0 ";"14,0 ";"11 ";"12,5 ";"7,0 ";"27 ";"1050508-08-04 ";"14,85 ";"";"11525 "
"400 ";"1/2''-14 ";"3/8''-19 ";"40,0 ";"14,0 ";"12 ";"13,0 ";"9,0 ";"27 ";"1050508-08-06 ";"14,85 ";"";"11526 "
"400 ";"3/4''-14 ";"1/4''-19 ";"39,5 ";"16,0 ";"10 ";"18,0 ";"6,0 ";"32 ";"1050508-12-04 ";"29,7 ";"";"11527 "
"400 ";"3/4''-14 ";"3/8''-19 ";"41,0 ";"16,0 ";"12 ";"18,0 ";"9,0 ";"32 ";"1050508-12-06 ";"25,3 ";"";"11528 "
"400 ";"3/4''-14 ";"1/2''-14 ";"45,0 ";"16,0 ";"14 ";"18,0 ";"13,0 ";"32 ";"1050508-12-08 ";"23,3 ";"";"11529 "
"400 ";"1''-11 ";"3/8''-19 ";"47,0 ";"18,0 ";"12 ";"23,0 ";"9,0 ";"41 ";"1050508-16-06 ";"41,8 ";"";"11530 "
"400 ";"1''-11 ";"1/2''-14 ";"48,0 ";"18,0 ";"14 ";"23,5 ";"13,0 ";"41 ";"1050508-16-08 ";"40,7 ";"";"11531 "
"400 ";"1''-11 ";"3/4''-14 ";"53,0 ";"18,0 ";"16 ";"23,5 ";"17,0 ";"41 ";"1050508-16-12 ";"39,6 ";"";"11532 "
"200 ";"1 1/4''-11 ";"1/2''-14 ";"51,0 ";"20,0 ";"14 ";"30,0 ";"13,0 ";"50 ";"1050508-20-08 ";"62,7 ";"";"11533 "
"200 ";"1 1/4''-11 ";"3/4''-14 ";"53,5 ";"20,0 ";"16 ";"30,5 ";"18,0 ";"50 ";"1050508-20-12 ";"61,6 ";"";"11534 "
"200 ";"1 1/4''-11 ";"1''-11 ";"58,0 ";"20,0 ";"18 ";"30,5 ";"23,0 ";"50 ";"1050508-20-16 ";"60,5 ";"";"11535 "
"200 ";"1 1/2''-11 ";"3/4''-14 ";"55,0 ";"22,0 ";"16 ";"37,0 ";"17,0 ";"55 ";"1050508-24-12 ";"97,9 ";"";"11536 "
"200 ";"1 1/2''-11 ";"1''-11 ";"57,0 ";"22,0 ";"18 ";"37,0 ";"23,5 ";"55 ";"1050508-24-16 ";"95,7 ";"";"11537 "
"200 ";"1 1/2''-11 ";"1 1/4''-11 ";"61,0 ";"22,0 ";"20 ";"37,0 ";"30,0 ";"55 ";"1050508-24-20 ";"94,6 ";"";"11538 "
"100 ";"2''-11 ";"1''-11 ";"62,0 ";"25,0 ";"18 ";"43,0 ";"23,5 ";"70 ";"1050508-32-16 ";"176 ";"";"11539 "
"100 ";"2''-11 ";"1 1/4''-11 ";"62,0 ";"25,0 ";"20 ";"45,0 ";"30,0 ";"70 ";"1050508-32-20 ";"176 ";"";"11540 "
"100 ";"2''-11 ";"1 1/2''-11 ";"64,0 ";"25,0 ";"22 ";"45,0 ";"37,0 ";"70 ";"1050508-32-24 ";"176 ";"";"11541 "
