"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = NPT";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-27 ";"24,5 ";"8 ";"10,0 ";"4,0 ";"14 ";"1052810-02-02 ";"6,1 ";"A ";"1542 "
"400 ";"1/4''-19 ";"1/4''-18 ";"32,5 ";"10 ";"15,0 ";"6,0 ";"19 ";"1052810-04-04 ";"5,37 ";"A ";"1543 "
"400 ";"3/8''-19 ";"3/8''-18 ";"38,0 ";"12 ";"15,3 ";"9,0 ";"22 ";"1052810-06-06 ";"6,75 ";"A ";"1544 "
"400 ";"1/2''-14 ";"1/2''-14 ";"43,0 ";"14 ";"20,0 ";"12,5 ";"27 ";"1052810-08-08 ";"9,2 ";"A ";"1545 "
"400 ";"3/4''-14 ";"3/4''-14 ";"47,0 ";"16 ";"20,0 ";"17,5 ";"32 ";"1052810-12-12 ";"12,5 ";"A ";"1546 "
"400 ";"1''-11 ";"1''-11,5 ";"54,5 ";"18 ";"25,0 ";"22,5 ";"41 ";"1052810-16-16 ";"20 ";"A ";"1547 "
"200 ";"1 1/4''-11 ";"1 1/4''-11,5 ";"66,0 ";"20 ";"25,5 ";"30,0 ";"50 ";"1052810-20-20 ";"32,9 ";"A ";"1548 "
"200 ";"1 1/2''-11 ";"1 1/2''-11,5 ";"64,0 ";"22 ";"26,0 ";"37,0 ";"55 ";"1052810-24-24 ";"55,5 ";"A ";"1549 "
"100 ";"2''-11 ";"2''-11,5 ";"66,0 ";"25 ";"26,0 ";"45,0 ";"70 ";"1052810-32-32 ";"99 ";"A ";"1550 "
"400 ";"1/8''-28 ";"1/4''-18 ";"30,0 ";"8 ";"15,0 ";"4,0 ";"14 ";"1052810-02-04 ";"10,4 ";"B ";"1551 "
"400 ";"1/4''-19 ";"1/8''-27 ";"27,5 ";"10 ";"10,0 ";"4,0 ";"19 ";"1052810-04-02 ";"10,4 ";"B ";"1552 "
"400 ";"1/4''-19 ";"3/8''-18 ";"33,0 ";"10 ";"15,3 ";"6,0 ";"19 ";"1052810-04-06 ";"8,7 ";"B ";"1553 "
"400 ";"1/4''-19 ";"1/2''-14 ";"40,0 ";"10 ";"20,0 ";"6,0 ";"22 ";"1052810-04-08 ";"11,9 ";"B ";"1554 "
"400 ";"3/8''-19 ";"1/4''-18 ";"35,5 ";"12 ";"15,0 ";"7,0 ";"22 ";"1052810-06-04 ";"8,7 ";"B ";"1555 "
"400 ";"3/8''-19 ";"1/2''-14 ";"42,0 ";"12 ";"20,0 ";"9,0 ";"22 ";"1052810-06-08 ";"10,5 ";"B ";"1556 "
"400 ";"3/8''-19 ";"3/4''-14 ";"42,0 ";"12 ";"20,0 ";"9,0 ";"27 ";"1052810-06-12 ";"18,75 ";"B ";"1557 "
"400 ";"1/2''-14 ";"1/4''-18 ";"40,0 ";"14 ";"15,0 ";"7,0 ";"27 ";"1052810-08-04 ";"13,95 ";"B ";"1558 "
"400 ";"1/2''-14 ";"3/8''-18 ";"40,0 ";"14 ";"15,3 ";"9,0 ";"27 ";"1052810-08-06 ";"11,4 ";"B ";"1559 "
"400 ";"1/2''-14 ";"3/4''-14 ";"45,0 ";"14 ";"20,0 ";"12,0 ";"27 ";"1052810-08-12 ";"18,5 ";"B ";"1560 "
"400 ";"1/2''-14 ";"1''-11,5 ";"50,0 ";"14 ";"25,0 ";"12,5 ";"36 ";"1052810-08-16 ";"25,95 ";"B ";"11749 "
"400 ";"3/4''-14 ";"1/2''-14 ";"45,0 ";"16 ";"20,0 ";"12,5 ";"32 ";"1052810-12-08 ";"19,4 ";"B ";"1561 "
"400 ";"3/4''-14 ";"1''-11,5 ";"52,0 ";"16 ";"25,0 ";"17,5 ";"36 ";"1052810-12-16 ";"23,95 ";"B ";"1562 "
"400 ";"1''-11 ";"3/8''-18 ";"45,0 ";"18 ";"15,3 ";"9,0 ";"41 ";"1052810-16-06 ";"28,75 ";"B ";"1563 "
"400 ";"1''-11 ";"1/2''-14 ";"50,0 ";"18 ";"20,0 ";"12,5 ";"41 ";"1052810-16-08 ";"23,95 ";"B ";"1564 "
"400 ";"1''-11 ";"3/4''-14 ";"50,0 ";"18 ";"20,0 ";"15,0 ";"41 ";"1052810-16-12 ";"23,95 ";"B ";"1565 "
